"region","year","disease","Damage_med","unit"
"ARG","2080","RESP",965,"Million$2015"
"AUS","2080","RESP",1002,"Million$2015"
"AUT","2080","RESP",3742,"Million$2015"
"BGR","2080","RESP",1142,"Million$2015"
"BLX","2080","RESP",15514,"Million$2015"
"BRA","2080","RESP",13539,"Million$2015"
"CAN","2080","RESP",18665,"Million$2015"
"CHE","2080","RESP",3780,"Million$2015"
"CHL","2080","RESP",1130,"Million$2015"
"CHN","2080","RESP",1120653,"Million$2015"
"COR","2080","RESP",45348,"Million$2015"
"EAF","2080","RESP",48139,"Million$2015"
"EGY","2080","RESP",35083,"Million$2015"
"ESP","2080","RESP",30775,"Million$2015"
"FIN","2080","RESP",935,"Million$2015"
"FRA","2080","RESP",34232,"Million$2015"
"GBR","2080","RESP",32071,"Million$2015"
"GOLF","2080","RESP",43635,"Million$2015"
"GRC","2080","RESP",7168,"Million$2015"
"HUN","2080","RESP",1497,"Million$2015"
"IDN","2080","RESP",34500,"Million$2015"
"ITA","2080","RESP",38446,"Million$2015"
"JPN","2080","RESP",20043,"Million$2015"
"KAZ","2080","RESP",2451,"Million$2015"
"MEME","2080","RESP",16973,"Million$2015"
"MEX","2080","RESP",28063,"Million$2015"
"MON","2080","RESP",1163,"Million$2015"
"MYS","2080","RESP",5707,"Million$2015"
"NDE","2080","RESP",1951710,"Million$2015"
"NOA","2080","RESP",17742,"Million$2015"
"NOR","2080","RESP",2295,"Million$2015"
"NZL","2080","RESP",124,"Million$2015"
"PAC","2080","RESP",0,"Million$2015"
"PHL","2080","RESP",26713,"Million$2015"
"POL","2080","RESP",7365,"Million$2015"
"RCAM","2080","RESP",6359,"Million$2015"
"RCEU","2080","RESP",5193,"Million$2015"
"RCZ","2080","RESP",3788,"Million$2015"
"RFA","2080","RESP",21548,"Million$2015"
"RIS","2080","RESP",13086,"Million$2015"
"ROM","2080","RESP",3093,"Million$2015"
"RSA","2080","RESP",7891,"Million$2015"
"RSAM","2080","RESP",2235,"Million$2015"
"RSAS","2080","RESP",121598,"Million$2015"
"RSEA","2080","RESP",21252,"Million$2015"
"RUE","2080","RESP",2219,"Million$2015"
"RUS","2080","RESP",17074,"Million$2015"
"SAF","2080","RESP",8235,"Million$2015"
"SWE","2080","RESP",5337,"Million$2015"
"THA","2080","RESP",15996,"Million$2015"
"TUR","2080","RESP",25011,"Million$2015"
"TWN","2080","RESP",45525,"Million$2015"
"UKR","2080","RESP",6363,"Million$2015"
"USA","2080","RESP",232811,"Million$2015"
"VNM","2080","RESP",54085,"Million$2015"
"WAF","2080","RESP",87339,"Million$2015"
