"region","year","disease","mort_o3"
"ARG","2060","RESP",161
"AUS","2060","RESP",83
"AUT","2060","RESP",530
"BGR","2060","RESP",282
"BLX","2060","RESP",1250
"BRA","2060","RESP",2905
"CAN","2060","RESP",1892
"CHE","2060","RESP",430
"CHL","2060","RESP",242
"CHN","2060","RESP",233735
"COR","2060","RESP",10025
"EAF","2060","RESP",21031
"EGY","2060","RESP",9169
"ESP","2060","RESP",3284
"FIN","2060","RESP",109
"FRA","2060","RESP",2999
"GBR","2060","RESP",2557
"GOLF","2060","RESP",8579
"GRC","2060","RESP",745
"HUN","2060","RESP",272
"IDN","2060","RESP",7234
"ITA","2060","RESP",3758
"JPN","2060","RESP",3032
"KAZ","2060","RESP",443
"MEME","2060","RESP",4301
"MEX","2060","RESP",4626
"MON","2060","RESP",2474
"MYS","2060","RESP",1092
"NDE","2060","RESP",446668
"NOA","2060","RESP",4999
"NOR","2060","RESP",176
"NZL","2060","RESP",14
"PAC","2060","RESP",0
"PHL","2060","RESP",9912
"POL","2060","RESP",1365
"RCAM","2060","RESP",1672
"RCEU","2060","RESP",1154
"RCZ","2060","RESP",710
"RFA","2060","RESP",3213
"RIS","2060","RESP",2388
"ROM","2060","RESP",684
"RSA","2060","RESP",1571
"RSAM","2060","RESP",520
"RSAS","2060","RESP",57533
"RSEA","2060","RESP",17948
"RUE","2060","RESP",440
"RUS","2060","RESP",3246
"SAF","2060","RESP",4192
"SWE","2060","RESP",498
"THA","2060","RESP",3726
"TUR","2060","RESP",4826
"TWN","2060","RESP",4420
"UKR","2060","RESP",1250
"USA","2060","RESP",22315
"VNM","2060","RESP",15404
"WAF","2060","RESP",25062
