"region","year","disease","mort_med","mort_lb","mort_ub","vsl_med","vsl_lb","vsl_ub","unit","Damage_med"
"ARG","2060","alri",0,0,0,3.79880774140872,1.89940387070436,5.69821161211309,"Million$2015",0
"ARG","2060","copd",0,0,0,3.79880774140872,1.89940387070436,5.69821161211309,"Million$2015",0
"ARG","2060","ihd",0,0,0,3.79880774140872,1.89940387070436,5.69821161211309,"Million$2015",0
"ARG","2060","lc",0,0,0,3.79880774140872,1.89940387070436,5.69821161211309,"Million$2015",0
"ARG","2060","stroke",0,0,0,3.79880774140872,1.89940387070436,5.69821161211309,"Million$2015",0
"ARG","2060","tot",0,0,0,3.79880774140872,1.89940387070436,5.69821161211309,"Million$2015",0
"AUS","2060","alri",0,0,0,8.11889788311321,4.0594489415566,12.1783468246698,"Million$2015",0
"AUS","2060","copd",0,0,0,8.11889788311321,4.0594489415566,12.1783468246698,"Million$2015",0
"AUS","2060","ihd",0,0,0,8.11889788311321,4.0594489415566,12.1783468246698,"Million$2015",0
"AUS","2060","lc",0,0,0,8.11889788311321,4.0594489415566,12.1783468246698,"Million$2015",0
"AUS","2060","stroke",0,0,0,8.11889788311321,4.0594489415566,12.1783468246698,"Million$2015",0
"AUS","2060","tot",0,0,0,8.11889788311321,4.0594489415566,12.1783468246698,"Million$2015",0
"AUT","2060","alri",1,0,5,5.2166375465266,2.6083187732633,7.82495631978991,"Million$2015",6
"AUT","2060","copd",73,14,169,5.2166375465266,2.6083187732633,7.82495631978991,"Million$2015",455
"AUT","2060","ihd",927,202,1579,5.2166375465266,2.6083187732633,7.82495631978991,"Million$2015",5783
"AUT","2060","lc",89,8,204,5.2166375465266,2.6083187732633,7.82495631978991,"Million$2015",555
"AUT","2060","stroke",69,6,553,5.2166375465266,2.6083187732633,7.82495631978991,"Million$2015",430
"AUT","2060","tot",1160,230,2509,5.2166375465266,2.6083187732633,7.82495631978991,"Million$2015",7236
"BGR","2060","alri",4,1,7,3.20760269368543,1.60380134684271,4.81140404052814,"Million$2015",15
"BGR","2060","copd",164,47,301,3.20760269368543,1.60380134684271,4.81140404052814,"Million$2015",629
"BGR","2060","ihd",1907,1297,2573,3.20760269368543,1.60380134684271,4.81140404052814,"Million$2015",7315
"BGR","2060","lc",177,28,323,3.20760269368543,1.60380134684271,4.81140404052814,"Million$2015",679
"BGR","2060","stroke",871,432,1409,3.20760269368543,1.60380134684271,4.81140404052814,"Million$2015",3341
"BGR","2060","tot",3123,1805,4613,3.20760269368543,1.60380134684271,4.81140404052814,"Million$2015",11979
"BLX","2060","alri",8,1,29,8.48011970313958,4.24005985156979,12.7201795547094,"Million$2015",81
"BLX","2060","copd",347,76,743,8.48011970313958,4.24005985156979,12.7201795547094,"Million$2015",3519
"BLX","2060","ihd",3449,1176,5335,8.48011970313958,4.24005985156979,12.7201795547094,"Million$2015",34974
"BLX","2060","lc",443,48,939,8.48011970313958,4.24005985156979,12.7201795547094,"Million$2015",4492
"BLX","2060","stroke",466,65,2089,8.48011970313958,4.24005985156979,12.7201795547094,"Million$2015",4725
"BLX","2060","tot",4712,1367,9135,8.48011970313958,4.24005985156979,12.7201795547094,"Million$2015",47782
"BRA","2060","alri",0,0,0,3.23146107614419,1.6157305380721,4.84719161421629,"Million$2015",0
"BRA","2060","copd",0,0,0,3.23146107614419,1.6157305380721,4.84719161421629,"Million$2015",0
"BRA","2060","ihd",0,0,0,3.23146107614419,1.6157305380721,4.84719161421629,"Million$2015",0
"BRA","2060","lc",0,0,0,3.23146107614419,1.6157305380721,4.84719161421629,"Million$2015",0
"BRA","2060","stroke",0,0,0,3.23146107614419,1.6157305380721,4.84719161421629,"Million$2015",0
"BRA","2060","tot",0,0,0,3.23146107614419,1.6157305380721,4.84719161421629,"Million$2015",0
"CAN","2060","alri",0,0,3,6.56614775808163,3.28307387904082,9.84922163712245,"Million$2015",0
"CAN","2060","copd",101,14,273,6.56614775808163,3.28307387904082,9.84922163712245,"Million$2015",793
"CAN","2060","ihd",2645,213,5176,6.56614775808163,3.28307387904082,9.84922163712245,"Million$2015",20768
"CAN","2060","lc",100,6,266,6.56614775808163,3.28307387904082,9.84922163712245,"Million$2015",785
"CAN","2060","stroke",26,0,801,6.56614775808163,3.28307387904082,9.84922163712245,"Million$2015",204
"CAN","2060","tot",2872,233,6520,6.56614775808163,3.28307387904082,9.84922163712245,"Million$2015",22550
"CHE","2060","alri",1,0,6,6.27978830302309,3.13989415151155,9.41968245453464,"Million$2015",8
"CHE","2060","copd",79,16,178,6.27978830302309,3.13989415151155,9.41968245453464,"Million$2015",593
