"region","year","disease","mort_o3"
"ARG","2080","RESP",166
"AUS","2080","RESP",92
"AUT","2080","RESP",507
"BGR","2080","RESP",257
"BLX","2080","RESP",1301
"BRA","2080","RESP",2688
"CAN","2080","RESP",2061
"CHE","2080","RESP",428
"CHL","2080","RESP",239
"CHN","2080","RESP",174431
"COR","2080","RESP",8132
"EAF","2080","RESP",32586
"EGY","2080","RESP",10383
"ESP","2080","RESP",3149
"FIN","2080","RESP",109
"FRA","2080","RESP",3161
"GBR","2080","RESP",2717
"GOLF","2080","RESP",9504
"GRC","2080","RESP",702
"HUN","2080","RESP",240
"IDN","2080","RESP",6604
"ITA","2080","RESP",3478
"JPN","2080","RESP",2727
"KAZ","2080","RESP",452
"MEME","2080","RESP",4881
"MEX","2080","RESP",5102
"MON","2080","RESP",2115
"MYS","2080","RESP",1099
"NDE","2080","RESP",455367
"NOA","2080","RESP",5172
"NOR","2080","RESP",193
"NZL","2080","RESP",16
"PAC","2080","RESP",0
"PHL","2080","RESP",10715
"POL","2080","RESP",1188
"RCAM","2080","RESP",1731
"RCEU","2080","RESP",1058
"RCZ","2080","RESP",668
"RFA","2080","RESP",3026
"RIS","2080","RESP",2331
"ROM","2080","RESP",549
"RSA","2080","RESP",1716
"RSAM","2080","RESP",547
"RSAS","2080","RESP",68029
"RSEA","2080","RESP",16329
"RUE","2080","RESP",396
"RUS","2080","RESP",3047
"SAF","2080","RESP",6519
"SWE","2080","RESP",541
"THA","2080","RESP",3232
"TUR","2080","RESP",4887
"TWN","2080","RESP",4223
"UKR","2080","RESP",1138
"USA","2080","RESP",24374
"VNM","2080","RESP",13062
"WAF","2080","RESP",42646
