"region","year","disease","Damage_med","unit"
"ARG","2060","RESP",731,"Million$2015"
"AUS","2060","RESP",806,"Million$2015"
"AUT","2060","RESP",3306,"Million$2015"
"BGR","2060","RESP",1082,"Million$2015"
"BLX","2060","RESP",12676,"Million$2015"
"BRA","2060","RESP",11225,"Million$2015"
"CAN","2060","RESP",14855,"Million$2015"
"CHE","2060","RESP",3229,"Million$2015"
"CHL","2060","RESP",962,"Million$2015"
"CHN","2060","RESP",1298520,"Million$2015"
"COR","2060","RESP",47023,"Million$2015"
"EAF","2060","RESP",20446,"Million$2015"
"EGY","2060","RESP",24140,"Million$2015"
"ESP","2060","RESP",27159,"Million$2015"
"FIN","2060","RESP",796,"Million$2015"
"FRA","2060","RESP",27496,"Million$2015"
"GBR","2060","RESP",25235,"Million$2015"
"GOLF","2060","RESP",31841,"Million$2015"
"GRC","2060","RESP",6414,"Million$2015"
"HUN","2060","RESP",1388,"Million$2015"
"IDN","2060","RESP",28463,"Million$2015"
"ITA","2060","RESP",35420,"Million$2015"
"JPN","2060","RESP",18607,"Million$2015"
"KAZ","2060","RESP",1973,"Million$2015"
"MEME","2060","RESP",11606,"Million$2015"
"MEX","2060","RESP",20304,"Million$2015"
"MON","2060","RESP",956,"Million$2015"
"MYS","2060","RESP",4925,"Million$2015"
"NDE","2060","RESP",1514299,"Million$2015"
"NOA","2060","RESP",12818,"Million$2015"
"NOR","2060","RESP",1813,"Million$2015"
"NZL","2060","RESP",92,"Million$2015"
"PAC","2060","RESP",0,"Million$2015"
"PHL","2060","RESP",18524,"Million$2015"
"POL","2060","RESP",7119,"Million$2015"
"RCAM","2060","RESP",4745,"Million$2015"
"RCEU","2060","RESP",4568,"Million$2015"
"RCZ","2060","RESP",3274,"Million$2015"
"RFA","2060","RESP",18907,"Million$2015"
"RIS","2060","RESP",11051,"Million$2015"
"ROM","2060","RESP",3130,"Million$2015"
"RSA","2060","RESP",5625,"Million$2015"
"RSAM","2060","RESP",1695,"Million$2015"
"RSAS","2060","RESP",64766,"Million$2015"
"RSEA","2060","RESP",16112,"Million$2015"
"RUE","2060","RESP",2027,"Million$2015"
"RUS","2060","RESP",14955,"Million$2015"
"SAF","2060","RESP",3455,"Million$2015"
"SWE","2060","RESP",4195,"Million$2015"
"THA","2060","RESP",14335,"Million$2015"
"TUR","2060","RESP",17966,"Million$2015"
"TWN","2060","RESP",41682,"Million$2015"
"UKR","2060","RESP",5711,"Million$2015"
"USA","2060","RESP",181843,"Million$2015"
"VNM","2060","RESP",45598,"Million$2015"
"WAF","2060","RESP",36005,"Million$2015"
