"region","year","disease","mort_o3"
"ARG","2090","RESP",161
"AUS","2090","RESP",88
"AUT","2090","RESP",486
"BGR","2090","RESP",242
"BLX","2090","RESP",1296
"BRA","2090","RESP",2516
"CAN","2090","RESP",2086
"CHE","2090","RESP",418
"CHL","2090","RESP",228
"CHN","2090","RESP",147562
"COR","2090","RESP",7266
"EAF","2090","RESP",38186
"EGY","2090","RESP",10674
"ESP","2090","RESP",3028
"FIN","2090","RESP",108
"FRA","2090","RESP",3177
"GBR","2090","RESP",2738
"GOLF","2090","RESP",9705
"GRC","2090","RESP",670
"HUN","2090","RESP",224
"IDN","2090","RESP",6072
"ITA","2090","RESP",3322
"JPN","2090","RESP",2501
"KAZ","2090","RESP",441
"MEME","2090","RESP",4985
"MEX","2090","RESP",5269
"MON","2090","RESP",1903
"MYS","2090","RESP",1049
"NDE","2090","RESP",436444
"NOA","2090","RESP",5149
"NOR","2090","RESP",197
"NZL","2090","RESP",16
"PAC","2090","RESP",0
"PHL","2090","RESP",10556
"POL","2090","RESP",1101
"RCAM","2090","RESP",1723
"RCEU","2090","RESP",980
"RCZ","2090","RESP",639
"RFA","2090","RESP",2884
"RIS","2090","RESP",2264
"ROM","2090","RESP",493
"RSA","2090","RESP",1722
"RSAM","2090","RESP",534
"RSAS","2090","RESP",71408
"RSEA","2090","RESP",15447
"RUE","2090","RESP",369
"RUS","2090","RESP",2906
"SAF","2090","RESP",7601
"SWE","2090","RESP",548
"THA","2090","RESP",2950
"TUR","2090","RESP",4792
"TWN","2090","RESP",3940
"UKR","2090","RESP",1070
"USA","2090","RESP",24792
"VNM","2090","RESP",11648
"WAF","2090","RESP",52024
