"region","year","disease","Damage_med","unit"
"AUT","2090","resp",1129184,"Thous$2015"
"CHE","2090","resp",1159335,"Thous$2015"
"BLX","2090","resp",4843332,"Thous$2015"
"ESP","2090","resp",9215470,"Thous$2015"
"FIN","2090","resp",290266,"Thous$2015"
"FRA","2090","resp",10811073,"Thous$2015"
"GBR","2090","resp",10194637,"Thous$2015"
"GRC","2090","resp",2139633,"Thous$2015"
"ITA","2090","resp",11481856,"Thous$2015"
"RFA","2090","resp",6539590,"Thous$2015"
"SWE","2090","resp",1690442,"Thous$2015"
"TUR","2090","resp",10198538,"Thous$2015"
"NOR","2090","resp",728768,"Thous$2015"
"BGR","2090","resp",425046,"Thous$2015"
"HUN","2090","resp",622501,"Thous$2015"
"POL","2090","resp",2685520,"Thous$2015"
"RCEU","2090","resp",1941735,"Thous$2015"
"RCZ","2090","resp",1156136,"Thous$2015"
"ROM","2090","resp",1117530,"Thous$2015"
"MEME","2090","resp",5773888,"Thous$2015"
"NOA","2090","resp",9338719,"Thous$2015"
"EGY","2090","resp",18326436,"Thous$2015"
"GOLF","2090","resp",19875172,"Thous$2015"
"WAF","2090","resp",58294695,"Thous$2015"
"EAF","2090","resp",33136476,"Thous$2015"
"SAF","2090","resp",5703744,"Thous$2015"
"RSA","2090","resp",4271330,"Thous$2015"
"KAZ","2090","resp",1074266,"Thous$2015"
"RIS","2090","resp",5120029,"Thous$2015"
"RUS","2090","resp",6524548,"Thous$2015"
"RUE","2090","resp",828452,"Thous$2015"
"UKR","2090","resp",2685872,"Thous$2015"
"COR","2090","resp",14751193,"Thous$2015"
"JPN","2090","resp",5182003,"Thous$2015"
"AUS","2090","resp",259785,"Thous$2015"
"NZL","2090","resp",34530,"Thous$2015"
"PAC","2090","resp",0,"Thous$2015"
"MON","2090","resp",580786,"Thous$2015"
"CHN","2090","resp",335488226,"Thous$2015"
"TWN","2090","resp",15024864,"Thous$2015"
"RSAS","2090","resp",72580219,"Thous$2015"
"NDE","2090","resp",980861563,"Thous$2015"
"IDN","2090","resp",15019457,"Thous$2015"
"THA","2090","resp",6899077,"Thous$2015"
"MYS","2090","resp",1516865,"Thous$2015"
"PHL","2090","resp",9802069,"Thous$2015"
"VNM","2090","resp",18167480,"Thous$2015"
"RSEA","2090","resp",7970347,"Thous$2015"
"CAN","2090","resp",6379284,"Thous$2015"
"USA","2090","resp",80828475,"Thous$2015"
"BRA","2090","resp",4744317,"Thous$2015"
"MEX","2090","resp",10727640,"Thous$2015"
"RCAM","2090","resp",2398206,"Thous$2015"
"CHL","2090","resp",392245,"Thous$2015"
"ARG","2090","resp",346894,"Thous$2015"
"RSAM","2090","resp",769441,"Thous$2015"
