"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2080",0,0,0,0,0,0
"AUS","2080",0,0,0,0,0,0
"AUT","2080",0,912,11242,1034,445,13633
"BGR","2080",68,3326,32566,3816,12522,52299
"BLX","2080",66,6778,59488,7919,5927,80179
"BRA","2080",0,0,0,0,0,0
"CAN","2080",0,830,20128,797,225,21980
"CHE","2080",11,1158,10750,1239,710,13868
"CHL","2080",58,4037,54803,2357,10752,72008
"CHN","2080",16209,4209664,3689733,1810427,9981508,19707540
"COR","2080",90,86794,76710,23913,88370,275876
"EAF","2080",152026,688916,3661717,136815,2822098,7461572
"EGY","2080",12759,269447,1447096,81177,985126,2795606
"ESP","2080",248,15999,147973,27381,26052,217653
"FIN","2080",0,0,0,0,0,0
"FRA","2080",20,3769,67752,4993,1244,77779
"GBR","2080",0,0,0,0,0,0
"GOLF","2080",13567,314697,3421780,268587,2321932,6340564
"GRC","2080",35,2953,25969,3792,2766,35514
"HUN","2080",0,1388,58256,1728,6231,67603
"IDN","2080",7104,131650,1457919,164102,303594,2064370
"ITA","2080",324,21137,139855,29333,34998,225647
"JPN","2080",653,20315,133181,46428,63649,264226
"KAZ","2080",380,10145,323107,16046,131332,481010
"MEME","2080",2394,52411,304333,55806,107104,522048
"MEX","2080",1895,35624,470048,22479,138458,668505
"MON","2080",249,18944,143759,6341,25318,194611
"MYS","2080",20,897,17168,1915,605,20606
"NDE","2080",406877,6566814,23128064,2134089,18030628,50266472
"NOA","2080",8583,106584,447729,16764,518726,1098386
"NOR","2080",0,0,0,0,0,0
"NZL","2080",263,2844,14121,8308,11918,37455
"PAC","2080",0,1791,6786,548,390,9514
"PHL","2080",0,0,0,0,0,0
"POL","2080",0,0,0,0,0,0
"RCAM","2080",657,16542,246349,9405,34468,307420
"RCEU","2080",173,12149,120563,13671,47034,193590
"RCZ","2080",83,5824,36870,6676,7475,56928
"RFA","2080",190,21619,140584,23577,21780,207750
"RIS","2080",9078,83522,566324,91872,646043,1396840
"ROM","2080",26,3510,49634,3792,6853,63816
"RSA","2080",2659,33541,200013,6152,91117,333483
"RSAM","2080",159,2351,129294,1984,3754,137542
"RSAS","2080",127121,1168393,8272584,457909,4398120,14424127
"RSEA","2080",2140,228837,222556,86842,326863,867238
"RUE","2080",0,0,0,0,0,0
"RUS","2080",36,5779,179277,5354,3364,193810
"SAF","2080",7400,64609,484789,11412,115667,683877
"SWE","2080",0,0,0,0,0,0
"THA","2080",2434,56490,426045,66183,228851,780003
"TUR","2080",522,35213,466701,36671,108765,647872
"TWN","2080",42,25713,43400,11173,43647,123975
"UKR","2080",0,0,0,0,0,0
"USA","2080",455,95731,1164435,84749,69389,1414758
"VNM","2080",462,199781,229387,76364,189949,695942
"WAF","2080",405310,1048487,3639711,146855,5503914,10744277
