"region","year","disease","Damage_med","unit"
"ARG","2090","RESP",1048,"Million$2015"
"AUS","2090","RESP",1009,"Million$2015"
"AUT","2090","RESP",3891,"Million$2015"
"BGR","2090","RESP",1168,"Million$2015"
"BLX","2090","RESP",16689,"Million$2015"
"BRA","2090","RESP",14333,"Million$2015"
"CAN","2090","RESP",20174,"Million$2015"
"CHE","2090","RESP",3994,"Million$2015"
"CHL","2090","RESP",1185,"Million$2015"
"CHN","2090","RESP",1010462,"Million$2015"
"COR","2090","RESP",44429,"Million$2015"
"EAF","2090","RESP",68807,"Million$2015"
"EGY","2090","RESP",39383,"Million$2015"
"ESP","2090","RESP",31754,"Million$2015"
"FIN","2090","RESP",1001,"Million$2015"
"FRA","2090","RESP",37253,"Million$2015"
"GBR","2090","RESP",35128,"Million$2015"
"GOLF","2090","RESP",50087,"Million$2015"
"GRC","2090","RESP",7372,"Million$2015"
"HUN","2090","RESP",1534,"Million$2015"
"IDN","2090","RESP",35989,"Million$2015"
"ITA","2090","RESP",39563,"Million$2015"
"JPN","2090","RESP",20133,"Million$2015"
"KAZ","2090","RESP",2647,"Million$2015"
"MEME","2090","RESP",19895,"Million$2015"
"MEX","2090","RESP",32408,"Million$2015"
"MON","2090","RESP",1228,"Million$2015"
"MYS","2090","RESP",5894,"Million$2015"
"NDE","2090","RESP",2074401,"Million$2015"
"NOA","2090","RESP",19727,"Million$2015"
"NOR","2090","RESP",2511,"Million$2015"
"NZL","2090","RESP",134,"Million$2015"
"PAC","2090","RESP",0,"Million$2015"
"PHL","2090","RESP",29523,"Million$2015"
"POL","2090","RESP",7380,"Million$2015"
"RCAM","2090","RESP",7245,"Million$2015"
"RCEU","2090","RESP",5336,"Million$2015"
"RCZ","2090","RESP",3984,"Million$2015"
"RFA","2090","RESP",22533,"Million$2015"
"RIS","2090","RESP",14071,"Million$2015"
"ROM","2090","RESP",3071,"Million$2015"
"RSA","2090","RESP",8869,"Million$2015"
"RSAM","2090","RESP",2399,"Million$2015"
"RSAS","2090","RESP",155972,"Million$2015"
"RSEA","2090","RESP",24006,"Million$2015"
"RUE","2090","RESP",2277,"Million$2015"
"RUS","2090","RESP",17931,"Million$2015"
"SAF","2090","RESP",11844,"Million$2015"
"SWE","2090","RESP",5825,"Million$2015"
"THA","2090","RESP",16532,"Million$2015"
"TUR","2090","RESP",28028,"Million$2015"
"TWN","2090","RESP",45254,"Million$2015"
"UKR","2090","RESP",6618,"Million$2015"
"USA","2090","RESP",255615,"Million$2015"
"VNM","2090","RESP",54719,"Million$2015"
"WAF","2090","RESP",123144,"Million$2015"
