"region","year","RESP","tot"
"ARG","2040",2388,2388
"AUS","2040",768,768
"AUT","2040",7372,7372
"BGR","2040",4965,4965
"BLX","2040",15448,15448
"BRA","2040",48345,48345
"CAN","2040",22195,22195
"CHE","2040",5290,5290
"CHL","2040",2943,2943
"CHN","2040",4173712,4173712
"COR","2040",143734,143734
"EAF","2040",236499,236499
"EGY","2040",158111,158111
"ESP","2040",35296,35296
"FIN","2040",1466,1466
"FRA","2040",32617,32617
"GBR","2040",29956,29956
"GOLF","2040",134168,134168
"GRC","2040",8480,8480
"HUN","2040",5181,5181
"IDN","2040",130657,130657
"ITA","2040",43974,43974
"JPN","2040",38192,38192
"KAZ","2040",7690,7690
"MEME","2040",58111,58111
"MEX","2040",58914,58914
"MON","2040",44678,44678
"MYS","2040",17112,17112
"NDE","2040",6474577,6474577
"NOA","2040",77098,77098
"NOR","2040",2050,2050
"NZL","2040",130,130
"PAC","2040",0,0
"PHL","2040",159138,159138
"POL","2040",23449,23449
"RCAM","2040",24785,24785
"RCEU","2040",17715,17715
"RCZ","2040",11466,11466
"RFA","2040",46915,46915
"RIS","2040",48634,48634
"ROM","2040",13138,13138
"RSA","2040",25585,25585
"RSAM","2040",6666,6666
"RSAS","2040",785929,785929
"RSEA","2040",324542,324542
"RUE","2040",8142,8142
"RUS","2040",58278,58278
"SAF","2040",49016,49016
"SWE","2040",5906,5906
"THA","2040",64555,64555
"TUR","2040",70630,70630
"TWN","2040",63983,63983
"UKR","2040",24444,24444
"USA","2040",300573,300573
"VNM","2040",269401,269401
"WAF","2040",266499,266499
