"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2020",18,730,21565,534,758,23604
"AUS","2020",6,69,1889,247,52,2263
"AUT","2020",80,2059,15960,4490,5535,28124
"BGR","2020",110,2494,30911,4165,19748,57428
"BLX","2020",190,4501,37402,9749,10771,62613
"BRA","2020",148,4476,112600,3423,6329,126975
"CAN","2020",27,3060,43365,5112,2254,53818
"CHE","2020",43,1217,10484,2624,2757,17126
"CHL","2020",305,3176,32451,2798,18304,57034
"CHN","2020",34020,3015365,2410849,1676985,8375826,15513045
"COR","2020",686,88227,82465,48464,237801,457643
"EAF","2020",52567,81941,492047,19769,403308,1049633
"EGY","2020",5008,39038,314541,14989,150948,524525
"ESP","2020",386,11116,87673,24257,29157,152589
"FIN","2020",0,16,409,35,7,467
"FRA","2020",509,10165,83964,22041,24599,141277
"GBR","2020",153,5125,60210,10519,6785,82792
"GOLF","2020",7672,42974,682421,55374,414219,1202660
"GRC","2020",98,2465,18970,5388,6715,33636
"HUN","2020",85,2182,82027,4165,30469,118927
"IDN","2020",8148,42784,514712,63919,132229,761792
"ITA","2020",527,14315,104058,31487,42908,193295
"JPN","2020",2666,16487,131890,74902,116995,342941
"KAZ","2020",561,4309,138670,8385,74779,226703
"MEME","2020",1293,7941,54775,17609,25771,107390
"MEX","2020",1349,11318,140264,9735,47610,210277
"MON","2020",1169,21086,102163,6026,43467,173911
"MYS","2020",263,1183,15692,5009,3642,25789
"NDE","2020",238442,1801290,5952678,533799,4964892,13491101
"NOA","2020",8264,30424,161980,5578,183233,389479
"NOR","2020",0,0,0,0,0,0
"NZL","2020",120,415,3678,1861,2565,8640
"PAC","2020",0,241,992,106,52,1391
"PHL","2020",37,7104,24294,3196,2814,37444
"POL","2020",241,7463,126852,11945,36068,182569
"RCAM","2020",582,5659,81723,4750,18400,111114
"RCEU","2020",186,4949,74925,8055,28986,117101
"RCZ","2020",190,3846,27367,8478,11853,51734
"RFA","2020",509,15578,122908,33994,40821,213811
"RIS","2020",4130,19826,178736,34048,199000,435740
"ROM","2020",197,5331,75119,8742,35380,124769
"RSA","2020",2511,10744,72282,2568,43798,131902
"RSAM","2020",387,1259,48455,1526,5051,56678
"RSAS","2020",42562,226162,1539953,88232,953422,2850332
"RSEA","2020",1217,69870,76583,37860,165558,351087
"RUE","2020",88,3560,77272,5498,11311,97729
"RUS","2020",800,21352,349398,34351,109436,515335
"SAF","2020",899,3560,43091,773,5625,53948
"SWE","2020",12,616,9481,1213,565,11888
"THA","2020",5005,27349,247042,42384,131722,453501
"TUR","2020",1216,14887,214535,24371,95015,350024
"TWN","2020",201,25533,29680,13720,55420,124554
"UKR","2020",323,8432,371541,15743,89710,485749
"USA","2020",687,41249,462972,71620,46446,622974
"VNM","2020",1354,99356,110791,53746,230152,495399
"WAF","2020",93300,104418,494872,19321,705048,1416958
