"region","year","disease","Damage_med","unit"
"AUT","2030","resp",720142,"Thous$2015"
"CHE","2030","resp",652459,"Thous$2015"
"BLX","2030","resp",2166382,"Thous$2015"
"ESP","2030","resp",4809778,"Thous$2015"
"FIN","2030","resp",159303,"Thous$2015"
"FRA","2030","resp",4594602,"Thous$2015"
"GBR","2030","resp",3764980,"Thous$2015"
"GRC","2030","resp",1178607,"Thous$2015"
"ITA","2030","resp",6972774,"Thous$2015"
"RFA","2030","resp",4194069,"Thous$2015"
"SWE","2030","resp",719442,"Thous$2015"
"TUR","2030","resp",3396801,"Thous$2015"
"NOR","2030","resp",307045,"Thous$2015"
"BGR","2030","resp",328629,"Thous$2015"
"HUN","2030","resp",446147,"Thous$2015"
"POL","2030","resp",2202230,"Thous$2015"
"RCEU","2030","resp",1109075,"Thous$2015"
"RCZ","2030","resp",695811,"Thous$2015"
"ROM","2030","resp",944179,"Thous$2015"
"MEME","2030","resp",1435699,"Thous$2015"
"NOA","2030","resp",2399733,"Thous$2015"
"EGY","2030","resp",3984580,"Thous$2015"
"GOLF","2030","resp",5552636,"Thous$2015"
"WAF","2030","resp",2914580,"Thous$2015"
"EAF","2030","resp",1822838,"Thous$2015"
"SAF","2030","resp",331313,"Thous$2015"
"RSA","2030","resp",1133615,"Thous$2015"
"KAZ","2030","resp",529130,"Thous$2015"
"RIS","2030","resp",2169521,"Thous$2015"
"RUS","2030","resp",4331176,"Thous$2015"
"RUE","2030","resp",627469,"Thous$2015"
"UKR","2030","resp",1811709,"Thous$2015"
"COR","2030","resp",14351265,"Thous$2015"
"JPN","2030","resp",4264234,"Thous$2015"
"AUS","2030","resp",90575,"Thous$2015"
"NZL","2030","resp",10041,"Thous$2015"
"PAC","2030","resp",0,"Thous$2015"
"MON","2030","resp",262220,"Thous$2015"
"CHN","2030","resp",371092062,"Thous$2015"
"TWN","2030","resp",11694960,"Thous$2015"
"RSAS","2030","resp",8494656,"Thous$2015"
"NDE","2030","resp",272658120,"Thous$2015"
"IDN","2030","resp",5156682,"Thous$2015"
"THA","2030","resp",3411596,"Thous$2015"
"MYS","2030","resp",670068,"Thous$2015"
"PHL","2030","resp",2076782,"Thous$2015"
"VNM","2030","resp",9422266,"Thous$2015"
"RSEA","2030","resp",2442519,"Thous$2015"
"CAN","2030","resp",2790518,"Thous$2015"
"USA","2030","resp",34534211,"Thous$2015"
"BRA","2030","resp",2100117,"Thous$2015"
"MEX","2030","resp",3190577,"Thous$2015"
"RCAM","2030","resp",833454,"Thous$2015"
"CHL","2030","resp",177700,"Thous$2015"
"ARG","2030","resp",164947,"Thous$2015"
"RSAM","2030","resp",242312,"Thous$2015"
