"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2050",0,0,0,0,0,0
"AUS","2050",0,0,0,0,0,0
"AUT","2050",12,874,9569,1633,900,12988
"BGR","2050",44,1751,21813,2667,10233,36508
"BLX","2050",61,2964,28700,5726,3930,41381
"BRA","2050",9,1290,43304,833,832,46268
"CAN","2050",7,1657,34459,2323,691,39136
"CHE","2050",12,741,7859,1411,845,10868
"CHL","2050",139,3363,36933,2655,16532,59622
"CHN","2050",13282,3048501,2466601,1668692,7321019,14518095
"COR","2050",156,57599,64529,30438,97314,250035
"EAF","2050",48673,190886,1094358,47534,933873,2315323
"EGY","2050",3343,69271,522304,28037,256071,879026
"ESP","2050",184,9143,75085,18064,16062,118538
"FIN","2050",0,0,0,0,0,0
"FRA","2050",67,4166,50359,7732,3853,66177
"GBR","2050",6,647,13278,1073,209,15214
"GOLF","2050",5335,80370,1215229,108898,742202,2152034
"GRC","2050",31,1623,14041,3184,2632,21509
"HUN","2050",17,1156,51117,1971,8860,63121
"IDN","2050",4019,62112,694593,98389,169481,1028594
"ITA","2050",251,11179,82110,22484,23782,139806
"JPN","2050",822,11305,96752,49984,52062,210926
"KAZ","2050",289,4898,152959,8746,66656,233547
"MEME","2050",680,11756,80512,23872,28194,145014
"MEX","2050",924,16514,202420,12819,67088,299765
"MON","2050",298,18340,97027,5464,25895,147024
"MYS","2050",80,1190,18208,4801,2167,26447
"NDE","2050",178390,3572610,10047264,1132667,9094150,24025080
"NOA","2050",5339,43327,221729,8205,257021,535622
"NOR","2050",0,0,0,0,0,0
"NZL","2050",137,761,5593,3425,4497,14413
"PAC","2050",0,535,1954,238,113,2840
"PHL","2050",0,3034,11041,1294,619,15988
"POL","2050",0,1056,40084,1306,790,43237
"RCAM","2050",314,7376,111884,5557,20641,145772
"RCEU","2050",110,5272,72308,7945,26338,111973
"RCZ","2050",67,2691,20865,5364,5228,34216
"RFA","2050",159,9540,84655,18659,14722,127735
"RIS","2050",2169,26467,228058,41938,234504,533136
"ROM","2050",44,2797,45586,4096,10408,62931
"RSA","2050",1455,13269,90340,3239,49001,157303
"RSAM","2050",271,1957,73864,2143,7748,85983
"RSAS","2050",34311,477016,2875162,196865,1938445,5521798
"RSEA","2050",796,104506,101301,56360,216689,479651
"RUE","2050",0,626,24203,784,472,26085
"RUS","2050",164,10593,219025,14942,25588,270312
"SAF","2050",1683,12673,121036,2933,26134,164459
"SWE","2050",0,0,0,0,0,0
"THA","2050",2675,32722,274812,53771,139526,503506
"TUR","2050",537,16070,235444,23973,71787,347810
"TWN","2050",46,18875,24160,9825,25576,78481
"UKR","2050",0,338,35738,486,535,37098
"USA","2050",334,36659,480094,55963,29828,602878
"VNM","2050",357,101534,121490,53310,154280,430971
"WAF","2050",101040,234093,1053843,44762,1559186,2992924
