"region","year","disease","yll_o3"
"AUT","2030","resp",3947
"CHE","2030","resp",3042
"BLX","2030","resp",8090
"ESP","2030","resp",23746
"FIN","2030","resp",780
"FRA","2030","resp",20087
"GBR","2030","resp",15313
"GRC","2030","resp",5710
"ITA","2030","resp",30494
"RFA","2030","resp",25244
"SWE","2030","resp",3136
"TUR","2030","resp",38781
"NOR","2030","resp",1045
"BGR","2030","resp",3013
"HUN","2030","resp",3273
"POL","2030","resp",14486
"RCEU","2030","resp",11004
"RCZ","2030","resp",5258
"ROM","2030","resp",7952
"MEME","2030","resp",21234
"NOA","2030","resp",46686
"EGY","2030","resp",73361
"GOLF","2030","resp",60680
"WAF","2030","resp",112409
"EAF","2030","resp",102329
"SAF","2030","resp",21333
"RSA","2030","resp",15366
"KAZ","2030","resp",3905
"RIS","2030","resp",19474
"RUS","2030","resp",32746
"RUE","2030","resp",4744
"UKR","2030","resp",15064
"COR","2030","resp",101757
"JPN","2030","resp",24491
"AUS","2030","resp",325
"NZL","2030","resp",55
"PAC","2030","resp",0
"MON","2030","resp",33198
"CHN","2030","resp",2664758
"TWN","2030","resp",47692
"RSAS","2030","resp",407032
"NDE","2030","resp",3612099
"IDN","2030","resp",65792
"THA","2030","resp",44669
"MYS","2030","resp",5590
"PHL","2030","resp",57340
"VNM","2030","resp",136607
"RSEA","2030","resp",145897
"CAN","2030","resp",12478
"USA","2030","resp",149841
"BRA","2030","resp",24566
"MEX","2030","resp",31533
"RCAM","2030","resp",11878
"CHL","2030","resp",1797
"ARG","2030","resp",1468
"RSAM","2030","resp",3164
