"region","year","disease","yll_o3"
"AUT","2060","resp",4134
"CHE","2060","resp",3354
"BLX","2060","resp",9751
"ESP","2060","resp",25618
"FIN","2060","resp",850
"FRA","2060","resp",23395
"GBR","2060","resp",19947
"GRC","2060","resp",5812
"ITA","2060","resp",29316
"RFA","2060","resp",25064
"SWE","2060","resp",3885
"TUR","2060","resp",47203
"NOR","2060","resp",1373
"BGR","2060","resp",2758
"HUN","2060","resp",2967
"POL","2060","resp",13351
"RCEU","2060","resp",11287
"RCZ","2060","resp",5539
"ROM","2060","resp",6690
"MEME","2060","resp",33552
"NOA","2060","resp",63610
"EGY","2060","resp",114688
"GOLF","2060","resp",91505
"WAF","2060","resp",318902
"EAF","2060","resp",272244
"SAF","2060","resp",54265
"RSA","2060","resp",20336
"KAZ","2060","resp",4832
"RIS","2060","resp",23357
"RUS","2060","resp",31749
"RUE","2060","resp",4304
"UKR","2060","resp",13635
"COR","2060","resp",89468
"JPN","2060","resp",20977
"AUS","2060","resp",574
"NZL","2060","resp",97
"PAC","2060","resp",0
"MON","2060","resp",31444
"CHN","2060","resp",2085961
"TWN","2060","resp",39446
"RSAS","2060","resp",719639
"NDE","2060","resp",5677080
"IDN","2060","resp",81149
"THA","2060","resp",41797
"MYS","2060","resp",7555
"PHL","2060","resp",88459
"VNM","2060","resp",137473
"RSEA","2060","resp",160176
"CAN","2060","resp",16081
"USA","2060","resp",189670
"BRA","2060","resp",25848
"MEX","2060","resp",41161
"RCAM","2060","resp",14877
"CHL","2060","resp",2153
"ARG","2060","resp",1433
"RSAM","2060","resp",4484
