"region","year","disease","yll_o3"
"AUT","2010","resp",3269
"CHE","2010","resp",2488
"BLX","2010","resp",5531
"ESP","2010","resp",19377
"FIN","2010","resp",593
"FRA","2010","resp",16202
"GBR","2010","resp",9501
"GRC","2010","resp",4837
"ITA","2010","resp",28458
"RFA","2010","resp",21133
"SWE","2010","resp",2395
"TUR","2010","resp",23327
"NOR","2010","resp",733
"BGR","2010","resp",2934
"HUN","2010","resp",3043
"POL","2010","resp",12187
"RCEU","2010","resp",8832
"RCZ","2010","resp",4173
"ROM","2010","resp",7189
"MEME","2010","resp",10157
"NOA","2010","resp",30577
"EGY","2010","resp",37237
"GOLF","2010","resp",28532
"WAF","2010","resp",56980
"EAF","2010","resp",49320
"SAF","2010","resp",11223
"RSA","2010","resp",10796
"KAZ","2010","resp",2585
"RIS","2010","resp",10739
"RUS","2010","resp",27015
"RUE","2010","resp",4108
"UKR","2010","resp",14115
"COR","2010","resp",54020
"JPN","2010","resp",17379
"AUS","2010","resp",90
"NZL","2010","resp",21
"PAC","2010","resp",0
"MON","2010","resp",23615
"CHN","2010","resp",1594642
"TWN","2010","resp",27130
"RSAS","2010","resp",145459
"NDE","2010","resp",1173220
"IDN","2010","resp",32509
"THA","2010","resp",29256
"MYS","2010","resp",2511
"PHL","2010","resp",22731
"VNM","2010","resp",64408
"RSEA","2010","resp",65604
"CAN","2010","resp",9290
"USA","2010","resp",120968
"BRA","2010","resp",14868
"MEX","2010","resp",21274
"RCAM","2010","resp",7910
"CHL","2010","resp",1148
"ARG","2010","resp",1032
"RSAM","2010","resp",2337
