"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2020",33,1641,41367,938,1379,45358
"AUS","2020",12,226,4061,489,122,4910
"AUT","2020",157,5870,32531,8295,14117,60969
"BGR","2020",228,6059,55128,7657,34665,103737
"BLX","2020",344,12616,83079,16976,25836,138851
"BRA","2020",355,10385,267540,6124,12251,296655
"CAN","2020",49,7466,98559,8946,6689,121709
"CHE","2020",74,3543,20201,4570,6373,34761
"CHL","2020",477,6641,64563,4485,32238,108405
"CHN","2020",80373,6479427,5052363,2859704,18998878,33470744
"COR","2020",962,241635,151727,70546,513480,978350
"EAF","2020",197957,186042,1027567,35830,775479,2222875
"EGY","2020",19331,106408,655853,30156,386554,1198303
"ESP","2020",709,23336,193720,44494,63413,325673
"FIN","2020",0,47,815,57,16,935
"FRA","2020",845,23837,176318,41392,57691,300084
"GBR","2020",285,13276,140634,16788,15283,186266
"GOLF","2020",23484,133352,1515802,108272,1026127,2807038
"GRC","2020",184,6306,43124,9220,12669,71503
"HUN","2020",91,4869,138045,7103,62439,212547
"IDN","2020",23480,103337,1164480,122477,296080,1709854
"ITA","2020",961,33123,204836,50736,85066,374722
"JPN","2020",4921,49349,259390,118634,308242,740535
"KAZ","2020",1254,9233,286813,16073,166146,479519
"MEME","2020",6395,30805,169189,36104,94827,337320
"MEX","2020",4463,23712,301709,16681,102807,449371
"MON","2020",2710,35076,201914,11600,93973,345272
"MYS","2020",933,4646,48899,11675,14244,80397
"NDE","2020",859316,3321041,12667763,1014307,9860025,27722452
"NOA","2020",17348,69477,307237,10577,338116,742756
"NOR","2020",0,0,0,0,0,0
"NZL","2020",240,1323,7946,3847,5753,19108
"PAC","2020",0,701,3030,219,162,4112
"PHL","2020",133,25342,69795,6442,7829,109541
"POL","2020",389,19467,213336,19709,67108,320008
"RCAM","2020",2068,12877,171712,8252,34269,229179
"RCEU","2020",327,11621,130706,14055,50446,207154
"RCZ","2020",516,12322,60458,16018,33757,123071
"RFA","2020",1052,48508,249808,60129,101406,460903
"RIS","2020",26531,61407,425833,73291,542440,1129502
"ROM","2020",476,12668,129992,15764,60265,219165
"RSA","2020",6593,24878,142983,4493,77943,256890
"RSAM","2020",1060,2682,104196,2728,9116,119782
"RSAS","2020",210944,449952,3503757,166951,1765291,6096895
"RSEA","2020",5692,189183,192965,72928,343548,804317
"RUE","2020",288,8693,153047,10054,21430,193512
"RUS","2020",2627,52132,692029,62814,207338,1016940
"SAF","2020",3378,8978,92848,1468,10672,117344
"SWE","2020",22,1712,19742,2020,1403,24900
"THA","2020",7905,63790,476329,71252,326050,945326
"TUR","2020",2317,37983,442138,44109,202584,729131
"TWN","2020",305,47187,64594,21538,155190,288814
"UKR","2020",635,19014,684080,29801,181618,915149
"USA","2020",1532,124020,1133084,127865,154954,1541456
"VNM","2020",4020,273305,257931,109552,490267,1135075
"WAF","2020",408431,262866,968182,35585,1389128,3064193
