"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2060",0,0,0,0,0,0
"AUS","2060",0,0,0,0,0,0
"AUT","2060",6,569,7442,1038,482,9537
"BGR","2060",44,1604,20532,2433,8940,33553
"BLX","2060",49,2707,27688,5166,3253,38863
"BRA","2060",0,0,0,0,0,0
"CAN","2060",0,858,22015,1139,197,24210
"CHE","2060",6,616,7193,1155,593,9563
"CHL","2060",83,2669,32928,2069,10726,48476
"CHN","2060",10593,2673111,2246859,1460233,6302930,12693727
"COR","2060",110,46523,55514,24430,71006,197584
"EAF","2060",46376,233228,1338567,58068,1138926,2815165
"EGY","2060",4039,89797,623033,36679,352052,1105599
"ESP","2060",141,8051,70028,15790,12872,106881
"FIN","2060",0,0,0,0,0,0
"FRA","2060",43,3035,42781,5481,2352,53692
"GBR","2060",0,328,6776,548,105,7756
"GOLF","2060",4986,89511,1357254,121255,827040,2400047
"GRC","2060",25,1420,13078,2764,2031,19317
"HUN","2060",17,927,44981,1569,6072,53565
"IDN","2060",3415,60800,695047,96020,160247,1015528
"ITA","2060",215,10352,78064,20723,20997,130350
"JPN","2060",588,9471,85859,41480,39537,176936
"KAZ","2060",238,4887,155760,8677,64221,233782
"MEME","2060",619,12793,89206,25924,29708,158252
"MEX","2060",730,16256,206359,12559,62531,298435
"MON","2060",203,16091,90269,4741,20573,131876
"MYS","2060",23,678,14271,2564,730,18266
"NDE","2060",154572,3726297,10724341,1180983,9522576,25308769
"NOA","2060",4510,44027,228046,8313,256460,541357
"NOR","2060",0,0,0,0,0,0
"NZL","2060",131,809,5944,3633,4755,15273
"PAC","2060",0,589,2119,251,124,3083
"PHL","2060",0,0,0,0,0,0
"POL","2060",0,548,21016,674,411,22648
"RCAM","2060",259,7305,114293,5466,19510,146832
"RCEU","2060",99,5233,71932,7890,26061,111214
"RCZ","2060",49,2395,19733,4735,4202,31113
"RFA","2060",135,8573,79444,16653,12111,116917
"RIS","2060",1829,27162,236155,43038,239954,548138
"ROM","2060",33,2191,38846,3175,7000,51245
"RSA","2060",1284,13916,95758,3385,50410,164753
"RSAM","2060",155,1535,67075,1627,4914,75305
"RSAS","2060",31266,530951,3216561,219079,2156726,6154583
"RSEA","2060",668,99999,99078,53746,200422,453912
"RUE","2060",0,254,9733,316,185,10488
"RUS","2060",66,6162,158495,8385,11506,184614
"SAF","2060",1912,17230,157280,4012,38516,218949
"SWE","2060",0,0,0,0,0,0
"THA","2060",2256,30187,260630,49437,124617,467126
"TUR","2060",427,15698,238179,23299,66224,343827
"TWN","2060",37,15966,21348,8253,20020,65623
"UKR","2060",0,142,14747,208,222,15319
"USA","2060",252,33344,472553,50077,22794,579020
"VNM","2060",256,91458,115319,47750,126952,381735
"WAF","2060",98450,292410,1310736,55946,1954055,3711597
