"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2090",0,0,0,0,0,0
"AUS","2090",0,0,0,0,0,0
"AUT","2090",0,756,10162,819,267,12003
"BGR","2090",46,3112,30761,3563,11513,48995
"BLX","2090",55,6319,57383,7351,5258,76366
"BRA","2090",0,0,0,0,0,0
"CAN","2090",0,767,18860,737,225,20590
"CHE","2090",0,954,9791,1016,516,12277
"CHL","2090",43,3590,50787,2086,8873,65380
"CHN","2090",13313,3543917,3213129,1521311,8128690,16420360
"COR","2090",64,71958,66629,19684,67958,226292
"EAF","2090",140047,748520,3986625,148608,3057619,8081419
"EGY","2090",11464,274732,1481550,82745,1001877,2852369
"ESP","2090",248,16474,148505,28301,28086,221614
"FIN","2090",0,0,0,0,0,0
"FRA","2090",10,3293,59559,4380,1080,68323
"GBR","2090",0,0,0,0,0,0
"GOLF","2090",12535,325752,3528498,278096,2401879,6546761
"GRC","2090",23,2833,25075,3652,2647,34231
"HUN","2090",0,1144,51212,1421,4824,58601
"IDN","2090",6252,122709,1375168,152677,276765,1933571
"ITA","2090",290,20072,134166,27811,32701,215040
"JPN","2090",516,17250,117577,39200,50616,225160
"KAZ","2090",342,9817,316186,15514,124778,466638
"MEME","2090",2152,53258,313136,56571,106462,531578
"MEX","2090",1773,37376,486110,23616,148598,697473
"MON","2090",166,15477,125926,5130,18120,164819
"MYS","2090",0,299,5862,646,202,7008
"NDE","2090",333075,6129809,22293733,1987290,16780673,47524581
"NOA","2090",8186,108676,448957,17124,538748,1121690
"NOR","2090",0,0,0,0,0,0
"NZL","2090",252,2955,14555,8615,12447,38823
"PAC","2090",0,1739,6565,521,390,9214
"PHL","2090",0,0,0,0,0,0
"POL","2090",0,0,0,0,0,0
"RCAM","2090",591,16603,247854,9427,34428,308903
"RCEU","2090",173,12034,116487,13575,48570,190840
"RCZ","2090",67,5124,33980,5861,6123,51154
"RFA","2090",165,19578,131431,21226,18624,191023
"RIS","2090",7952,81856,558398,90067,631942,1370216
"ROM","2090",26,2882,43095,3098,5070,54172
"RSA","2090",2397,33151,199046,6076,89055,329724
"RSAM","2090",106,2113,121482,1759,2805,128264
"RSAS","2090",114125,1200122,8540264,470240,4518453,14843204
"RSEA","2090",1755,208515,208959,78855,286839,784922
"RUE","2090",0,0,0,0,0,0
"RUS","2090",36,4681,146032,4348,2723,157819
"SAF","2090",6757,71041,535040,12548,126464,751849
"SWE","2090",0,0,0,0,0,0
"THA","2090",2025,49897,385467,58264,195346,690998
"TUR","2090",417,32193,444934,33287,91783,602615
"TWN","2090",28,23997,41083,10406,39664,115178
"UKR","2090",0,0,0,0,0,0
"USA","2090",440,99385,1205278,88042,72249,1465395
"VNM","2090",380,178668,209916,68073,163752,620790
"WAF","2090",381491,1188184,4115277,166505,6252001,12103459
