"region","year","disease","med","LB","UB"
"ARG","2060","alri",0,0,0
"ARG","2060","copd",0,0,0
"ARG","2060","ihd",0,0,0
"ARG","2060","lc",0,0,0
"ARG","2060","stroke",0,0,0
"ARG","2060","tot",0,0,0
"AUS","2060","alri",0,0,0
"AUS","2060","copd",0,0,0
"AUS","2060","ihd",0,0,0
"AUS","2060","lc",0,0,0
"AUS","2060","stroke",0,0,0
"AUS","2060","tot",0,0,0
"AUT","2060","alri",1,0,5
"AUT","2060","copd",73,14,169
"AUT","2060","ihd",927,202,1579
"AUT","2060","lc",89,8,204
"AUT","2060","stroke",69,6,553
"AUT","2060","tot",1160,230,2509
"BGR","2060","alri",4,1,7
"BGR","2060","copd",164,47,301
"BGR","2060","ihd",1907,1297,2573
"BGR","2060","lc",177,28,323
"BGR","2060","stroke",871,432,1409
"BGR","2060","tot",3123,1805,4613
"BLX","2060","alri",8,1,29
"BLX","2060","copd",347,76,743
"BLX","2060","ihd",3449,1176,5335
"BLX","2060","lc",443,48,939
"BLX","2060","stroke",466,65,2089
"BLX","2060","tot",4712,1367,9135
"BRA","2060","alri",0,0,0
"BRA","2060","copd",0,0,0
"BRA","2060","ihd",0,0,0
"BRA","2060","lc",0,0,0
"BRA","2060","stroke",0,0,0
"BRA","2060","tot",0,0,0
"CAN","2060","alri",0,0,3
"CAN","2060","copd",101,14,273
"CAN","2060","ihd",2645,213,5176
"CAN","2060","lc",100,6,266
"CAN","2060","stroke",26,0,801
"CAN","2060","tot",2872,233,6520
"CHE","2060","alri",1,0,6
"CHE","2060","copd",79,16,178
"CHE","2060","ihd",896,239,1452
"CHE","2060","lc",99,10,219
"CHE","2060","stroke",85,7,539
"CHE","2060","tot",1161,273,2393
"CHL","2060","alri",9,3,20
"CHL","2060","copd",300,79,570
"CHL","2060","ihd",3034,1804,4242
"CHL","2060","lc",159,23,303
"CHL","2060","stroke",1005,379,2017
"CHL","2060","tot",4507,2288,7153
"CHN","2060","alri",1158,751,1524
"CHN","2060","copd",299526,112372,482071
"CHN","2060","ihd",217343,159383,316034
"CHN","2060","lc",110579,25897,174100
"CHN","2060","stroke",611418,222358,958143
"CHN","2060","tot",1240024,520760,1931872
"COR","2060","alri",12,4,24
"COR","2060","copd",5213,1504,9578
"COR","2060","ihd",5370,3665,7239
"COR","2060","lc",1850,295,3373
"COR","2060","stroke",6888,3432,11084
"COR","2060","tot",19333,8900,31298
"EAF","2060","alri",3251,1387,5693
"EAF","2060","copd",18017,5559,31669
"EAF","2060","ihd",104001,73733,135097
"EAF","2060","lc",3980,696,6986
"EAF","2060","stroke",86464,44737,128842
"EAF","2060","tot",215713,126112,308287
"EGY","2060","alri",325,216,425
"EGY","2060","copd",7179,2719,11505
"EGY","2060","ihd",48715,35813,71397
"EGY","2060","lc",2589,617,4050
"EGY","2060","stroke",29923,10696,45532
"EGY","2060","tot",88730,50061,132910
"ESP","2060","alri",23,5,64
"ESP","2060","copd",1032,250,2078
"ESP","2060","ihd",8723,4041,12768
"ESP","2060","lc",1354,170,2715
"ESP","2060","stroke",1844,439,5336
"ESP","2060","tot",12974,4905,22961
"FIN","2060","alri",0,0,0
"FIN","2060","copd",0,0,0
"FIN","2060","ihd",0,0,0
"FIN","2060","lc",0,0,0
"FIN","2060","stroke",0,0,0
"FIN","2060","tot",0,0,0
"FRA","2060","alri",7,1,35
"FRA","2060","copd",389,71,924
"FRA","2060","ihd",5329,1012,9326
"FRA","2060","lc",470,41,1096
"FRA","2060","stroke",337,26,3157
"FRA","2060","tot",6531,1151,14538
"GBR","2060","alri",0,0,4
"GBR","2060","copd",42,6,114
"GBR","2060","ihd",844,67,1685
"GBR","2060","lc",47,3,124
"GBR","2060","stroke",15,0,487
"GBR","2060","tot",948,76,2413
"GOLF","2060","alri",414,290,521
"GOLF","2060","copd",8392,3513,12977
"GOLF","2060","ihd",111982,84590,183378
"GOLF","2060","lc",9175,2556,13516
"GOLF","2060","stroke",76291,24616,99013
"GOLF","2060","tot",206254,115565,309405
"GRC","2060","alri",4,1,11
"GRC","2060","copd",182,43,376
"GRC","2060","ihd",1629,677,2423
"GRC","2060","lc",237,28,485
"GRC","2060","stroke",291,54,991
"GRC","2060","tot",2343,802,4287
"HUN","2060","alri",1,0,3
"HUN","2060","copd",85,20,179
"HUN","2060","ihd",4127,1623,6208
"HUN","2060","lc",113,13,233
"HUN","2060","stroke",601,102,2211
"HUN","2060","tot",4927,1758,8834
"IDN","2060","alri",277,78,680
"IDN","2060","copd",5420,1399,10455
"IDN","2060","ihd",55088,30754,78026
"IDN","2060","lc",7134,982,13776
"IDN","2060","stroke",14230,4819,31324
"IDN","2060","tot",82148,38032,134261
"ITA","2060","alri",35,11,83
"ITA","2060","copd",1327,351,2524
"ITA","2060","ihd",9724,5776,13600
"ITA","2060","lc",1777,253,3387
"ITA","2060","stroke",3008,1132,6047
"ITA","2060","tot",15872,7522,25641
"JPN","2060","alri",103,31,243
"JPN","2060","copd",1369,360,2611
"JPN","2060","ihd",10270,6025,14401
"JPN","2060","lc",4190,592,8006
"JPN","2060","stroke",5363,1979,10978
"JPN","2060","tot",21295,8987,36239
"KAZ","2060","alri",14,6,24
"KAZ","2060","copd",448,137,790
"KAZ","2060","ihd",14291,10093,18635
"KAZ","2060","lc",625,108,1102
"KAZ","2060","stroke",6357,3291,9506
"KAZ","2060","tot",21735,13635,30058
"MEME","2060","alri",101,35,208
"MEME","2060","copd",1640,462,3041
"MEME","2060","ihd",11112,7298,15054
"MEME","2060","lc",2223,343,4106
"MEME","2060","stroke",4256,2001,7235
"MEME","2060","tot",19331,10138,29644
"MEX","2060","alri",79,23,191
"MEX","2060","copd",1827,475,3512
