"region","year","disease","Damage_med","unit"
"AUT","2060","resp",959378,"Thous$2015"
"CHE","2060","resp",936993,"Thous$2015"
"BLX","2060","resp",3678574,"Thous$2015"
"ESP","2060","resp",7881798,"Thous$2015"
"FIN","2060","resp",230978,"Thous$2015"
"FRA","2060","resp",7979886,"Thous$2015"
"GBR","2060","resp",7323600,"Thous$2015"
"GRC","2060","resp",1861529,"Thous$2015"
"ITA","2060","resp",10279532,"Thous$2015"
"RFA","2060","resp",5486990,"Thous$2015"
"SWE","2060","resp",1217634,"Thous$2015"
"TUR","2060","resp",6537347,"Thous$2015"
"NOR","2060","resp",526311,"Thous$2015"
"BGR","2060","resp",393553,"Thous$2015"
"HUN","2060","resp",563379,"Thous$2015"
"POL","2060","resp",2590326,"Thous$2015"
"RCEU","2060","resp",1662270,"Thous$2015"
"RCZ","2060","resp",950336,"Thous$2015"
"ROM","2060","resp",1138757,"Thous$2015"
"MEME","2060","resp",3368372,"Thous$2015"
"NOA","2060","resp",6067924,"Thous$2015"
"EGY","2060","resp",11233239,"Thous$2015"
"GOLF","2060","resp",12634710,"Thous$2015"
"WAF","2060","resp",17044307,"Thous$2015"
"EAF","2060","resp",9846292,"Thous$2015"
"SAF","2060","resp",1664099,"Thous$2015"
"RSA","2060","resp",2708678,"Thous$2015"
"KAZ","2060","resp",800801,"Thous$2015"
"RIS","2060","resp",4021382,"Thous$2015"
"RUS","2060","resp",5441839,"Thous$2015"
"RUE","2060","resp",737714,"Thous$2015"
"UKR","2060","resp",2317366,"Thous$2015"
"COR","2060","resp",15612373,"Thous$2015"
"JPN","2060","resp",4789326,"Thous$2015"
"AUS","2060","resp",207318,"Thous$2015"
"NZL","2060","resp",23677,"Thous$2015"
"PAC","2060","resp",0,"Thous$2015"
"MON","2060","resp",452243,"Thous$2015"
"CHN","2060","resp",431127633,"Thous$2015"
"TWN","2060","resp",13839096,"Thous$2015"
"RSAS","2060","resp",30138517,"Thous$2015"
"NDE","2060","resp",716022518,"Thous$2015"
"IDN","2060","resp",11878283,"Thous$2015"
"THA","2060","resp",5982252,"Thous$2015"
"MYS","2060","resp",1267586,"Thous$2015"
"PHL","2060","resp",6150288,"Thous$2015"
"VNM","2060","resp",15139216,"Thous$2015"
"RSEA","2060","resp",5349472,"Thous$2015"
"CAN","2060","resp",4697341,"Thous$2015"
"USA","2060","resp",57500558,"Thous$2015"
"BRA","2060","resp",3715817,"Thous$2015"
"MEX","2060","resp",6720911,"Thous$2015"
"RCAM","2060","resp",1570738,"Thous$2015"
"CHL","2060","resp",318490,"Thous$2015"
"ARG","2060","resp",242171,"Thous$2015"
"RSAM","2060","resp",543817,"Thous$2015"
