"region","year","disease","mort_o3"
"ARG","2010","RESP",116
"AUS","2010","RESP",13
"AUT","2010","RESP",419
"BGR","2010","RESP",300
"BLX","2010","RESP",709
"BRA","2010","RESP",1671
"CAN","2010","RESP",1093
"CHE","2010","RESP",319
"CHL","2010","RESP",129
"CHN","2010","RESP",178682
"COR","2010","RESP",6053
"EAF","2010","RESP",3810
"EGY","2010","RESP",2977
"ESP","2010","RESP",2484
"FIN","2010","RESP",76
"FRA","2010","RESP",2077
"GBR","2010","RESP",1218
"GOLF","2010","RESP",2675
"GRC","2010","RESP",620
"HUN","2010","RESP",279
"IDN","2010","RESP",2898
"ITA","2010","RESP",3648
"JPN","2010","RESP",2512
"KAZ","2010","RESP",237
"MEME","2010","RESP",1302
"MEX","2010","RESP",2391
"MON","2010","RESP",1858
"MYS","2010","RESP",363
"NDE","2010","RESP",92308
"NOA","2010","RESP",2403
"NOR","2010","RESP",94
"NZL","2010","RESP",3
"PAC","2010","RESP",0
"PHL","2010","RESP",2547
"POL","2010","RESP",1246
"RCAM","2010","RESP",889
"RCEU","2010","RESP",903
"RCZ","2010","RESP",535
"RFA","2010","RESP",2709
"RIS","2010","RESP",1098
"ROM","2010","RESP",735
"RSA","2010","RESP",834
"RSAM","2010","RESP",271
"RSAS","2010","RESP",11629
"RSEA","2010","RESP",7351
"RUE","2010","RESP",420
"RUS","2010","RESP",2762
"SAF","2010","RESP",867
"SWE","2010","RESP",307
"THA","2010","RESP",2608
"TUR","2010","RESP",2385
"TWN","2010","RESP",3040
"UKR","2010","RESP",1294
"USA","2010","RESP",14232
"VNM","2010","RESP",7217
"WAF","2010","RESP",4478
