"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2030",9,436,14369,273,277,15365
"AUS","2030",0,0,0,0,0,0
"AUT","2030",31,1459,12186,2869,2492,19037
"BGR","2030",66,2171,25194,3326,14175,44932
"BLX","2030",110,3830,31646,7557,6659,49803
"BRA","2030",46,3434,106609,2238,2807,115135
"CAN","2030",20,2805,42391,4167,1814,51197
"CHE","2030",25,991,8742,1948,1550,13255
"CHL","2030",240,3630,36520,2889,20385,63665
"CHN","2030",22128,3490468,2612499,1924387,8587691,16637173
"COR","2030",375,83961,80687,45321,176052,386396
"EAF","2030",47346,110407,635208,27473,537099,1357533
"EGY","2030",3567,49583,376723,20061,181997,631930
"ESP","2030",264,11023,79717,22228,24047,137279
"FIN","2030",0,0,0,0,0,0
"FRA","2030",184,6826,62915,13271,9745,92940
"GBR","2030",25,1857,32184,3219,998,38282
"GOLF","2030",5540,56872,848699,77194,524978,1513283
"GRC","2030",55,2184,16088,4385,4621,27333
"HUN","2030",51,1756,64937,3068,18144,87956
"IDN","2030",5732,54821,596003,87231,156745,900532
"ITA","2030",349,12981,88420,26368,31377,159494
"JPN","2030",1496,15705,120153,70259,87374,294987
"KAZ","2030",374,4571,134517,8219,67080,214760
"MEME","2030",987,9814,62056,20082,26742,119680
"MEX","2030",1220,14387,170045,11245,62317,259214
"MON","2030",549,21442,101815,6455,36399,166659
"MYS","2030",194,1536,18819,6405,3811,30765
"NDE","2030",198439,2653231,7522033,840477,6761677,17975857
"NOA","2030",5907,34954,179207,6621,206825,433514
"NOR","2030",0,0,0,0,0,0
"NZL","2030",131,630,4648,2831,3693,11934
"PAC","2030",0,366,1334,158,72,1930
"PHL","2030",9,6310,22568,2707,1289,32882
"POL","2030",77,4832,90849,6942,14072,116771
"RCAM","2030",471,6727,95604,5115,21420,129337
"RCEU","2030",131,5164,70274,7794,26143,109506
"RCZ","2030",104,3362,23016,6822,8048,41353
"RFA","2030",276,12669,98880,25248,24368,161441
"RIS","2030",2892,23347,192421,37141,209809,465609
"ROM","2030",99,4225,58613,6351,20672,89960
"RSA","2030",1826,11612,76632,2845,45154,138069
"RSAM","2030",368,1716,61514,1891,7142,72632
"RSAS","2030",35094,329255,2017022,135763,1334098,3851232
"RSEA","2030",1052,98276,93165,53085,209174,454752
"RUE","2030",33,2240,53047,3093,4578,62990
"RUS","2030",361,17244,279684,25347,64982,387618
"SAF","2030",1027,5605,60570,1269,9326,77797
"SWE","2030",0,86,1718,140,28,1972
"THA","2030",3501,32677,268579,53878,144098,502733
"TUR","2030",789,15689,212791,23698,79721,332687
"TWN","2030",101,25479,28998,13443,42090,110111
"UKR","2030",85,4407,233198,7275,24438,269402
"USA","2030",449,38189,458203,59209,36065,592116
"VNM","2030",796,121757,126339,64997,228709,542597
"WAF","2030",85851,134931,613975,25766,892832,1753356
