"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2040",0,300,8744,160,155,9360
"AUS","2040",0,0,0,0,0,0
"AUT","2040",36,3068,21453,3814,3543,31913
"BGR","2040",114,4609,41187,5332,20395,71639
"BLX","2040",133,9009,65586,10884,11051,96663
"BRA","2040",44,4790,163438,2375,2603,173250
"CAN","2040",12,4127,75745,4184,2297,86365
"CHE","2040",21,2271,15221,2620,2226,22359
"CHL","2040",289,7646,75554,4652,34569,122711
"CHN","2040",39765,7144406,5434725,3110538,18263779,33993214
"COR","2040",321,192213,134951,54496,282450,664430
"EAF","2040",184097,336934,1778526,66953,1393497,3760007
"EGY","2040",13239,158914,929939,47458,544671,1694220
"ESP","2040",372,19929,166793,34611,38531,260237
"FIN","2040",0,0,0,0,0,0
"FRA","2040",173,11928,116674,18024,12573,159372
"GBR","2040",11,2283,42078,2345,660,47378
"GOLF","2040",17033,212689,2291929,181685,1566717,4270052
"GRC","2040",69,4709,33816,6227,6256,51077
"HUN","2040",36,3116,96261,4120,25029,128563
"IDN","2040",14138,144764,1493229,182284,374626,2209041
"ITA","2040",525,27166,166230,38183,51258,283363
"JPN","2040",1981,39015,209390,91790,171485,513661
"KAZ","2040",760,10098,297273,16153,147179,471462
"MEME","2040",3880,41910,221561,45118,100503,412972
"MEX","2040",3515,32809,406177,20896,141685,605081
"MON","2040",885,32941,197106,11419,65842,308192
"MYS","2040",466,5788,61951,14097,11793,94095
"NDE","2040",709306,5890018,18976513,1925787,16126956,43628579
"NOA","2040",11729,90137,383775,14171,431104,930916
"NOR","2040",0,0,0,0,0,0
"NZL","2040",274,2271,11214,6609,9505,29874
"PAC","2040",0,1349,5113,411,292,7166
"PHL","2040",33,19197,55806,4659,3069,82764
"POL","2040",35,5919,98610,5103,7849,117517
"RCAM","2040",1379,16238,220626,9360,39537,287140
"RCEU","2040",211,12241,124789,13719,45265,196226
"RCZ","2040",200,9298,47387,11016,17396,85297
"RFA","2040",380,32185,180332,35933,42068,290898
"RIS","2040",15553,76494,501837,84297,598508,1276690
"ROM","2040",159,7996,88891,8997,23900,129942
"RSA","2040",4270,28865,165897,5336,83757,288124
"RSAM","2040",1007,4409,157125,4104,15902,182546
"RSAS","2040",174668,808725,5589093,317389,3057830,9947705
"RSEA","2040",4280,281467,250245,108133,455319,1099444
"RUE","2040",0,2149,66533,2011,1264,71957
"RUS","2040",720,30424,467779,32651,67732,599306
"SAF","2040",4987,21906,190576,3767,29642,250879
"SWE","2040",0,0,0,0,0,0
"THA","2040",4848,78730,538413,93448,364322,1079761
"TUR","2040",1190,40104,461931,42592,156058,701874
"TWN","2040",97,41398,58947,18449,93732,212623
"UKR","2040",0,1427,120505,1734,2004,125671
"USA","2040",743,103985,1105971,94283,94248,1399230
"VNM","2040",1548,304286,290133,119054,394963,1109984
"WAF","2040",416201,454234,1599234,63490,2358886,4892046
