"region","year","disease","yll_o3"
"AUT","2080","resp",3955
"CHE","2080","resp",3339
"BLX","2080","resp",10149
"ESP","2080","resp",24565
"FIN","2080","resp",850
"FRA","2080","resp",24659
"GBR","2080","resp",21195
"GRC","2080","resp",5476
"ITA","2080","resp",27131
"RFA","2080","resp",23605
"SWE","2080","resp",4220
"TUR","2080","resp",47799
"NOR","2080","resp",1506
"BGR","2080","resp",2514
"HUN","2080","resp",2618
"POL","2080","resp",11620
"RCEU","2080","resp",10348
"RCZ","2080","resp",5211
"ROM","2080","resp",5370
"MEME","2080","resp",38076
"NOA","2080","resp",65811
"EGY","2080","resp",129873
"GOLF","2080","resp",101371
"WAF","2080","resp",542650
"EAF","2080","resp",421823
"SAF","2080","resp",84388
"RSA","2080","resp",22213
"KAZ","2080","resp",4931
"RIS","2080","resp",22799
"RUS","2080","resp",29802
"RUE","2080","resp",3873
"UKR","2080","resp",12414
"COR","2080","resp",72574
"JPN","2080","resp",18867
"AUS","2080","resp",637
"NZL","2080","resp",111
"PAC","2080","resp",0
"MON","2080","resp",26881
"CHN","2080","resp",1556704
"TWN","2080","resp",37688
"RSAS","2080","resp",850925
"NDE","2080","resp",5787643
"IDN","2080","resp",74082
"THA","2080","resp",36256
"MYS","2080","resp",7603
"PHL","2080","resp",95626
"VNM","2080","resp",116571
"RSEA","2080","resp",145728
"CAN","2080","resp",17518
"USA","2080","resp",207171
"BRA","2080","resp",23917
"MEX","2080","resp",45396
"RCAM","2080","resp",15402
"CHL","2080","resp",2127
"ARG","2080","resp",1477
"RSAM","2080","resp",4716
