"region","year","disease","Damage_med","unit"
"AUT","2010","resp",543579,"Thous$2015"
"CHE","2010","resp",461782,"Thous$2015"
"BLX","2010","resp",1016027,"Thous$2015"
"ESP","2010","resp",2607707,"Thous$2015"
"FIN","2010","resp",92169,"Thous$2015"
"FRA","2010","resp",2527247,"Thous$2015"
"GBR","2010","resp",1549283,"Thous$2015"
"GRC","2010","resp",628448,"Thous$2015"
"ITA","2010","resp",3982084,"Thous$2015"
"RFA","2010","resp",3352173,"Thous$2015"
"SWE","2010","resp",394685,"Thous$2015"
"TUR","2010","resp",1502487,"Thous$2015"
"NOR","2010","resp",156821,"Thous$2015"
"BGR","2010","resp",189379,"Thous$2015"
"HUN","2010","resp",282777,"Thous$2015"
"POL","2010","resp",1109958,"Thous$2015"
"RCEU","2010","resp",435529,"Thous$2015"
"RCZ","2010","resp",478025,"Thous$2015"
"ROM","2010","resp",445515,"Thous$2015"
"MEME","2010","resp",546775,"Thous$2015"
"NOA","2010","resp",1245926,"Thous$2015"
"EGY","2010","resp",1288980,"Thous$2015"
"GOLF","2010","resp",1783043,"Thous$2015"
"WAF","2010","resp",814269,"Thous$2015"
"EAF","2010","resp",469866,"Thous$2015"
"SAF","2010","resp",101480,"Thous$2015"
"RSA","2010","resp",508988,"Thous$2015"
"KAZ","2010","resp",176606,"Thous$2015"
"RIS","2010","resp",241976,"Thous$2015"
"RUS","2010","resp",2143799,"Thous$2015"
"RUE","2010","resp",325994,"Thous$2015"
"UKR","2010","resp",682314,"Thous$2015"
"COR","2010","resp",7027279,"Thous$2015"
"JPN","2010","resp",2743595,"Thous$2015"
"AUS","2010","resp",16739,"Thous$2015"
"NZL","2010","resp",2876,"Thous$2015"
"PAC","2010","resp",0,"Thous$2015"
"MON","2010","resp",101603,"Thous$2015"
"CHN","2010","resp",73931839,"Thous$2015"
"TWN","2010","resp",4299094,"Thous$2015"
"RSAS","2010","resp",2257071,"Thous$2015"
"NDE","2010","resp",29179032,"Thous$2015"
"IDN","2010","resp",982468,"Thous$2015"
"THA","2010","resp",1433456,"Thous$2015"
"MYS","2010","resp",230585,"Thous$2015"
"PHL","2010","resp",536072,"Thous$2015"
"VNM","2010","resp",1482915,"Thous$2015"
"RSEA","2010","resp",434124,"Thous$2015"
"CAN","2010","resp",1595020,"Thous$2015"
"USA","2010","resp",23079733,"Thous$2015"
"BRA","2010","resp",888587,"Thous$2015"
"MEX","2010","resp",1467178,"Thous$2015"
"RCAM","2010","resp",408223,"Thous$2015"
"CHL","2010","resp",80505,"Thous$2015"
"ARG","2010","resp",74162,"Thous$2015"
"RSAM","2010","resp",107870,"Thous$2015"
