"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2010",149,3061,54816,2036,4507,64569
"AUS","2010",12,271,5965,607,174,7029
"AUT","2010",217,5758,34118,9049,17143,66286
"BGR","2010",320,5750,58795,8011,37278,110153
"BLX","2010",698,15371,99021,23189,44925,183205
"BRA","2010",909,14514,301862,9571,22706,349561
"CAN","2010",0,1618,40407,1833,450,44308
"CHE","2010",127,3951,22413,5707,9842,42041
"CHL","2010",737,6344,59122,4632,33404,104238
"CHN","2010",106480,4691292,4260102,2034330,16190739,27282943
"COR","2010",1360,192555,135673,55303,487637,872528
"EAF","2010",217457,139282,794772,25887,604240,1781637
"EGY","2010",25470,77428,514704,20750,297433,935786
"ESP","2010",1070,21190,192195,44687,68530,327671
"FIN","2010",0,23,352,19,0,394
"FRA","2010",1528,27331,201470,53043,91645,375017
"GBR","2010",717,18732,175980,27155,36966,259550
"GOLF","2010",29604,85228,1052721,65299,691971,1924823
"GRC","2010",253,5886,44255,9520,13947,73862
"HUN","2010",164,5234,156039,8476,83431,253345
"IDN","2010",41099,85184,1029150,95268,293155,1543856
"ITA","2010",1698,35361,228225,60376,113795,439455
"JPN","2010",7576,45745,266033,108944,368336,796634
"KAZ","2010",1899,7807,261520,15062,167403,453691
"MEME","2010",7244,21061,130134,27233,73175,258848
"MEX","2010",4065,17057,236717,12756,66625,337220
"MON","2010",4258,30763,192043,9563,94936,331564
"MYS","2010",1866,4347,45226,11052,21423,83914
"NDE","2010",802450,1864436,9223883,527396,5858382,18276546
"NOA","2010",21716,54164,249153,7959,271792,604784
"NOR","2010",0,0,0,0,0,0
"NZL","2010",263,970,6772,2762,4976,15743
"PAC","2010",0,493,2588,164,162,3408
"PHL","2010",333,25214,64775,6602,13393,110318
"POL","2010",777,23396,247830,26694,118079,416776
"RCAM","2010",2659,10994,147495,7596,30174,198918
"RCEU","2010",423,9990,126329,13335,49231,199309
"RCZ","2010",749,12072,62444,17472,40855,133592
"RFA","2010",1812,55407,291367,76548,152977,578111
"RIS","2010",39480,53955,376609,71604,525206,1066853
"ROM","2010",926,14202,149014,19730,87241,271114
"RSA","2010",7529,19693,120298,3421,61487,212428
"RSAM","2010",3206,3894,119022,4420,19057,149599
"RSAS","2010",192590,266423,2507938,92483,1051873,4111306
"RSEA","2010",6677,130295,154804,49323,281876,622974
"RUE","2010",324,6949,142556,8797,18202,176828
"RUS","2010",2878,42102,647780,55751,181086,929597
"SAF","2010",4612,8162,82060,1302,10672,106807
"SWE","2010",33,1821,21615,2389,1836,27693
"THA","2010",11741,51676,429572,54146,296921,844055
"TUR","2010",2484,27177,363101,34730,158465,585957
"TWN","2010",457,37340,57395,16853,155566,267610
"UKR","2010",1136,21252,789033,37265,267191,1115878
"USA","2010",2185,122768,1086639,137033,167839,1516464
"VNM","2010",5487,195263,203900,77171,442263,924084
"WAF","2010",437473,199921,766361,26109,1089626,2519489
