"region","year","disease","Damage_med","unit"
"AUT","2040","resp",782405,"Thous$2015"
"CHE","2040","resp",731722,"Thous$2015"
"BLX","2040","resp",2702382,"Thous$2015"
"ESP","2040","resp",5969784,"Thous$2015"
"FIN","2040","resp",178382,"Thous$2015"
"FRA","2040","resp",5745534,"Thous$2015"
"GBR","2040","resp",4973435,"Thous$2015"
"GRC","2040","resp",1432374,"Thous$2015"
"ITA","2040","resp",8414312,"Thous$2015"
"RFA","2040","resp",4519197,"Thous$2015"
"SWE","2040","resp",865701,"Thous$2015"
"TUR","2040","resp",4320811,"Thous$2015"
"NOR","2040","resp",371235,"Thous$2015"
"BGR","2040","resp",347090,"Thous$2015"
"HUN","2040","resp",489197,"Thous$2015"
"POL","2040","resp",2322081,"Thous$2015"
"RCEU","2040","resp",1320008,"Thous$2015"
"RCZ","2040","resp",755565,"Thous$2015"
"ROM","2040","resp",1043661,"Thous$2015"
"MEME","2040","resp",1986745,"Thous$2015"
"NOA","2040","resp",3375657,"Thous$2015"
"EGY","2040","resp",5939097,"Thous$2015"
"GOLF","2040","resp",7688196,"Thous$2015"
"WAF","2040","resp",5410827,"Thous$2015"
"EAF","2040","resp",3411088,"Thous$2015"
"SAF","2040","resp",581147,"Thous$2015"
"RSA","2040","resp",1584276,"Thous$2015"
"KAZ","2040","resp",610299,"Thous$2015"
"RIS","2040","resp",3039391,"Thous$2015"
"RUS","2040","resp",4609433,"Thous$2015"
"RUE","2040","resp",643949,"Thous$2015"
"UKR","2040","resp",2042657,"Thous$2015"
"COR","2040","resp",15329324,"Thous$2015"
"JPN","2040","resp",4471142,"Thous$2015"
"AUS","2040","resp",119237,"Thous$2015"
"NZL","2040","resp",12640,"Thous$2015"
"PAC","2040","resp",0,"Thous$2015"
"MON","2040","resp",322672,"Thous$2015"
"CHN","2040","resp",422828700,"Thous$2015"
"TWN","2040","resp",13152965,"Thous$2015"
"RSAS","2040","resp",13339271,"Thous$2015"
"NDE","2040","resp",432361984,"Thous$2015"
"IDN","2040","resp",7475744,"Thous$2015"
"THA","2040","resp",4222303,"Thous$2015"
"MYS","2040","resp",912019,"Thous$2015"
"PHL","2040","resp",3200710,"Thous$2015"
"VNM","2040","resp",11823728,"Thous$2015"
"RSEA","2040","resp",3537431,"Thous$2015"
"CAN","2040","resp",3401642,"Thous$2015"
"USA","2040","resp",41375112,"Thous$2015"
"BRA","2040","resp",2482935,"Thous$2015"
"MEX","2040","resp",4224780,"Thous$2015"
"RCAM","2040","resp",1050937,"Thous$2015"
"CHL","2040","resp",225878,"Thous$2015"
"ARG","2040","resp",174038,"Thous$2015"
"RSAM","2040","resp",347940,"Thous$2015"
