"region","year","disease","Damage_med","unit"
"ARG","2040","RESP",526,"Million$2015"
"AUS","2040","RESP",463,"Million$2015"
"AUT","2040","RESP",2696,"Million$2015"
"BGR","2040","RESP",954,"Million$2015"
"BLX","2040","RESP",9311,"Million$2015"
"BRA","2040","RESP",7501,"Million$2015"
"CAN","2040","RESP",10757,"Million$2015"
"CHE","2040","RESP",2521,"Million$2015"
"CHL","2040","RESP",682,"Million$2015"
"CHN","2040","RESP",1273524,"Million$2015"
"COR","2040","RESP",46171,"Million$2015"
"EAF","2040","RESP",7083,"Million$2015"
"EGY","2040","RESP",12763,"Million$2015"
"ESP","2040","RESP",20570,"Million$2015"
"FIN","2040","RESP",615,"Million$2015"
"FRA","2040","RESP",19797,"Million$2015"
"GBR","2040","RESP",17137,"Million$2015"
"GOLF","2040","RESP",19375,"Million$2015"
"GRC","2040","RESP",4936,"Million$2015"
"HUN","2040","RESP",1205,"Million$2015"
"IDN","2040","RESP",17913,"Million$2015"
"ITA","2040","RESP",28994,"Million$2015"
"JPN","2040","RESP",17371,"Million$2015"
"KAZ","2040","RESP",1504,"Million$2015"
"MEME","2040","RESP",6846,"Million$2015"
"MEX","2040","RESP",12763,"Million$2015"
"MON","2040","RESP",682,"Million$2015"
"MYS","2040","RESP",3544,"Million$2015"
"NDE","2040","RESP",914392,"Million$2015"
"NOA","2040","RESP",7131,"Million$2015"
"NOR","2040","RESP",1279,"Million$2015"
"NZL","2040","RESP",49,"Million$2015"
"PAC","2040","RESP",0,"Million$2015"
"PHL","2040","RESP",9640,"Million$2015"
"POL","2040","RESP",6382,"Million$2015"
"RCAM","2040","RESP",3175,"Million$2015"
"RCEU","2040","RESP",3628,"Million$2015"
"RCZ","2040","RESP",2603,"Million$2015"
"RFA","2040","RESP",15572,"Million$2015"
"RIS","2040","RESP",8353,"Million$2015"
"ROM","2040","RESP",2868,"Million$2015"
"RSA","2040","RESP",3290,"Million$2015"
"RSAM","2040","RESP",1085,"Million$2015"
"RSAS","2040","RESP",28666,"Million$2015"
"RSEA","2040","RESP",10654,"Million$2015"
"RUE","2040","RESP",1770,"Million$2015"
"RUS","2040","RESP",12668,"Million$2015"
"SAF","2040","RESP",1207,"Million$2015"
"SWE","2040","RESP",2983,"Million$2015"
"THA","2040","RESP",10117,"Million$2015"
"TUR","2040","RESP",11874,"Million$2015"
"TWN","2040","RESP",39615,"Million$2015"
"UKR","2040","RESP",5033,"Million$2015"
"USA","2040","RESP",130846,"Million$2015"
"VNM","2040","RESP",35612,"Million$2015"
"WAF","2040","RESP",11430,"Million$2015"
