"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2010",83,1361,28576,1158,2476,33655
"AUS","2010",6,83,2776,307,74,3245
"AUT","2010",110,2020,16738,4898,6722,30489
"BGR","2010",153,2367,32967,4357,21236,61081
"BLX","2010",386,5484,44579,13318,18728,82496
"BRA","2010",379,6255,127045,5349,11729,150757
"CAN","2010",0,663,17779,1048,152,19641
"CHE","2010",74,1357,11632,3277,4258,20598
"CHL","2010",471,3034,29716,2889,18965,55075
"CHN","2010",45070,2183211,2032804,1192970,7137833,12591888
"COR","2010",970,70307,73740,37992,225833,408841
"EAF","2010",57745,61346,380574,14283,314251,828199
"EGY","2010",6599,28406,246847,10314,116147,408313
"ESP","2010",582,10094,86983,24362,31509,153530
"FIN","2010",0,8,177,12,0,196
"FRA","2010",919,11655,95942,28245,39076,175837
"GBR","2010",386,7231,75342,17015,16411,116385
"GOLF","2010",9671,27465,473940,33396,279330,823802
"GRC","2010",135,2301,19468,5563,7392,34859
"HUN","2010",153,2345,92719,4970,40713,140900
"IDN","2010",14262,35268,454895,49719,130923,685067
"ITA","2010",932,15282,115940,37470,57399,227022
"JPN","2010",4105,15283,135268,68784,139804,363244
"KAZ","2010",849,3643,126441,7858,75344,214135
"MEME","2010",1465,5429,42131,13283,19887,82195
"MEX","2010",1229,8141,110050,7444,30855,157719
"MON","2010",1837,18493,97168,4968,43913,166379
"MYS","2010",525,1107,14513,4742,5477,26365
"NDE","2010",222663,1011246,4334373,277552,2949915,8795748
"NOA","2010",10344,23719,131358,4197,147290,316908
"NOR","2010",0,0,0,0,0,0
"NZL","2010",131,304,3135,1336,2219,7126
"PAC","2010",0,170,848,79,52,1148
"PHL","2010",91,7068,22547,3275,4814,37796
"POL","2010",482,8969,147362,16179,63463,236455
"RCAM","2010",748,4831,70197,4373,16201,96351
"RCEU","2010",241,4255,72416,7643,28288,112842
"RCZ","2010",276,3768,28266,9248,14345,55903
"RFA","2010",877,17794,143355,43277,61581,266883
"RIS","2010",6145,17420,158075,33265,192678,407583
"ROM","2010",383,5976,86111,10942,51218,154630
"RSA","2010",2867,8505,60814,1955,34551,108692
"RSAM","2010",1171,1828,55350,2471,10559,71380
"RSAS","2010",38859,133914,1102276,48876,568109,1892034
"RSEA","2010",1427,48121,61438,25605,135838,272429
"RUE","2010",99,2846,71975,4811,9607,89338
"RUS","2010",876,17244,327057,30488,95579,471244
"SAF","2010",1227,3236,38084,686,5625,48858
"SWE","2010",18,655,10380,1434,740,13228
"THA","2010",7433,22155,222792,32209,119954,404543
"TUR","2010",1304,10651,176185,19189,74322,281651
"TWN","2010",302,20205,26372,10736,55554,113168
"UKR","2010",578,9425,428543,19686,131979,590210
"USA","2010",980,40832,443995,76755,50308,612871
"VNM","2010",1848,70985,87582,37860,207617,405892
"WAF","2010",99934,79414,391714,14176,553036,1138274
