"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2070",0,0,0,0,0,0
"AUS","2070",0,0,0,0,0,0
"AUT","2070",12,1223,12993,1422,783,16433
"BGR","2070",68,3588,34563,4119,13963,56302
"BLX","2070",78,7172,60468,8427,6815,82960
"BRA","2070",0,0,0,0,0,0
"CAN","2070",0,1224,29284,1156,338,32001
"CHE","2070",11,1431,12065,1564,984,16054
"CHL","2070",87,4725,60137,2775,14023,81747
"CHN","2070",20142,4967747,4203514,2143207,12059038,23393648
"COR","2070",115,104930,88693,29122,115215,338075
"EAF","2070",164060,615557,3260206,122298,2533440,6695559
"EGY","2070",14390,263208,1396935,79381,969640,2723554
"ESP","2070",236,15885,148789,27146,25262,217318
"FIN","2070",0,0,0,0,0,0
"FRA","2070",41,5122,78053,7096,2849,93160
"GBR","2070",0,222,4144,223,63,4653
"GOLF","2070",14599,299240,3254219,255382,2207879,6031321
"GRC","2070",35,3193,27484,4131,3121,37963
"HUN","2070",18,1704,66345,2155,8985,79207
"IDN","2070",8312,140456,1531251,175501,332995,2188515
"ITA","2070",369,22401,146287,31156,37876,238088
"JPN","2070",832,23794,149590,54723,80120,309059
"KAZ","2070",456,10378,324978,16445,137752,490010
"MEME","2070",2667,51654,293596,55184,109261,512363
"MEX","2070",2109,34598,456275,21832,134471,649286
"MON","2070",332,22834,161897,7733,34213,227010
"MYS","2070",41,1603,30898,3461,1096,37098
"NDE","2070",486826,6881381,23407681,2241497,18971627,51989011
"NOA","2070",8888,103707,441810,16302,495599,1066307
"NOR","2070",0,0,0,0,0,0
"NZL","2070",263,2756,13598,8021,11505,36143
"PAC","2070",0,1791,6786,548,390,9514
"PHL","2070",0,0,0,0,0,0
"POL","2070",0,408,10430,318,229,11384
"RCAM","2070",755,16603,244228,9473,35283,306341
"RCEU","2070",173,12264,123794,13743,45980,195954
"RCZ","2070",100,6698,40116,7756,9582,64252
"RFA","2070",228,24048,150668,26382,25733,227059
"RIS","2070",10345,84189,567299,92671,652814,1407317
"ROM","2070",53,4347,58242,4734,9336,76712
"RSA","2070",3034,33331,197111,6127,91774,331376
"RSAM","2070",265,2774,136787,2413,6064,148302
"RSAS","2070",140116,1126710,7878644,441906,4251450,13838826
"RSEA","2070",2611,251817,237638,95924,372640,960630
"RUE","2070",0,0,0,0,0,0
"RUS","2070",72,8239,232908,7842,6670,255732
"SAF","2070",7561,55141,417704,9722,97248,587376
"SWE","2070",0,0,0,0,0,0
"THA","2070",2979,64052,469274,75415,271917,883637
"TUR","2070",668,38083,484164,39855,125835,688605
"TWN","2070",42,27197,44908,11857,47977,131981
"UKR","2070",0,0,0,0,0,0
"USA","2070",485,95168,1141823,84423,69844,1391745
"VNM","2070",598,225017,249796,86458,226248,788117
"WAF","2070",424289,891266,3099171,124810,4670519,9210057
