"region","year","disease","med","LB","UB"
"ARG","2020","alri",2,0,15
"ARG","2020","copd",82,13,210
"ARG","2020","ihd",1987,239,3711
"ARG","2020","lc",41,3,104
"ARG","2020","stroke",71,4,1196
"ARG","2020","tot",2184,259,5236
"AUS","2020","alri",1,0,5
"AUS","2020","copd",10,1,26
"AUS","2020","ihd",226,18,449
"AUS","2020","lc",25,2,66
"AUS","2020","stroke",7,0,221
"AUS","2020","tot",268,21,767
"AUT","2020","alri",13,5,26
"AUT","2020","copd",264,76,485
"AUT","2020","ihd",1988,1347,2683
"AUT","2020","lc",385,61,704
"AUT","2020","stroke",793,391,1290
"AUT","2020","tot",3443,1879,5189
"BGR","2020","alri",10,5,16
"BGR","2020","copd",255,85,435
"BGR","2020","ihd",2871,2051,3683
"BGR","2020","lc",303,58,512
"BGR","2020","stroke",1924,927,2993
"BGR","2020","tot",5363,3125,7640
"BLX","2020","alri",31,10,69
"BLX","2020","copd",577,157,1084
"BLX","2020","ihd",4659,2900,6410
"BLX","2020","lc",836,123,1570
"BLX","2020","stroke",1543,654,2860
"BLX","2020","tot",7646,3844,11992
"BRA","2020","alri",16,2,86
"BRA","2020","copd",503,90,1217
"BRA","2020","ihd",10375,1775,18484
"BRA","2020","lc",263,22,623
"BRA","2020","stroke",593,43,6312
"BRA","2020","tot",11750,1932,26722
"CAN","2020","alri",4,1,17
"CAN","2020","copd",360,76,789
"CAN","2020","ihd",5210,1575,8226
"CAN","2020","lc",449,46,970
"CAN","2020","stroke",297,33,1593
"CAN","2020","tot",6321,1730,11595
"CHE","2020","alri",7,2,16
"CHE","2020","copd",156,41,297
"CHE","2020","ihd",1306,778,1825
"CHE","2020","lc",225,32,429
"CHE","2020","stroke",395,150,789
"CHE","2020","tot",2089,1003,3356
"CHL","2020","alri",33,15,56
"CHL","2020","copd",357,113,620
"CHL","2020","ihd",2990,2115,3838
"CHL","2020","lc",215,39,372
"CHL","2020","stroke",1715,865,2560
"CHL","2020","tot",5310,3148,7445
"CHN","2020","alri",3719,2611,4688
"CHN","2020","copd",337876,143320,518499
"CHN","2020","ihd",233206,176705,385234
"CHN","2020","lc",126993,36029,185719
"CHN","2020","stroke",812500,260765,1045148
"CHN","2020","tot",1514294,619431,2139288
"COR","2020","alri",75,51,98
"COR","2020","copd",9886,3766,15746
"COR","2020","ihd",7977,5869,11798
"COR","2020","lc",3670,885,5712
"COR","2020","stroke",23068,8175,34560
"COR","2020","tot",44676,18747,67914
"EAF","2020","alri",3685,1539,6577
"EAF","2020","copd",6330,1932,11195
"EAF","2020","ihd",38230,26934,49951
"EAF","2020","lc",1355,233,2391
"EAF","2020","stroke",30618,15844,45892
"EAF","2020","tot",80217,46483,116006
"EGY","2020","alri",403,238,549
"EGY","2020","copd",3121,1115,5141
"EGY","2020","ihd",24594,17827,33858
"EGY","2020","lc",1058,232,1709
"EGY","2020","stroke",12830,4992,20863
"EGY","2020","tot",42006,24404,62120
"ESP","2020","alri",63,22,129
"ESP","2020","copd",1425,404,2635
"ESP","2020","ihd",10921,7261,14773
"ESP","2020","lc",2080,324,3827
"ESP","2020","stroke",4177,2002,6974
"ESP","2020","tot",18667,10014,28338
"FIN","2020","alri",0,0,0
"FIN","2020","copd",2,0,6
"FIN","2020","ihd",51,4,101
"FIN","2020","lc",3,0,7
"FIN","2020","stroke",1,0,28
"FIN","2020","tot",56,4,142
"FRA","2020","alri",83,27,180
"FRA","2020","copd",1303,357,2443
"FRA","2020","ihd",10459,6564,14346
"FRA","2020","lc",1890,281,3542
"FRA","2020","stroke",3524,1520,6440
"FRA","2020","tot",17258,8748,26951
"GBR","2020","alri",25,5,91
"GBR","2020","copd",657,143,1411
"GBR","2020","ihd",7500,2538,11619
"GBR","2020","lc",902,98,1915
"GBR","2020","stroke",972,135,4409
"GBR","2020","tot",10057,2919,19446
"GOLF","2020","alri",637,447,804
"GOLF","2020","copd",4029,1718,6165
"GOLF","2020","ihd",56304,42726,93274
"GOLF","2020","lc",4190,1197,6110
"GOLF","2020","stroke",38210,12248,48933
"GOLF","2020","tot",103369,58336,155286
"GRC","2020","alri",16,6,31
"GRC","2020","copd",316,91,580
"GRC","2020","ihd",2363,1615,3186
"GRC","2020","lc",462,74,842
"GRC","2020","stroke",962,480,1545
"GRC","2020","tot",4118,2266,6183
"HUN","2020","alri",5,2,10
"HUN","2020","copd",200,60,359
"HUN","2020","ihd",7526,5226,9958
"HUN","2020","lc",300,50,535
"HUN","2020","stroke",3016,1555,4596
"HUN","2020","tot",11047,6893,15459
"IDN","2020","alri",661,204,1502
"IDN","2020","copd",3814,1021,7217
"IDN","2020","ihd",40795,24728,56664
"IDN","2020","lc",4749,687,8995
"IDN","2020","stroke",11742,4664,22779
"IDN","2020","tot",61762,31304,97156
"ITA","2020","alri",86,35,155
"ITA","2020","copd",1835,556,3262
"ITA","2020","ihd",12962,9083,17011
"ITA","2020","lc",2700,460,4786
"ITA","2020","stroke",6147,3179,9261
"ITA","2020","tot",23730,13314,34474
"JPN","2020","alri",467,223,753
"JPN","2020","copd",2383,774,4091
"JPN","2020","ihd",15776,11271,20224
"JPN","2020","lc",7566,1414,12933
"JPN","2020","stroke",15870,7808,24018
"JPN","2020","tot",42062,21490,62018
"KAZ","2020","alri",33,18,50
"KAZ","2020","copd",395,134,667
"KAZ","2020","ihd",12723,9102,16563
