"region","year","disease","Damage_med","unit"
"AUT","2070","resp",1025445,"Thous$2015"
"CHE","2070","resp",1023097,"Thous$2015"
"BLX","2070","resp",4097548,"Thous$2015"
"ESP","2070","resp",8494674,"Thous$2015"
"FIN","2070","resp",252866,"Thous$2015"
"FRA","2070","resp",8973667,"Thous$2015"
"GBR","2070","resp",8318620,"Thous$2015"
"GRC","2070","resp",1993532,"Thous$2015"
"ITA","2070","resp",10783260,"Thous$2015"
"RFA","2070","resp",5880615,"Thous$2015"
"SWE","2070","resp",1384563,"Thous$2015"
"TUR","2070","resp",7885031,"Thous$2015"
"NOR","2070","resp",598214,"Thous$2015"
"BGR","2070","resp",407545,"Thous$2015"
"HUN","2070","resp",589669,"Thous$2015"
"POL","2070","resp",2644824,"Thous$2015"
"RCEU","2070","resp",1796175,"Thous$2015"
"RCZ","2070","resp",1028253,"Thous$2015"
"ROM","2070","resp",1138966,"Thous$2015"
"MEME","2070","resp",4123341,"Thous$2015"
"NOA","2070","resp",7302944,"Thous$2015"
"EGY","2070","resp",13891249,"Thous$2015"
"GOLF","2070","resp",14989482,"Thous$2015"
"WAF","2070","resp",27434804,"Thous$2015"
"EAF","2070","resp",15486414,"Thous$2015"
"SAF","2070","resp",2637811,"Thous$2015"
"RSA","2070","resp",3278630,"Thous$2015"
"KAZ","2070","resp",900076,"Thous$2015"
"RIS","2070","resp",4396723,"Thous$2015"
"RUS","2070","resp",5827101,"Thous$2015"
"RUE","2070","resp",774804,"Thous$2015"
"UKR","2070","resp",2451989,"Thous$2015"
"COR","2070","resp",15361069,"Thous$2015"
"JPN","2070","resp",4939095,"Thous$2015"
"AUS","2070","resp",239002,"Thous$2015"
"NZL","2070","resp",27594,"Thous$2015"
"PAC","2070","resp",0,"Thous$2015"
"MON","2070","resp",505170,"Thous$2015"
"CHN","2070","resp",407011804,"Thous$2015"
"TWN","2070","resp",14685900,"Thous$2015"
"RSAS","2070","resp",42336727,"Thous$2015"
"NDE","2070","resp",841558416,"Thous$2015"
"IDN","2070","resp",13484312,"Thous$2015"
"THA","2070","resp",6461479,"Thous$2015"
"MYS","2070","resp",1405755,"Thous$2015"
"PHL","2070","resp",7649637,"Thous$2015"
"VNM","2070","resp",16853807,"Thous$2015"
"RSEA","2070","resp",6186748,"Thous$2015"
"CAN","2070","resp",5305019,"Thous$2015"
"USA","2070","resp",65883477,"Thous$2015"
"BRA","2070","resp",4159769,"Thous$2015"
"MEX","2070","resp",7952744,"Thous$2015"
"RCAM","2070","resp",1836893,"Thous$2015"
"CHL","2070","resp",349201,"Thous$2015"
"ARG","2070","resp",284267,"Thous$2015"
"RSAM","2070","resp",645301,"Thous$2015"
