"region","year","RESP","tot"
"ARG","2030",2592,2592
"AUS","2030",656,656
"AUT","2030",7285,7285
"BGR","2030",5201,5201
"BLX","2030",14278,14278
"BRA","2030",47200,47200
"CAN","2030",20377,20377
"CHE","2030",5145,5145
"CHL","2030",2727,2727
"CHN","2030",4394954,4394954
"COR","2030",143810,143810
"EAF","2030",165826,165826
"EGY","2030",131200,131200
"ESP","2030",34011,34011
"FIN","2030",1466,1466
"FRA","2030",31073,31073
"GBR","2030",27061,27061
"GOLF","2030",115004,115004
"GRC","2030",8434,8434
"HUN","2030",5378,5378
"IDN","2030",115026,115026
"ITA","2030",44417,44417
"JPN","2030",39941,39941
"KAZ","2030",7096,7096
"MEME","2030",48137,48137
"MEX","2030",53100,53100
"MON","2030",44695,44695
"MYS","2030",14313,14313
"NDE","2030",5181153,5181153
"NOA","2030",67431,67431
"NOR","2030",1895,1895
"NZL","2030",116,116
"PAC","2030",0,0
"PHL","2030",131693,131693
"POL","2030",24388,24388
"RCAM","2030",22463,22463
"RCEU","2030",17559,17559
"RCZ","2030",11382,11382
"RFA","2030",47075,47075
"RIS","2030",44996,44996
"ROM","2030",13818,13818
"RSA","2030",23218,23218
"RSAM","2030",5449,5449
"RSAS","2030",614457,614457
"RSEA","2030",300977,300977
"RUE","2030",8660,8660
"RUS","2030",59778,59778
"SAF","2030",35121,35121
"SWE","2030",5613,5613
"THA","2030",63960,63960
"TUR","2030",65142,65142
"TWN","2030",65465,65465
"UKR","2030",25749,25749
"USA","2030",277424,277424
"VNM","2030",262273,262273
"WAF","2030",182684,182684
