"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2080",0,0,0,0,0,0
"AUS","2080",0,0,0,0,0,0
"AUT","2080",0,320,5515,560,175,6569
"BGR","2080",33,1369,18260,2076,7134,28871
"BLX","2080",37,2418,26781,4548,2471,36255
"BRA","2080",0,0,0,0,0,0
"CAN","2080",0,340,8856,455,76,9727
"CHE","2080",6,398,5579,711,307,7002
"CHL","2080",37,1931,27545,1471,6105,37088
"CHN","2080",6861,1959073,1760639,1061670,4400437,9188680
"COR","2080",64,31691,41693,16427,40926,130800
"EAF","2080",40370,303429,1753403,75488,1467705,3640395
"EGY","2080",3306,98853,694014,40348,384689,1221209
"ESP","2080",135,7621,66969,14927,11978,101631
"FIN","2080",0,0,0,0,0,0
"FRA","2080",12,1607,32264,2659,531,37073
"GBR","2080",0,0,0,0,0,0
"GOLF","2080",4432,101414,1540501,137365,937300,2721013
"GRC","2080",18,1155,11424,2216,1466,16278
"HUN","2080",0,622,34616,1013,3041,39292
"IDN","2080",2465,54507,644415,85643,135585,922615
"ITA","2080",178,9135,71047,18204,17653,116217
"JPN","2080",354,6787,67717,29314,24158,128330
"KAZ","2080",170,4734,156217,8371,59110,228602
"MEME","2080",484,13511,98527,27219,29108,168849
"MEX","2080",573,17003,218526,13119,64121,313341
"MON","2080",107,11388,72738,3294,11711,99238
"MYS","2080",6,228,5509,822,155,6720
"NDE","2080",112900,3561756,10868053,1123105,9079098,24744911
"NOA","2080",4088,46674,236051,8841,281109,576763
"NOR","2080",0,0,0,0,0,0
"NZL","2080",131,892,6538,4019,5315,16896
"PAC","2080",0,616,2223,264,124,3226
"PHL","2080",0,0,0,0,0,0
"POL","2080",0,0,0,0,0,0
"RCAM","2080",185,7269,117245,5414,18506,148620
"RCEU","2080",99,5174,69111,7835,27025,109244
"RCZ","2080",31,1818,16690,3534,2625,24697
"RFA","2080",92,6943,69169,13330,8767,98300
"RIS","2080",1413,26966,237705,42681,237008,545773
"ROM","2080",11,1477,28682,2103,4024,36297
"RSA","2080",1013,14485,101112,3516,51201,171327
"RSAM","2080",58,1104,60127,1110,2080,64478
"RSAS","2080",25649,587276,3635923,242002,2375395,6866245
"RSEA","2080",457,84515,88327,45083,157517,375899
"RUE","2080",0,0,0,0,0,0
"RUS","2080",11,2367,90515,2928,1776,97596
"SAF","2080",1969,25618,224993,6011,60961,319552
"SWE","2080",0,0,0,0,0,0
"THA","2080",1541,24219,220962,39369,92454,378545
"TUR","2080",274,13801,226454,20261,51013,311802
"TWN","2080",27,13913,19942,7118,15587,56587
"UKR","2080",0,0,0,0,0,0
"USA","2080",204,31840,475782,47469,20799,576094
"VNM","2080",156,72627,98530,37464,89170,297947
"WAF","2080",92587,416487,1860384,79735,2793495,5242688
