"region","year","disease","Damage_med","unit"
"ARG","2010","RESP",224,"Million$2015"
"AUS","2010","RESP",65,"Million$2015"
"AUT","2010","RESP",1873,"Million$2015"
"BGR","2010","RESP",520,"Million$2015"
"BLX","2010","RESP",3501,"Million$2015"
"BRA","2010","RESP",2684,"Million$2015"
"CAN","2010","RESP",5044,"Million$2015"
"CHE","2010","RESP",1591,"Million$2015"
"CHL","2010","RESP",243,"Million$2015"
"CHN","2010","RESP",222676,"Million$2015"
"COR","2010","RESP",21165,"Million$2015"
"EAF","2010","RESP",976,"Million$2015"
"EGY","2010","RESP",2770,"Million$2015"
"ESP","2010","RESP",8986,"Million$2015"
"FIN","2010","RESP",318,"Million$2015"
"FRA","2010","RESP",8708,"Million$2015"
"GBR","2010","RESP",5339,"Million$2015"
"GOLF","2010","RESP",4493,"Million$2015"
"GRC","2010","RESP",2165,"Million$2015"
"HUN","2010","RESP",697,"Million$2015"
"IDN","2010","RESP",2354,"Million$2015"
"ITA","2010","RESP",13721,"Million$2015"
"JPN","2010","RESP",10660,"Million$2015"
"KAZ","2010","RESP",435,"Million$2015"
"MEME","2010","RESP",1884,"Million$2015"
"MEX","2010","RESP",4432,"Million$2015"
"MON","2010","RESP",215,"Million$2015"
"MYS","2010","RESP",896,"Million$2015"
"NDE","2010","RESP",61710,"Million$2015"
"NOA","2010","RESP",2632,"Million$2015"
"NOR","2010","RESP",541,"Million$2015"
"NZL","2010","RESP",11,"Million$2015"
"PAC","2010","RESP",0,"Million$2015"
"PHL","2010","RESP",1615,"Million$2015"
"POL","2010","RESP",3050,"Million$2015"
"RCAM","2010","RESP",1233,"Million$2015"
"RCEU","2010","RESP",1197,"Million$2015"
"RCZ","2010","RESP",1647,"Million$2015"
"RFA","2010","RESP",11550,"Million$2015"
"RIS","2010","RESP",665,"Million$2015"
"ROM","2010","RESP",1224,"Million$2015"
"RSA","2010","RESP",1057,"Million$2015"
"RSAM","2010","RESP",336,"Million$2015"
"RSAS","2010","RESP",4850,"Million$2015"
"RSEA","2010","RESP",1308,"Million$2015"
"RUE","2010","RESP",896,"Million$2015"
"RUS","2010","RESP",5892,"Million$2015"
"SAF","2010","RESP",211,"Million$2015"
"SWE","2010","RESP",1360,"Million$2015"
"THA","2010","RESP",3435,"Million$2015"
"TUR","2010","RESP",4129,"Million$2015"
"TWN","2010","RESP",12949,"Million$2015"
"UKR","2010","RESP",1681,"Million$2015"
"USA","2010","RESP",72988,"Million$2015"
"VNM","2010","RESP",4466,"Million$2015"
"WAF","2010","RESP",1720,"Million$2015"
