"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2050",0,0,0,0,0,0
"AUS","2050",0,0,0,0,0,0
"AUT","2050",24,2490,19505,3016,2296,27332
"BGR","2050",91,4253,38902,4903,17963,66113
"BLX","2050",111,8309,63749,9970,9427,91566
"BRA","2050",22,2994,102890,1490,1611,109008
"CAN","2050",12,4044,78317,4065,2050,88488
"CHE","2050",21,2157,15143,2458,1952,21732
"CHL","2050",217,7032,73481,4256,29118,114104
"CHN","2050",31380,6550631,5169201,2845562,16606259,31203032
"COR","2050",218,157750,118726,44308,210129,531130
"EAF","2050",183291,433394,2285402,86151,1795648,4783885
"EGY","2050",12903,188814,1089062,56408,655756,2002944
"ESP","2050",338,19193,165906,33135,34933,253505
"FIN","2050",0,0,0,0,0,0
"FRA","2050",112,9769,105750,14520,9037,139188
"GBR","2050",11,1677,31014,1712,472,34887
"GOLF","2050",16332,249395,2699281,212926,1838624,5016558
"GRC","2050",58,4150,31918,5448,4965,46540
"HUN","2050",18,2580,86026,3362,18156,110143
"IDN","2050",11580,150020,1571441,188525,379493,2301059
"ITA","2050",458,25867,161631,36229,47148,271334
"JPN","2050",1517,33838,190284,79168,137165,441972
"KAZ","2050",646,10495,316367,16765,148099,492372
"MEME","2050",3364,45602,248688,48944,103739,450338
"MEX","2050",3057,34598,435405,21966,144865,639891
"MON","2050",691,30509,191764,10517,55983,289464
"MYS","2050",284,4673,56741,11190,8477,81365
"NDE","2050",642897,6586826,21381361,2152257,18060520,48823862
"NOA","2050",11209,98942,420564,15558,474277,1020550
"NOR","2050",0,0,0,0,0,0
"NZL","2050",274,2425,12081,7080,10083,31944
"PAC","2050",0,1557,5965,493,357,8373
"PHL","2050",0,10824,31719,2609,1721,46873
"POL","2050",0,2755,67412,2155,1470,73793
"RCAM","2050",1116,16785,235084,9654,38443,301082
"RCEU","2050",192,12379,126141,13863,45837,198413
"RCZ","2050",183,8623,46092,10135,14891,79924
"RFA","2050",330,29707,172059,33004,36571,271671
"RIS","2050",13934,81977,543341,90274,639217,1368743
"ROM","2050",106,6648,78886,7386,17728,110753
"RSA","2050",3821,30723,178703,5667,87203,306117
"RSAM","2050",742,4170,158833,3833,13983,181561
"RSAS","2050",170049,949028,6541671,372504,3589093,11622345
"RSEA","2050",3723,282965,255246,108566,449650,1100151
"RUE","2050",0,1528,47938,1433,895,51794
"RUS","2050",540,25863,433808,27322,48480,536013
"SAF","2050",6328,31962,260795,5567,49586,354238
"SWE","2050",0,0,0,0,0,0
"THA","2050",4225,76323,529874,90394,345367,1046183
"TUR","2050",1023,41003,485229,43388,153059,723702
"TWN","2050",69,34883,52580,15423,71620,174574
"UKR","2050",0,763,65801,920,1084,68568
"USA","2050",743,110221,1174987,99914,99514,1485378
"VNM","2050",1059,279295,282841,108664,328645,1000505
"WAF","2050",442313,589319,2061771,82442,3072002,6247847
