"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2040",0,133,4558,91,85,4868
"AUS","2040",0,0,0,0,0,0
"AUT","2040",18,1077,10525,2064,1389,15073
"BGR","2040",55,1897,23094,2900,11619,39566
"BLX","2040",74,3214,29527,6251,4607,43672
"BRA","2040",18,2064,68786,1327,1345,73541
"CAN","2040",7,1691,33327,2391,774,38190
"CHE","2040",12,780,7899,1504,963,11160
"CHL","2040",185,3657,37975,2902,19627,64346
"CHN","2040",16832,3324829,2593302,1824080,8051751,15810794
"COR","2040",229,70182,73347,37437,130807,312002
"EAF","2040",48887,148400,851642,36942,724724,1810595
"EGY","2040",3430,58301,445990,23588,212692,744002
"ESP","2040",202,9494,75487,18869,17716,121768
"FIN","2040",0,0,0,0,0,0
"FRA","2040",104,5086,55561,9598,5361,75710
"GBR","2040",6,881,18015,1469,293,20665
"GOLF","2040",5564,68541,1031837,92920,632441,1831303
"GRC","2040",37,1841,14876,3639,3316,23708
"HUN","2040",34,1396,57199,2416,12214,73258
"IDN","2040",4906,59936,660022,95132,167308,987304
"ITA","2040",288,11740,84446,23697,25855,146027
"JPN","2040",1073,13034,106467,57954,65088,243617
"KAZ","2040",340,4712,143727,8427,66242,223448
"MEME","2040",785,10804,71730,22006,27314,132639
"MEX","2040",1063,15660,188832,12195,65615,283364
"MON","2040",382,19802,99730,5932,30455,156301
"MYS","2040",131,1474,19881,6049,3015,30549
"NDE","2040",196817,3194670,8917208,1013482,8120527,21442704
"NOA","2040",5587,39471,202333,7474,233625,488490
"NOR","2040",0,0,0,0,0,0
"NZL","2040",137,713,5192,3198,4239,13478
"PAC","2040",0,464,1675,198,93,2430
"PHL","2040",9,5381,19425,2311,1103,28229
"POL","2040",22,2269,58635,3093,4219,68237
"RCAM","2040",388,7136,105003,5388,21228,139143
"RCEU","2040",120,5213,71533,7863,26009,110739
"RCZ","2040",74,2902,21451,5831,6108,36365
"RFA","2040",184,10336,88725,20315,16934,136494
"RIS","2040",2421,24697,210638,39162,219570,496487
"ROM","2040",66,3365,51367,4990,14031,73819
"RSA","2040",1626,12466,83866,3049,47064,148071
"RSAM","2040",368,2069,73069,2295,8811,86612
"RSAS","2040",35243,406494,2456489,167738,1651513,4717478
"RSEA","2040",915,103952,99316,56136,219421,479739
"RUE","2040",0,880,33592,1100,667,36239
"RUS","2040",219,12461,236176,17856,35750,302462
"SAF","2040",1327,8686,88448,1984,15622,116067
"SWE","2040",0,0,0,0,0,0
"THA","2040",3069,33754,279240,55588,147184,518835
"TUR","2040",624,15718,224139,23533,73193,337207
"TWN","2040",64,22400,27085,11753,33472,94775
"UKR","2040",0,633,65449,916,990,67988
"USA","2040",334,34585,451894,52809,28250,567872
"VNM","2040",521,110619,124623,58407,185412,479583
"WAF","2040",95075,180434,817425,34472,1197246,2324651
