"region","year","disease","med","LB","UB"
"ARG","2080","alri",0,0,0
"ARG","2080","copd",0,0,0
"ARG","2080","ihd",0,0,0
"ARG","2080","lc",0,0,0
"ARG","2080","stroke",0,0,0
"ARG","2080","tot",0,0,0
"AUS","2080","alri",0,0,0
"AUS","2080","copd",0,0,0
"AUS","2080","ihd",0,0,0
"AUS","2080","lc",0,0,0
"AUS","2080","stroke",0,0,0
"AUS","2080","tot",0,0,0
"AUT","2080","alri",0,0,2
"AUT","2080","copd",41,7,105
"AUT","2080","ihd",687,86,1276
"AUT","2080","lc",48,4,119
"AUT","2080","stroke",25,1,402
"AUT","2080","tot",802,98,1904
"BGR","2080","alri",3,1,6
"BGR","2080","copd",140,39,260
"BGR","2080","ihd",1696,1100,2301
"BGR","2080","lc",151,23,279
"BGR","2080","stroke",695,320,1203
"BGR","2080","tot",2684,1483,4050
"BLX","2080","alri",6,1,23
"BLX","2080","copd",310,64,684
"BLX","2080","ihd",3336,970,5299
"BLX","2080","lc",390,39,849
"BLX","2080","stroke",354,35,2016
"BLX","2080","tot",4397,1109,8871
"BRA","2080","alri",0,0,0
"BRA","2080","copd",0,0,0
"BRA","2080","ihd",0,0,0
"BRA","2080","lc",0,0,0
"BRA","2080","stroke",0,0,0
"BRA","2080","tot",0,0,0
"CAN","2080","alri",0,0,1
"CAN","2080","copd",40,6,109
"CAN","2080","ihd",1064,84,2118
"CAN","2080","lc",40,2,106
"CAN","2080","stroke",10,0,321
"CAN","2080","tot",1154,92,2655
"CHE","2080","alri",1,0,3
"CHE","2080","copd",51,9,121
"CHE","2080","ihd",695,132,1217
"CHE","2080","lc",61,5,143
"CHE","2080","stroke",44,3,412
"CHE","2080","tot",852,150,1895
"CHL","2080","alri",4,1,12
"CHL","2080","copd",217,52,438
"CHL","2080","ihd",2538,1174,3716
"CHL","2080","lc",113,14,226
"CHL","2080","stroke",572,136,1659
"CHL","2080","tot",3444,1377,6052
"CHN","2080","alri",750,441,1024
"CHN","2080","copd",219517,78231,362217
"CHN","2080","ihd",170310,123422,234011
"CHN","2080","lc",80397,17530,129992
"CHN","2080","stroke",426866,166683,694039
"CHN","2080","tot",897841,386308,1421283
"COR","2080","alri",7,2,15
"COR","2080","copd",3551,949,6724
"COR","2080","ihd",4033,2438,5608
