"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2070",0,0,0,0,0,0
"AUS","2070",0,0,0,0,0,0
"AUT","2070",6,429,6374,770,307,7886
"BGR","2070",33,1477,19380,2241,7955,31085
"BLX","2070",43,2559,27223,4840,2841,37505
"BRA","2070",0,0,0,0,0,0
"CAN","2070",0,501,12885,660,114,14160
"CHE","2070",6,491,6262,898,426,8083
"CHL","2070",55,2260,30226,1731,7962,42234
"CHN","2070",8526,2311866,2005801,1256818,5316335,10899347
"COR","2070",82,38313,48205,20006,53358,159964
"EAF","2070",43566,271118,1561140,67478,1317581,3260883
"EGY","2070",3728,96564,669957,39455,378641,1188346
"ESP","2070",129,7567,67338,14799,11615,101448
"FIN","2070",0,0,0,0,0,0
"FRA","2070",25,2184,37169,3778,1215,44371
"GBR","2070",0,86,1774,140,28,2028
"GOLF","2070",4769,96433,1465064,130612,891260,2588139
"GRC","2070",18,1248,12090,2414,1654,17425
"HUN","2070",17,764,39422,1263,4384,45851
"IDN","2070",2884,58152,676828,91592,148715,978172
"ITA","2070",202,9681,74315,19335,19105,122639
"JPN","2070",451,7949,76061,34551,30410,149422
"KAZ","2070",204,4843,157122,8579,61999,232748
"MEME","2070",539,13316,95051,26916,29694,165516
"MEX","2070",638,16514,212122,12741,62275,304290
"MON","2070",143,13727,81915,4017,15826,115628
"MYS","2070",11,408,9915,1485,280,12100
"NDE","2070",135084,3732372,10999447,1179631,9552926,25599460
"NOA","2070",4234,45414,232930,8598,268576,559751
"NOR","2070",0,0,0,0,0,0
"NZL","2070",131,865,6295,3881,5131,16303
"PAC","2070",0,616,2223,264,124,3226
"PHL","2070",0,0,0,0,0,0
"POL","2070",0,156,6202,192,123,6674
"RCAM","2070",213,7296,116236,5453,18944,148141
"RCEU","2070",99,5223,70963,7876,26420,110580
"RCZ","2070",37,2091,18159,4105,3365,27756
"RFA","2070",110,7723,74130,14916,10359,107238
"RIS","2070",1610,27181,238114,43052,239492,549449
"ROM","2070",22,1829,33656,2625,5481,43614
"RSA","2070",1155,14395,99645,3502,51569,170266
"RSAM","2070",97,1302,63611,1349,3360,69719
"RSAS","2070",28271,566325,3462781,233544,2296179,6587100
"RSEA","2070",558,93002,94312,49797,179578,417247
"RUE","2070",0,0,0,0,0,0
"RUS","2070",22,3374,117593,4289,3521,128798
"SAF","2070",2011,21864,193859,5121,51253,274108
"SWE","2070",0,0,0,0,0,0
"THA","2070",1886,27461,243383,44861,109853,427443
"TUR","2070",351,14926,234927,22021,59019,331243
"TWN","2070",27,14716,20634,7553,17133,60065
"UKR","2070",0,0,0,0,0,0
"USA","2070",218,31653,466543,47287,20935,566636
"VNM","2070",201,81802,107297,42416,106211,337926
"WAF","2070",96923,354035,1584095,67766,2370508,4473327
