"region","year","disease","mort_o3"
"ARG","2100","RESP",158
"AUS","2100","RESP",81
"AUT","2100","RESP",461
"BGR","2100","RESP",228
"BLX","2100","RESP",1276
"BRA","2100","RESP",2366
"CAN","2100","RESP",2065
"CHE","2100","RESP",401
"CHL","2100","RESP",216
"CHN","2100","RESP",125958
"COR","2100","RESP",6506
"EAF","2100","RESP",43404
"EGY","2100","RESP",10785
"ESP","2100","RESP",2904
"FIN","2100","RESP",108
"FRA","2100","RESP",3155
"GBR","2100","RESP",2740
"GOLF","2100","RESP",9882
"GRC","2100","RESP",639
"HUN","2100","RESP",211
"IDN","2100","RESP",5580
"ITA","2100","RESP",3149
"JPN","2100","RESP",2251
"KAZ","2100","RESP",427
"MEME","2100","RESP",5081
"MEX","2100","RESP",5427
"MON","2100","RESP",1698
"MYS","2100","RESP",1006
"NDE","2100","RESP",415656
"NOA","2100","RESP",5105
"NOR","2100","RESP",196
"NZL","2100","RESP",15
"PAC","2100","RESP",0
"PHL","2100","RESP",10311
"POL","2100","RESP",1027
"RCAM","2100","RESP",1717
"RCEU","2100","RESP",903
"RCZ","2100","RESP",610
"RFA","2100","RESP",2720
"RIS","2100","RESP",2217
"ROM","2100","RESP",451
"RSA","2100","RESP",1688
"RSAM","2100","RESP",528
"RSAS","2100","RESP",74814
"RSEA","2100","RESP",14704
"RUE","2100","RESP",346
"RUS","2100","RESP",2784
"SAF","2100","RESP",8549
"SWE","2100","RESP",547
"THA","2100","RESP",2698
"TUR","2100","RESP",4685
"TWN","2100","RESP",3582
"UKR","2100","RESP",1010
"USA","2100","RESP",25077
"VNM","2100","RESP",10438
"WAF","2100","RESP",61868
