"region","year","RESP","tot"
"ARG","2050",2545,2545
"AUS","2050",1033,1033
"AUT","2050",7602,7602
"BGR","2050",4897,4897
"BLX","2050",16591,16591
"BRA","2050",50431,50431
"CAN","2050",24541,24541
"CHE","2050",5541,5541
"CHL","2050",3186,3186
"CHN","2050",3862361,3862361
"COR","2050",136558,136558
"EAF","2050",332366,332366
"EGY","2050",185694,185694
"ESP","2050",36827,36827
"FIN","2050",1539,1539
"FRA","2050",34790,34790
"GBR","2050",33251,33251
"GOLF","2050",156425,156425
"GRC","2050",8665,8665
"HUN","2050",5055,5055
"IDN","2050",141287,141287
"ITA","2050",43814,43814
"JPN","2050",36567,36567
"KAZ","2050",8444,8444
"MEME","2050",67767,67767
"MEX","2050",64997,64997
"MON","2050",44302,44302
"MYS","2050",18653,18653
"NDE","2050",7510581,7510581
"NOA","2050",86692,86692
"NOR","2050",2291,2291
"NZL","2050",174,174
"PAC","2050",0,0
"PHL","2050",185498,185498
"POL","2050",23367,23367
"RCAM","2050",27006,27006
"RCEU","2050",18043,18043
"RCZ","2050",11939,11939
"RFA","2050",47512,47512
"RIS","2050",52566,52566
"ROM","2050",12594,12594
"RSA","2050",28480,28480
"RSAM","2050",7409,7409
"RSAS","2050",945751,945751
"RSEA","2050",333453,333453
"RUE","2050",8213,8213
"RUS","2050",59367,59367
"SAF","2050",67727,67727
"SWE","2050",6507,6507
"THA","2050",62739,62739
"TUR","2050",76314,76314
"TWN","2050",59695,59695
"UKR","2050",24164,24164
"USA","2050",327735,327735
"VNM","2050",273753,273753
"WAF","2050",376080,376080
