"region","year","disease","Damage_med","unit"
"AUT","2050","resp",877579,"Thous$2015"
"CHE","2050","resp",839569,"Thous$2015"
"BLX","2050","resp",3236540,"Thous$2015"
"ESP","2050","resp",7104504,"Thous$2015"
"FIN","2050","resp",205254,"Thous$2015"
"FRA","2050","resp",6950230,"Thous$2015"
"GBR","2050","resp",6251421,"Thous$2015"
"GRC","2050","resp",1684695,"Thous$2015"
"ITA","2050","resp",9553753,"Thous$2015"
"RFA","2050","resp",5048989,"Thous$2015"
"SWE","2050","resp",1049107,"Thous$2015"
"TUR","2050","resp",5405912,"Thous$2015"
"NOR","2050","resp",450835,"Thous$2015"
"BGR","2050","resp",373329,"Thous$2015"
"HUN","2050","resp",528536,"Thous$2015"
"POL","2050","resp",2496234,"Thous$2015"
"RCEU","2050","resp",1505730,"Thous$2015"
"RCZ","2050","resp",862203,"Thous$2015"
"ROM","2050","resp",1115823,"Thous$2015"
"MEME","2050","resp",2653074,"Thous$2015"
"NOA","2050","resp",4729275,"Thous$2015"
"EGY","2050","resp",8557000,"Thous$2015"
"GOLF","2050","resp",10207196,"Thous$2015"
"WAF","2050","resp",9803758,"Thous$2015"
"EAF","2050","resp",6013051,"Thous$2015"
"SAF","2050","resp",1008737,"Thous$2015"
"RSA","2050","resp",2146988,"Thous$2015"
"KAZ","2050","resp",712518,"Thous$2015"
"RIS","2050","resp",3614118,"Thous$2015"
"RUS","2050","resp",5104388,"Thous$2015"
"RUE","2050","resp",706126,"Thous$2015"
"UKR","2050","resp",2211026,"Thous$2015"
"COR","2050","resp",15663292,"Thous$2015"
"JPN","2050","resp",4680565,"Thous$2015"
"AUS","2050","resp",173529,"Thous$2015"
"NZL","2050","resp",18589,"Thous$2015"
"PAC","2050","resp",0,"Thous$2015"
"MON","2050","resp",390634,"Thous$2015"
"CHN","2050","resp",441146112,"Thous$2015"
"TWN","2050","resp",13869748,"Thous$2015"
"RSAS","2050","resp",20421809,"Thous$2015"
"NDE","2050","resp",579885877,"Thous$2015"
"IDN","2050","resp",9738822,"Thous$2015"
"THA","2050","resp",5134707,"Thous$2015"
"MYS","2050","resp",1118682,"Thous$2015"
"PHL","2050","resp",4667933,"Thous$2015"
"VNM","2050","resp",13674101,"Thous$2015"
"RSEA","2050","resp",4522925,"Thous$2015"
"CAN","2050","resp",4084895,"Thous$2015"
"USA","2050","resp",49421741,"Thous$2015"
"BRA","2050","resp",3130233,"Thous$2015"
"MEX","2050","resp",5520127,"Thous$2015"
"RCAM","2050","resp",1317358,"Thous$2015"
"CHL","2050","resp",280299,"Thous$2015"
"ARG","2050","resp",213519,"Thous$2015"
"RSAM","2050","resp",450589,"Thous$2015"
