"region","year","disease","yll_o3"
"AUT","2020","resp",3705
"CHE","2020","resp",2808
"BLX","2020","resp",7130
"ESP","2020","resp",22396
"FIN","2020","resp",702
"FRA","2020","resp",18605
"GBR","2020","resp",13137
"GRC","2020","resp",5492
"ITA","2020","resp",30143
"RFA","2020","resp",24105
"SWE","2020","resp",2816
"TUR","2020","resp",32610
"NOR","2020","resp",897
"BGR","2020","resp",3081
"HUN","2020","resp",3262
"POL","2020","resp",14075
"RCEU","2020","resp",10270
"RCZ","2020","resp",4922
"ROM","2020","resp",7971
"MEME","2020","resp",15641
"NOA","2020","resp",39993
"EGY","2020","resp",54186
"GOLF","2020","resp",46675
"WAF","2020","resp",80521
"EAF","2020","resp",70796
"SAF","2020","resp",15456
"RSA","2020","resp",13722
"KAZ","2020","resp",3458
"RIS","2020","resp",15591
"RUS","2020","resp",32345
"RUE","2020","resp",4939
"UKR","2020","resp",15272
"COR","2020","resp",79446
"JPN","2020","resp",21724
"AUS","2020","resp",187
"NZL","2020","resp",35
"PAC","2020","resp",0
"MON","2020","resp",29677
"CHN","2020","resp",2291483
"TWN","2020","resp",38839
"RSAS","2020","resp",262811
"NDE","2020","resp",2281112
"IDN","2020","resp",48214
"THA","2020","resp",37669
"MYS","2020","resp",3819
"PHL","2020","resp",37795
"VNM","2020","resp",104434
"RSEA","2020","resp",102837
"CAN","2020","resp",10871
"USA","2020","resp",134049
"BRA","2020","resp",21256
"MEX","2020","resp",25830
"RCAM","2020","resp",9627
"CHL","2020","resp",1450
"ARG","2020","resp",1352
"RSAM","2020","resp",2363
