"region","year","disease","yll_med","vsly","unit","Damage_med"
"ARG","2030","alri",9,93.9646706646481,"Thous$2015",1011
"ARG","2030","copd",436,93.9646706646481,"Thous$2015",48990
"ARG","2030","ihd",14369,93.9646706646481,"Thous$2015",1614525
"ARG","2030","lc",273,93.9646706646481,"Thous$2015",30675
"ARG","2030","stroke",277,93.9646706646481,"Thous$2015",31124
"AUS","2030","alri",0,233.062126864743,"Thous$2015",0
"AUS","2030","copd",0,233.062126864743,"Thous$2015",0
"AUS","2030","ihd",0,233.062126864743,"Thous$2015",0
"AUS","2030","lc",0,233.062126864743,"Thous$2015",0
"AUS","2030","stroke",0,233.062126864743,"Thous$2015",0
"AUT","2030","alri",31,152.579877457933,"Thous$2015",5656
"AUT","2030","copd",1459,152.579877457933,"Thous$2015",266199
"AUT","2030","ihd",12186,152.579877457933,"Thous$2015",2223372
"AUT","2030","lc",2869,152.579877457933,"Thous$2015",523457
"AUT","2030","stroke",2492,152.579877457933,"Thous$2015",454673
"BGR","2030","alri",66,91.2122100230277,"Thous$2015",7199
"BGR","2030","copd",2171,91.2122100230277,"Thous$2015",236792
"BGR","2030","ihd",25194,91.2122100230277,"Thous$2015",2747918
"BGR","2030","lc",3326,91.2122100230277,"Thous$2015",362768
"BGR","2030","stroke",14175,91.2122100230277,"Thous$2015",1546072
"BLX","2030","alri",110,223.940636532195,"Thous$2015",29456
"BLX","2030","copd",3830,223.940636532195,"Thous$2015",1025617
"BLX","2030","ihd",31646,223.940636532195,"Thous$2015",8474329
"BLX","2030","lc",7557,223.940636532195,"Thous$2015",2023653
"BLX","2030","stroke",6659,223.940636532195,"Thous$2015",1783181
"BRA","2030","alri",46,71.4916595575273,"Thous$2015",3932
"BRA","2030","copd",3434,71.4916595575273,"Thous$2015",293568
"BRA","2030","ihd",106609,71.4916595575273,"Thous$2015",9113871
"BRA","2030","lc",2238,71.4916595575273,"Thous$2015",191324
"BRA","2030","stroke",2807,71.4916595575273,"Thous$2015",239967
"CAN","2030","alri",20,187.019207606967,"Thous$2015",4473
"CAN","2030","copd",2805,187.019207606967,"Thous$2015",627296
"CAN","2030","ihd",42391,187.019207606967,"Thous$2015",9480112
"CAN","2030","lc",4167,187.019207606967,"Thous$2015",931887
"CAN","2030","stroke",1814,187.019207606967,"Thous$2015",405674
"CHE","2030","alri",25,179.366026520188,"Thous$2015",5362
"CHE","2030","copd",991,179.366026520188,"Thous$2015",212553
"CHE","2030","ihd",8742,179.366026520188,"Thous$2015",1875014
"CHE","2030","lc",1948,179.366026520188,"Thous$2015",417814
"CHE","2030","stroke",1550,179.366026520188,"Thous$2015",332449
"CHL","2030","alri",240,82.6960431049811,"Thous$2015",23733
"CHL","2030","copd",3630,82.6960431049811,"Thous$2015",358959
"CHL","2030","ihd",36520,82.6960431049811,"Thous$2015",3611346
"CHL","2030","lc",2889,82.6960431049811,"Thous$2015",285684
"CHL","2030","stroke",20385,82.6960431049811,"Thous$2015",2015808
"CHN","2030","alri",22128,116.45825475321,"Thous$2015",3081528
"CHN","2030","copd",3490468,116.45825475321,"Thous$2015",486079774
"CHN","2030","ihd",2612499,116.45825475321,"Thous$2015",363814516
"CHN","2030","lc",1924387,116.45825475321,"Thous$2015",267988590
"CHN","2030","stroke",8587691,116.45825475321,"Thous$2015",1195914961
"COR","2030","alri",375,117.943031583496,"Thous$2015",52888
"COR","2030","copd",83961,117.943031583496,"Thous$2015",11841412
"COR","2030","ihd",80687,117.943031583496,"Thous$2015",11379665
"COR","2030","lc",45321,117.943031583496,"Thous$2015",6391832
"COR","2030","stroke",176052,117.943031583496,"Thous$2015",24829436
"EAF","2030","alri",47346,14.8968931233464,"Thous$2015",843398
"EAF","2030","copd",110407,14.8968931233464,"Thous$2015",1966735
"EAF","2030","ihd",635208,14.8968931233464,"Thous$2015",11315279
"EAF","2030","lc",27473,14.8968931233464,"Thous$2015",489390
"EAF","2030","stroke",537099,14.8968931233464,"Thous$2015",9567614
"EGY","2030","alri",3567,45.4217286589372,"Thous$2015",193740
"EGY","2030","copd",49583,45.4217286589372,"Thous$2015",2693085
"EGY","2030","ihd",376723,45.4217286589372,"Thous$2015",20461591
"EGY","2030","lc",20061,45.4217286589372,"Thous$2015",1089607
"EGY","2030","stroke",181997,45.4217286589372,"Thous$2015",9885110
"ESP","2030","alri",264,169.387341051724,"Thous$2015",53473
"ESP","2030","copd",11023,169.387341051724,"Thous$2015",2232721
"ESP","2030","ihd",79717,169.387341051724,"Thous$2015",16146764
"ESP","2030","lc",22228,169.387341051724,"Thous$2015",4502305
"ESP","2030","stroke",24047,169.387341051724,"Thous$2015",4870746
"FIN","2030","alri",0,170.795070840809,"Thous$2015",0
"FIN","2030","copd",0,170.795070840809,"Thous$2015",0
"FIN","2030","ihd",0,170.795070840809,"Thous$2015",0
"FIN","2030","lc",0,170.795070840809,"Thous$2015",0
"FIN","2030","stroke",0,170.795070840809,"Thous$2015",0
"FRA","2030","alri",184,191.284252856261,"Thous$2015",42087
"FRA","2030","copd",6826,191.284252856261,"Thous$2015",1561346
"FRA","2030","ihd",62915,191.284252856261,"Thous$2015",14390869
"FRA","2030","lc",13271,191.284252856261,"Thous$2015",3035544
"FRA","2030","stroke",9745,191.284252856261,"Thous$2015",2229024
"GBR","2030","alri",25,205.612177138577,"Thous$2015",6147
"GBR","2030","copd",1857,205.612177138577,"Thous$2015",456577
"GBR","2030","ihd",32184,205.612177138577,"Thous$2015",7913024
"GBR","2030","lc",3219,205.612177138577,"Thous$2015",791450
"GBR","2030","stroke",998,205.612177138577,"Thous$2015",245377
"GOLF","2030","alri",5540,76.5244156052501,"Thous$2015",506948
"GOLF","2030","copd",56872,76.5244156052501,"Thous$2015",5204178
"GOLF","2030","ihd",848699,76.5244156052501,"Thous$2015",77661777
"GOLF","2030","lc",77194,76.5244156052501,"Thous$2015",7063780
"GOLF","2030","stroke",524978,76.5244156052501,"Thous$2015",48039086
"GRC","2030","alri",55,172.615286330717,"Thous$2015",11353
"GRC","2030","copd",2184,172.615286330717,"Thous$2015",450802
"GRC","2030","ihd",16088,172.615286330717,"Thous$2015",3320740
"GRC","2030","lc",4385,172.615286330717,"Thous$2015",905112
"GRC","2030","stroke",4621,172.615286330717,"Thous$2015",953825
"HUN","2030","alri",51,113.993055934296,"Thous$2015",6952
"HUN","2030","copd",1756,113.993055934296,"Thous$2015",239363
"HUN","2030","ihd",64937,113.993055934296,"Thous$2015",8851650
"HUN","2030","lc",3068,113.993055934296,"Thous$2015",418203
"HUN","2030","stroke",18144,113.993055934296,"Thous$2015",2473233
"IDN","2030","alri",5732,65.5456218674466,"Thous$2015",449266
"IDN","2030","copd",54821,65.5456218674466,"Thous$2015",4296791
"IDN","2030","ihd",596003,65.5456218674466,"Thous$2015",46713859
"IDN","2030","lc",87231,65.5456218674466,"Thous$2015",6837040
"IDN","2030","stroke",156745,65.5456218674466,"Thous$2015",12285448
"ITA","2030","alri",349,191.221866561607,"Thous$2015",79803
"ITA","2030","copd",12981,191.221866561607,"Thous$2015",2968242
"ITA","2030","ihd",88420,191.221866561607,"Thous$2015",20218162
"ITA","2030","lc",26368,191.221866561607,"Thous$2015",6029320
"ITA","2030","stroke",31377,191.221866561607,"Thous$2015",7174681
"JPN","2030","alri",1496,145.606538611839,"Thous$2015",260475
"JPN","2030","copd",15705,145.606538611839,"Thous$2015",2734465
"JPN","2030","ihd",120153,145.606538611839,"Thous$2015",20920358
"JPN","2030","lc",70259,145.606538611839,"Thous$2015",12233098
"JPN","2030","stroke",87374,145.606538611839,"Thous$2015",15213065
"KAZ","2030","alri",374,113.31509561763,"Thous$2015",50677
"KAZ","2030","copd",4571,113.31509561763,"Thous$2015",619373
"KAZ","2030","ihd",134517,113.31509561763,"Thous$2015",18227141
"KAZ","2030","lc",8219,113.31509561763,"Thous$2015",1113680
"KAZ","2030","stroke",67080,113.31509561763,"Thous$2015",9089384
"MEME","2030","alri",987,56.54289202832,"Thous$2015",66734
"MEME","2030","copd",9814,56.54289202832,"Thous$2015",663556
"MEME","2030","ihd",62056,56.54289202832,"Thous$2015",4195806
"MEME","2030","lc",20082,56.54289202832,"Thous$2015",1357809
"MEME","2030","stroke",26742,56.54289202832,"Thous$2015",1808113
"MEX","2030","alri",1220,84.6155665708881,"Thous$2015",123442
"MEX","2030","copd",14387,84.6155665708881,"Thous$2015",1455708
"MEX","2030","ihd",170045,84.6155665708881,"Thous$2015",17205518
"MEX","2030","lc",11245,84.6155665708881,"Thous$2015",1137793
"MEX","2030","stroke",62317,84.6155665708881,"Thous$2015",6305368
"MON","2030","alri",549,6.60542557731589,"Thous$2015",4336
"MON","2030","copd",21442,6.60542557731589,"Thous$2015",169363
