"region","year","disease","Damage_med","unit"
"AUT","2100","resp",1162277,"Thous$2015"
"CHE","2100","resp",1203202,"Thous$2015"
"BLX","2100","resp",5140012,"Thous$2015"
"ESP","2100","resp",9519651,"Thous$2015"
"FIN","2100","resp",313538,"Thous$2015"
"FRA","2100","resp",11611378,"Thous$2015"
"GBR","2100","resp",11057742,"Thous$2015"
"GRC","2100","resp",2202033,"Thous$2015"
"ITA","2100","resp",11765930,"Thous$2015"
"RFA","2100","resp",6752550,"Thous$2015"
"SWE","2100","resp",1817819,"Thous$2015"
"TUR","2100","resp",11247530,"Thous$2015"
"NOR","2100","resp",777209,"Thous$2015"
"BGR","2100","resp",437500,"Thous$2015"
"HUN","2100","resp",644255,"Thous$2015"
"POL","2100","resp",2715499,"Thous$2015"
"RCEU","2100","resp",1979462,"Thous$2015"
"RCZ","2100","resp",1216381,"Thous$2015"
"ROM","2100","resp",1131280,"Thous$2015"
"MEME","2100","resp",6629531,"Thous$2015"
"NOA","2100","resp",10245229,"Thous$2015"
"EGY","2100","resp",19956068,"Thous$2015"
"GOLF","2100","resp",22766521,"Thous$2015"
"WAF","2100","resp",78930772,"Thous$2015"
"EAF","2100","resp",45292585,"Thous$2015"
"SAF","2100","resp",7845011,"Thous$2015"
"RSA","2100","resp",4673623,"Thous$2015"
"KAZ","2100","resp",1151453,"Thous$2015"
"RIS","2100","resp",5542778,"Thous$2015"
"RUS","2100","resp",6899511,"Thous$2015"
"RUE","2100","resp",857435,"Thous$2015"
"UKR","2100","resp",2803451,"Thous$2015"
"COR","2100","resp",14452928,"Thous$2015"
"JPN","2100","resp",5128642,"Thous$2015"
"AUS","2100","resp",251393,"Thous$2015"
"NZL","2100","resp",34935,"Thous$2015"
"PAC","2100","resp",0,"Thous$2015"
"MON","2100","resp",600021,"Thous$2015"
"CHN","2100","resp",303019258,"Thous$2015"
"TWN","2100","resp",14611847,"Thous$2015"
"RSAS","2100","resp",89731194,"Thous$2015"
"NDE","2100","resp",1032844968,"Thous$2015"
"IDN","2100","resp",15547683,"Thous$2015"
"THA","2100","resp",7144630,"Thous$2015"
"MYS","2100","resp",1583808,"Thous$2015"
"PHL","2100","resp",10600812,"Thous$2015"
"VNM","2100","resp",18344157,"Thous$2015"
"RSEA","2100","resp",9026040,"Thous$2015"
"CAN","2100","resp",6749464,"Thous$2015"
"USA","2100","resp",87992157,"Thous$2015"
"BRA","2100","resp",5021763,"Thous$2015"
"MEX","2100","resp",12260976,"Thous$2015"
"RCAM","2100","resp",2732979,"Thous$2015"
"CHL","2100","resp",406379,"Thous$2015"
"ARG","2100","resp",377679,"Thous$2015"
"RSAM","2100","resp",836434,"Thous$2015"
