"region","year","RESP","tot"
"ARG","2010",1822,1822
"AUS","2010",181,181
"AUT","2010",6033,6033
"BGR","2010",5066,5066
"BLX","2010",9762,9762
"BRA","2010",28566,28566
"CAN","2010",15172,15172
"CHE","2010",4208,4208
"CHL","2010",1742,1742
"CHN","2010",2630025,2630025
"COR","2010",76345,76345
"EAF","2010",79924,79924
"EGY","2010",66596,66596
"ESP","2010",27754,27754
"FIN","2010",1114,1114
"FRA","2010",25063,25063
"GBR","2010",16791,16791
"GOLF","2010",54076,54076
"GRC","2010",7144,7144
"HUN","2010",5002,5002
"IDN","2010",56836,56836
"ITA","2010",41451,41451
"JPN","2010",28342,28342
"KAZ","2010",4697,4697
"MEME","2010",23025,23025
"MEX","2010",35825,35825
"MON","2010",31793,31793
"MYS","2010",6430,6430
"NDE","2010",1682853,1682853
"NOA","2010",44164,44164
"NOR","2010",1329,1329
"NZL","2010",43,43
"PAC","2010",0,0
"PHL","2010",52206,52206
"POL","2010",20518,20518
"RCAM","2010",14958,14958
"RCEU","2010",14094,14094
"RCZ","2010",9035,9035
"RFA","2010",39409,39409
"RIS","2010",24814,24814
"ROM","2010",12492,12492
"RSA","2010",16314,16314
"RSAM","2010",4024,4024
"RSAS","2010",219585,219585
"RSEA","2010",135336,135336
"RUE","2010",7499,7499
"RUS","2010",49315,49315
"SAF","2010",18477,18477
"SWE","2010",4287,4287
"THA","2010",41891,41891
"TUR","2010",39184,39184
"TWN","2010",37241,37241
"UKR","2010",24127,24127
"USA","2010",223966,223966
"VNM","2010",123657,123657
"WAF","2010",92604,92604
