"region","year","disease","yll_o3"
"AUT","2050","resp",4119
"CHE","2050","resp",3276
"BLX","2050","resp",9400
"ESP","2050","resp",25712
"FIN","2050","resp",819
"FRA","2050","resp",22490
"GBR","2050","resp",18816
"GRC","2050","resp",5866
"ITA","2050","resp",30080
"RFA","2050","resp",25478
"SWE","2050","resp",3635
"TUR","2050","resp",45432
"NOR","2050","resp",1264
"BGR","2050","resp",2836
"HUN","2050","resp",3076
"POL","2050","resp",13879
"RCEU","2050","resp",11307
"RCZ","2050","resp",5515
"ROM","2050","resp",7248
"MEME","2050","resp",29893
"NOA","2050","resp",60022
"EGY","2050","resp",103831
"GOLF","2050","resp",82535
"WAF","2050","resp",231408
"EAF","2050","resp",205099
"SAF","2050","resp",41139
"RSA","2050","resp",18848
"KAZ","2050","resp",4647
"RIS","2050","resp",22750
"RUS","2050","resp",32522
"RUE","2050","resp",4499
"UKR","2050","resp",14137
"COR","2050","resp",96625
"JPN","2050","resp",22423
"AUS","2050","resp",512
"NZL","2050","resp",83
"PAC","2050","resp",0
"MON","2050","resp",32906
"CHN","2050","resp",2341835
"TWN","2050","resp",43489
"RSAS","2050","resp",626489
"NDE","2050","resp",5236087
"IDN","2050","resp",80812
"THA","2050","resp",43816
"MYS","2050","resp",7285
"PHL","2050","resp",80766
"VNM","2050","resp",142586
"RSEA","2050","resp",161640
"CAN","2050","resp",15027
"USA","2050","resp",177014
"BRA","2050","resp",26248
"MEX","2050","resp",38598
"RCAM","2050","resp",14281
"CHL","2050","resp",2100
"ARG","2050","resp",1441
"RSAM","2050","resp",4303
