"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2100",0,0,0,0,0,0
"AUS","2100",0,0,0,0,0,0
"AUT","2100",0,218,4439,362,70,5089
"BGR","2100",22,1193,16236,1801,6015,25267
"BLX","2100",25,2028,24140,3767,1899,31858
"BRA","2100",0,0,0,0,0,0
"CAN","2100",0,297,7691,387,68,8444
"CHE","2100",0,273,4552,466,154,5445
"CHL","2100",28,1495,23182,1119,4045,29869
"CHN","2100",4656,1401017,1343910,756375,2943765,6449724
"COR","2100",37,21892,31623,11185,24153,88890
"EAF","2100",34365,351079,2031693,87320,1694782,4199239
"EGY","2100",2635,100041,712175,40759,384583,1240192
"ESP","2100",135,7801,65982,15359,13095,102371
"FIN","2100",0,0,0,0,0,0
"FRA","2100",6,1178,23891,1948,384,27407
"GBR","2100",0,0,0,0,0,0
"GOLF","2100",3890,107483,1617756,145704,991688,2866521
"GRC","2100",12,1061,10589,2041,1340,15043
"HUN","2100",0,436,26757,694,1879,29767
"IDN","2100",1923,47081,568751,73745,112803,804302
"ITA","2100",147,8160,64745,16210,15252,104514
"JPN","2100",228,4967,53162,21235,15621,95215
"KAZ","2100",136,4407,148435,7788,53240,214006
"MEME","2100",392,13714,102709,27499,28173,172487
"MEX","2100",536,18899,233926,14654,75562,343577
"MON","2100",48,7473,54782,2116,6061,70479
"MYS","2100",0,0,0,0,0,0
"NDE","2100",78455,3094288,9984708,970388,7767255,21895093
"NOA","2100",3797,48290,236152,9166,301623,599028
"NOR","2100",0,0,0,0,0,0
"NZL","2100",120,941,6839,4247,5677,17823
"PAC","2100",0,562,2037,238,113,2950
"PHL","2100",0,0,0,0,0,0
"POL","2100",0,0,0,0,0,0
"RCAM","2100",157,7341,118320,5466,18709,149992
"RCEU","2100",99,4959,63534,7533,27795,103919
"RCZ","2100",18,1420,14217,2729,1787,20171
"RFA","2100",61,5578,59575,10566,6164,81944
"RIS","2100",1128,25851,230481,40894,225923,524276
"ROM","2100",11,1017,21878,1430,2279,26614
"RSA","2100",799,13747,97830,3326,47196,162899
"RSAM","2100",39,957,54757,958,1497,58208
"RSAS","2100",21275,617771,3833161,254539,2498989,7225735
"RSEA","2100",311,71003,78247,37596,122674,309831
"RUE","2100",0,0,0,0,0,0
"RUS","2100",11,1712,65956,2117,1283,71079
"SAF","2100",1598,29579,263721,6930,68746,370574
"SWE","2100",0,0,0,0,0,0
"THA","2100",1048,18633,178897,30109,65901,294587
"TUR","2100",175,11551,205222,16742,36735,270426
"TWN","2100",18,11834,17388,6035,12721,47996
"UKR","2100",0,0,0,0,0,0
"USA","2100",191,33599,501185,50122,21990,607087
"VNM","2100",119,62150,85484,31997,74687,254436
"WAF","2100",83422,522380,2319381,100126,3525304,6550613
