"region","year","disease","yll_med","vsly","unit","Damage_med"
"ARG","2070","alri",0,159.975971410765,"Thous$2015",0
"ARG","2070","copd",0,159.975971410765,"Thous$2015",0
"ARG","2070","ihd",0,159.975971410765,"Thous$2015",0
"ARG","2070","lc",0,159.975971410765,"Thous$2015",0
"ARG","2070","stroke",0,159.975971410765,"Thous$2015",0
"AUS","2070","alri",0,320.818531275899,"Thous$2015",0
"AUS","2070","copd",0,320.818531275899,"Thous$2015",0
"AUS","2070","ihd",0,320.818531275899,"Thous$2015",0
"AUS","2070","lc",0,320.818531275899,"Thous$2015",0
"AUS","2070","stroke",0,320.818531275899,"Thous$2015",0
"AUT","2070","alri",6,211.427222539201,"Thous$2015",1517
"AUT","2070","copd",429,211.427222539201,"Thous$2015",108461
"AUT","2070","ihd",6374,211.427222539201,"Thous$2015",1611486
"AUT","2070","lc",770,211.427222539201,"Thous$2015",194673
"AUT","2070","stroke",307,211.427222539201,"Thous$2015",77616
"BGR","2070","alri",33,128.562042040682,"Thous$2015",5073
"BGR","2070","copd",1477,128.562042040682,"Thous$2015",227063
"BGR","2070","ihd",19380,128.562042040682,"Thous$2015",2979341
"BGR","2070","lc",2241,128.562042040682,"Thous$2015",344515
"BGR","2070","stroke",7955,128.562042040682,"Thous$2015",1222944
"BLX","2070","alri",43,342.90557256462,"Thous$2015",17632
"BLX","2070","copd",2559,342.90557256462,"Thous$2015",1049297
"BLX","2070","ihd",27223,342.90557256462,"Thous$2015",11162569
"BLX","2070","lc",4840,342.90557256462,"Thous$2015",1984602
"BLX","2070","stroke",2841,342.90557256462,"Thous$2015",1164929
"BRA","2070","alri",0,138.295656669044,"Thous$2015",0
"BRA","2070","copd",0,138.295656669044,"Thous$2015",0
"BRA","2070","ihd",0,138.295656669044,"Thous$2015",0
"BRA","2070","lc",0,138.295656669044,"Thous$2015",0
"BRA","2070","stroke",0,138.295656669044,"Thous$2015",0
"CAN","2070","alri",0,262.946121683925,"Thous$2015",0
"CAN","2070","copd",501,262.946121683925,"Thous$2015",157528
"CAN","2070","ihd",12885,262.946121683925,"Thous$2015",4051397
"CAN","2070","lc",660,262.946121683925,"Thous$2015",207522
"CAN","2070","stroke",114,262.946121683925,"Thous$2015",35845
"CHE","2070","alri",6,253.882798393934,"Thous$2015",1822
"CHE","2070","copd",491,253.882798393934,"Thous$2015",149062
"CHE","2070","ihd",6262,253.882798393934,"Thous$2015",1901078
"CHE","2070","lc",898,253.882798393934,"Thous$2015",272623
"CHE","2070","stroke",426,253.882798393934,"Thous$2015",129329
"CHL","2070","alri",55,134.512197866536,"Thous$2015",8847
"CHL","2070","copd",2260,134.512197866536,"Thous$2015",363516
"CHL","2070","ihd",30226,134.512197866536,"Thous$2015",4861787
"CHL","2070","lc",1731,134.512197866536,"Thous$2015",278428
"CHL","2070","stroke",7962,134.512197866536,"Thous$2015",1280671
"CHN","2070","alri",8526,186.53598888785,"Thous$2015",1901786
"CHN","2070","copd",2311866,186.53598888785,"Thous$2015",515678357
"CHN","2070","ihd",2005801,186.53598888785,"Thous$2015",447408355
"CHN","2070","lc",1256818,186.53598888785,"Thous$2015",280342304
"CHN","2070","stroke",5316335,186.53598888785,"Thous$2015",1185846799
"COR","2070","alri",82,158.352100195888,"Thous$2015",15527
"COR","2070","copd",38313,158.352100195888,"Thous$2015",7254769
"COR","2070","ihd",48205,158.352100195888,"Thous$2015",9127872
"COR","2070","lc",20006,158.352100195888,"Thous$2015",3788242
"COR","2070","stroke",53358,158.352100195888,"Thous$2015",10103620
"EAF","2070","alri",43566,37.3068718285448,"Thous$2015",1943525
"EAF","2070","copd",271118,37.3068718285448,"Thous$2015",12094859
"EAF","2070","ihd",1561140,37.3068718285448,"Thous$2015",69644095
"EAF","2070","lc",67478,37.3068718285448,"Thous$2015",3010264
