"region","year","disease","mort_o3"
"ARG","2030","RESP",165
"AUS","2030","RESP",47
"AUT","2030","RESP",506
"BGR","2030","RESP",308
"BLX","2030","RESP",1037
"BRA","2030","RESP",2761
"CAN","2030","RESP",1468
"CHE","2030","RESP",390
"CHL","2030","RESP",202
"CHN","2030","RESP",298590
"COR","2030","RESP",11402
"EAF","2030","RESP",7905
"EGY","2030","RESP",5865
"ESP","2030","RESP",3044
"FIN","2030","RESP",100
"FRA","2030","RESP",2575
"GBR","2030","RESP",1963
"GOLF","2030","RESP",5689
"GRC","2030","RESP",732
"HUN","2030","RESP",300
"IDN","2030","RESP",5865
"ITA","2030","RESP",3909
"JPN","2030","RESP",3540
"KAZ","2030","RESP",358
"MEME","2030","RESP",2722
"MEX","2030","RESP",3544
"MON","2030","RESP",2612
"MYS","2030","RESP",808
"NDE","2030","RESP",284197
"NOA","2030","RESP",3669
"NOR","2030","RESP",134
"NZL","2030","RESP",8
"PAC","2030","RESP",0
"PHL","2030","RESP",6425
"POL","2030","RESP",1481
"RCAM","2030","RESP",1335
"RCEU","2030","RESP",1125
"RCZ","2030","RESP",674
"RFA","2030","RESP",3236
"RIS","2030","RESP",1991
"ROM","2030","RESP",813
"RSA","2030","RESP",1187
"RSAM","2030","RESP",367
"RSAS","2030","RESP",32541
"RSEA","2030","RESP",16348
"RUE","2030","RESP",485
"RUS","2030","RESP",3348
"SAF","2030","RESP",1648
"SWE","2030","RESP",402
"THA","2030","RESP",3982
"TUR","2030","RESP",3965
"TWN","2030","RESP",5344
"UKR","2030","RESP",1381
"USA","2030","RESP",17629
"VNM","2030","RESP",15307
"WAF","2030","RESP",8834
