"region","year","RESP","tot"
"ARG","2090",2529,2529
"AUS","2090",1228,1228
"AUT","2090",6997,6997
"BGR","2090",4087,4087
"BLX","2090",17844,17844
"BRA","2090",43011,43011
"CAN","2090",28955,28955
"CHE","2090",5514,5514
"CHL","2090",3078,3078
"CHN","2090",2171969,2171969
"COR","2090",91644,91644
"EAF","2090",801043,801043
"EGY","2090",238778,238778
"ESP","2090",33833,33833
"FIN","2090",1583,1583
"FRA","2090",38337,38337
"GBR","2090",37745,37745
"GOLF","2090",196189,196189
"GRC","2090",7720,7720
"HUN","2090",4016,4016
"IDN","2090",119086,119086
"ITA","2090",37747,37747
"JPN","2090",28218,28218
"KAZ","2090",8741,8741
"MEME","2090",88157,88157
"MEX","2090",78946,78946
"MON","2090",32563,32563
"MYS","2090",18582,18582
"NDE","2090",7956745,7956745
"NOA","2090",94631,94631
"NOR","2090",2786,2786
"NZL","2090",232,232
"PAC","2090",0,0
"PHL","2090",216366,216366
"POL","2090",18130,18130
"RCAM","2090",28991,28991
"RCEU","2090",15296,15296
"RCZ","2090",10791,10791
"RFA","2090",41955,41955
"RIS","2090",51165,51165
"ROM","2090",8379,8379
"RSA","2090",33683,33683
"RSAM","2090",7928,7928
"RSAS","2090",1348364,1348364
"RSEA","2090",284389,284389
"RUE","2090",6588,6588
"RUS","2090",51886,51886
"SAF","2090",161986,161986
"SWE","2090",7652,7652
"THA","2090",47384,47384
"TUR","2090",78729,78729
"TWN","2090",48266,48266
"UKR","2090",19951,19951
"USA","2090",390147,390147
"VNM","2090",199579,199579
"WAF","2090",1075839,1075839
