"region","year","alri","copd","ihd","lc","stroke","tot"
"ARG","2030",17,980,27564,480,505,29547
"AUS","2030",0,0,0,0,0,0
"AUT","2030",60,4158,24840,5300,6355,40713
"BGR","2030",137,5275,44932,6116,24882,81341
"BLX","2030",199,10736,70294,13158,15974,110361
"BRA","2030",111,7969,253305,4005,5434,270824
"CAN","2030",37,6843,96345,7292,5383,115901
"CHE","2030",42,2884,16845,3392,3582,26745
"CHL","2030",376,7590,72661,4632,35904,121162
"CHN","2030",52278,7500330,5474956,3281590,19479450,35788605
"COR","2030",526,229952,148455,65972,380146,825050
"EAF","2030",178295,250672,1326537,49792,1032731,2838027
"EGY","2030",13766,135150,785509,40360,466065,1440851
"ESP","2030",484,23139,176142,40772,52301,292837
"FIN","2030",0,0,0,0,0,0
"FRA","2030",306,16007,132116,24923,22854,196206
"GBR","2030",46,4809,75173,5137,2248,87414
"GOLF","2030",16959,176479,1885141,150935,1300504,3530018
"GRC","2030",104,5587,36572,7504,8718,58485
"HUN","2030",55,3919,109284,5233,37182,155673
"IDN","2030",16518,132409,1348393,167145,350974,2015439
"ITA","2030",637,30036,174052,42487,62205,309417
"JPN","2030",2761,47008,236305,111280,230200,627555
"KAZ","2030",836,9794,278224,15754,149042,453650
"MEME","2030",4880,38067,191680,41173,98397,374197
"MEX","2030",4035,30143,365767,19268,134564,553776
"MON","2030",1272,35668,201227,12425,78691,329283
"MYS","2030",689,6032,58643,14928,14907,95199
"NDE","2030",715151,4891765,16007472,1597049,13428347,36639784
"NOA","2030",12400,79822,339912,12554,381650,826338
"NOR","2030",0,0,0,0,0,0
"NZL","2030",263,2007,10040,5852,8282,26444
"PAC","2030",0,1064,4071,329,227,5692
"PHL","2030",33,22508,64835,5457,3585,96418
"POL","2030",124,12604,152786,11453,26183,203149
"RCAM","2030",1674,15307,200878,8885,39894,266639
"RCEU","2030",231,12126,122592,13599,45498,194045
"RCZ","2030",283,10772,50845,12889,22922,97712
"RFA","2030",570,39448,200972,44658,60535,346184
"RIS","2030",18579,72313,458436,79948,571901,1201177
"ROM","2030",238,10041,101430,11451,35211,158372
"RSA","2030",4795,26887,151588,4978,80358,268605
"RSAM","2030",1007,3656,132277,3382,12890,153212
"RSAS","2030",173929,655058,4589200,256887,2470126,8145200
"RSEA","2030",4922,266099,234746,102257,434056,1042080
"RUE","2030",108,5469,105067,5656,8673,124972
"RUS","2030",1187,42102,553952,46350,123116,766707
"SAF","2030",3861,14136,130508,2410,17695,168610
"SWE","2030",0,238,3577,233,69,4118
"THA","2030",5530,76219,517856,90575,356684,1046863
"TUR","2030",1503,40030,438544,42890,169976,692942
"TWN","2030",152,47088,63109,21102,117865,249317
"UKR","2030",167,9937,429364,13771,49475,502713
"USA","2030",1001,114821,1121412,105707,120323,1463264
"VNM","2030",2363,334923,294129,132486,487192,1251093
"WAF","2030",375823,339683,1201200,47455,1759112,3723273
