"region","year","RESP","tot"
"ARG","2100",2482,2482
"AUS","2100",1130,1130
"AUT","2100",6637,6637
"BGR","2100",3850,3850
"BLX","2100",17568,17568
"BRA","2100",40447,40447
"CAN","2100",28664,28664
"CHE","2100",5290,5290
"CHL","2100",2916,2916
"CHN","2100",1853979,1853979
"COR","2100",82058,82058
"EAF","2100",910503,910503
"EGY","2100",241261,241261
"ESP","2100",32447,32447
"FIN","2100",1583,1583
"FRA","2100",38072,38072
"GBR","2100",37773,37773
"GOLF","2100",199767,199767
"GRC","2100",7363,7363
"HUN","2100",3783,3783
"IDN","2100",109436,109436
"ITA","2100",35781,35781
"JPN","2100",25397,25397
"KAZ","2100",8463,8463
"MEME","2100",89855,89855
"MEX","2100",81313,81313
"MON","2100",29055,29055
"MYS","2100",17820,17820
"NDE","2100",7577762,7577762
"NOA","2100",93822,93822
"NOR","2100",2771,2771
"NZL","2100",217,217
"PAC","2100",0,0
"PHL","2100",211344,211344
"POL","2100",16912,16912
"RCAM","2100",28890,28890
"RCEU","2100",14094,14094
"RCZ","2100",10301,10301
"RFA","2100",39569,39569
"RIS","2100",50103,50103
"ROM","2100",7665,7665
"RSA","2100",33018,33018
"RSAM","2100",7839,7839
"RSAS","2100",1412678,1412678
"RSEA","2100",270709,270709
"RUE","2100",6178,6178
"RUS","2100",49708,49708
"SAF","2100",182189,182189
"SWE","2100",7638,7638
"THA","2100",43336,43336
"TUR","2100",76972,76972
"TWN","2100",43880,43880
"UKR","2100",18832,18832
"USA","2100",394632,394632
"VNM","2100",178847,178847
"WAF","2100",1279410,1279410
