"region","year","disease","Damage_med","unit"
"AUT","2080","resp",1085909,"Thous$2015"
"CHE","2080","resp",1097166,"Thous$2015"
"BLX","2080","resp",4502308,"Thous$2015"
"ESP","2080","resp",8931488,"Thous$2015"
"FIN","2080","resp",271312,"Thous$2015"
"FRA","2080","resp",9934828,"Thous$2015"
"GBR","2080","resp",9307492,"Thous$2015"
"GRC","2080","resp",2080257,"Thous$2015"
"ITA","2080","resp",11157446,"Thous$2015"
"RFA","2080","resp",6253471,"Thous$2015"
"SWE","2080","resp",1548725,"Thous$2015"
"TUR","2080","resp",9100926,"Thous$2015"
"NOR","2080","resp",666369,"Thous$2015"
"BGR","2080","resp",415754,"Thous$2015"
"HUN","2080","resp",607344,"Thous$2015"
"POL","2080","resp",2679836,"Thous$2015"
"RCEU","2080","resp",1889412,"Thous$2015"
"RCZ","2080","resp",1099219,"Thous$2015"
"ROM","2080","resp",1125662,"Thous$2015"
"MEME","2080","resp",4925909,"Thous$2015"
"NOA","2080","resp",8398781,"Thous$2015"
"EGY","2080","resp",16325665,"Thous$2015"
"GOLF","2080","resp",17314731,"Thous$2015"
"WAF","2080","resp",41345377,"Thous$2015"
"EAF","2080","resp",23183234,"Thous$2015"
"SAF","2080","resp",3965839,"Thous$2015"
"RSA","2080","resp",3800141,"Thous$2015"
"KAZ","2080","resp",994556,"Thous$2015"
"RIS","2080","resp",4761706,"Thous$2015"
"RUS","2080","resp",6212823,"Thous$2015"
"RUE","2080","resp",807404,"Thous$2015"
"UKR","2080","resp",2582198,"Thous$2015"
"COR","2080","resp",15056158,"Thous$2015"
"JPN","2080","resp",5158985,"Thous$2015"
"AUS","2080","resp",258146,"Thous$2015"
"NZL","2080","resp",31909,"Thous$2015"
"PAC","2080","resp",0,"Thous$2015"
"MON","2080","resp",549780,"Thous$2015"
"CHN","2080","resp",372073133,"Thous$2015"
"TWN","2080","resp",15114985,"Thous$2015"
"RSAS","2080","resp",56584756,"Thous$2015"
"NDE","2080","resp",922848084,"Thous$2015"
"IDN","2080","resp",14397719,"Thous$2015"
"THA","2080","resp",6675476,"Thous$2015"
"MYS","2080","resp",1468773,"Thous$2015"
"PHL","2080","resp",8869276,"Thous$2015"
"VNM","2080","resp",17956854,"Thous$2015"
"RSEA","2080","resp",7055999,"Thous$2015"
"CAN","2080","resp",5902024,"Thous$2015"
"USA","2080","resp",73617239,"Thous$2015"
"BRA","2080","resp",4481775,"Thous$2015"
"MEX","2080","resp",9289513,"Thous$2015"
"RCAM","2080","resp",2104801,"Thous$2015"
"CHL","2080","resp",374098,"Thous$2015"
"ARG","2080","resp",319318,"Thous$2015"
"RSAM","2080","resp",716760,"Thous$2015"
