"region","year","disease","mort_med","mort_lb","mort_ub","vsl_med","vsl_lb","vsl_ub","unit","Damage_med"
"ARG","2030","alri",1,0,6,2.52574677078424,1.26287338539212,3.78862015617637,"Million$2015",3
"ARG","2030","copd",49,7,131,2.52574677078424,1.26287338539212,3.78862015617637,"Million$2015",148
"ARG","2030","ihd",1324,106,2595,2.52574677078424,1.26287338539212,3.78862015617637,"Million$2015",3999
"ARG","2030","lc",21,1,57,2.52574677078424,1.26287338539212,3.78862015617637,"Million$2015",63
"ARG","2030","stroke",26,0,818,2.52574677078424,1.26287338539212,3.78862015617637,"Million$2015",79
"ARG","2030","tot",1421,115,3607,2.52574677078424,1.26287338539212,3.78862015617637,"Million$2015",4292
"AUS","2030","alri",0,0,0,6.26465149249122,3.13232574624561,9.39697723873683,"Million$2015",0
"AUS","2030","copd",0,0,0,6.26465149249122,3.13232574624561,9.39697723873683,"Million$2015",0
"AUS","2030","ihd",0,0,0,6.26465149249122,3.13232574624561,9.39697723873683,"Million$2015",0
"AUS","2030","lc",0,0,0,6.26465149249122,3.13232574624561,9.39697723873683,"Million$2015",0
"AUS","2030","stroke",0,0,0,6.26465149249122,3.13232574624561,9.39697723873683,"Million$2015",0
"AUS","2030","tot",0,0,0,6.26465149249122,3.13232574624561,9.39697723873683,"Million$2015",0
"AUT","2030","alri",5,1,14,4.10130882224247,2.05065441112124,6.15196323336371,"Million$2015",25
"AUT","2030","copd",187,46,370,4.10130882224247,2.05065441112124,6.15196323336371,"Million$2015",917
"AUT","2030","ihd",1518,755,2196,4.10130882224247,2.05065441112124,6.15196323336371,"Million$2015",7445
"AUT","2030","lc",246,32,487,4.10130882224247,2.05065441112124,6.15196323336371,"Million$2015",1206
"AUT","2030","stroke",357,96,932,4.10130882224247,2.05065441112124,6.15196323336371,"Million$2015",1751
"AUT","2030","tot",2313,930,3998,4.10130882224247,2.05065441112124,6.15196323336371,"Million$2015",11344
"BGR","2030","alri",6,3,11,2.45176131935756,1.22588065967878,3.67764197903634,"Million$2015",18
"BGR","2030","copd",222,69,387,2.45176131935756,1.22588065967878,3.67764197903634,"Million$2015",651
