"region","year","disease","med","LB","UB"
"ARG","2040","alri",0,0,2
"ARG","2040","copd",15,2,41
"ARG","2040","ihd",420,33,839
"ARG","2040","lc",7,0,18
"ARG","2040","stroke",8,0,259
"ARG","2040","tot",450,36,1159
"AUS","2040","alri",0,0,0
"AUS","2040","copd",0,0,0
"AUS","2040","ihd",0,0,0
"AUS","2040","lc",0,0,0
"AUS","2040","stroke",0,0,0
"AUS","2040","tot",0,0,0
"AUT","2040","alri",3,1,9
"AUT","2040","copd",138,31,291
"AUT","2040","ihd",1311,486,1996
"AUT","2040","lc",177,20,370
"AUT","2040","stroke",199,32,796
"AUT","2040","tot",1828,569,3462
"BGR","2040","alri",5,2,9
"BGR","2040","copd",194,58,347
"BGR","2040","ihd",2145,1496,2825
"BGR","2040","lc",211,36,376
"BGR","2040","stroke",1132,585,1713
"BGR","2040","tot",3687,2177,5270
"BLX","2040","alri",12,3,37
"BLX","2040","copd",412,96,849
"BLX","2040","ihd",3678,1533,5470
"BLX","2040","lc",536,64,1096
"BLX","2040","stroke",660,122,2239
"BLX","2040","tot",5298,1818,9691
"BRA","2040","alri",2,0,22
"BRA","2040","copd",232,33,627
"BRA","2040","ihd",6338,508,12446
"BRA","2040","lc",102,6,271
"BRA","2040","stroke",126,1,3914
"BRA","2040","tot",6800,549,17280
"CAN","2040","alri",1,0,7
"CAN","2040","copd",199,34,489
"CAN","2040","ihd",4004,618,7246
"CAN","2040","lc",210,17,507
"CAN","2040","stroke",102,7,1234
"CAN","2040","tot",4517,677,9483
"CHE","2040","alri",2,0,7
"CHE","2040","copd",100,22,214
"CHE","2040","ihd",984,345,1515
"CHE","2040","lc",129,14,271
"CHE","2040","stroke",138,20,597
"CHE","2040","tot",1354,402,2605
"CHL","2040","alri",20,8,37
"CHL","2040","copd",411,125,729
"CHL","2040","ihd",3499,2456,4585
"CHL","2040","lc",223,38,394
"CHL","2040","stroke",1839,951,2767
"CHL","2040","tot",5992,3578,8512
"CHN","2040","alri",1840,1285,2359
"CHN","2040","copd",372552,145961,583644
"CHN","2040","ihd",250855,186114,385040
"CHN","2040","lc",138132,34812,211297
"CHN","2040","stroke",781063,268577,1105220
"CHN","2040","tot",1544442,636749,2287560
"COR","2040","alri",25,12,42
"COR","2040","copd",7864,2536,13545
"COR","2040","ihd",7095,5055,9100
"COR","2040","lc",2835,525,4864
"COR","2040","stroke",12689,6286,19131
"COR","2040","tot",30509,14414,46681
"EAF","2040","alri",3427,1462,6000
"EAF","2040","copd",11464,3537,20150
"EAF","2040","ihd",66169,46912,85952
"EAF","2040","lc",2532,443,4445
"EAF","2040","stroke",55019,28466,81985
"EAF","2040","tot",138611,80819,198532
"EGY","2040","alri",276,160,380
"EGY","2040","copd",4661,1647,7736
"EGY","2040","ihd",34872,25200,47492
"EGY","2040","lc",1665,358,2705
"EGY","2040","stroke",18078,7187,29480
"EGY","2040","tot",59552,34551,87792
"ESP","2040","alri",33,9,84
"ESP","2040","copd",1217,311,2362
"ESP","2040","ihd",9403,5116,13385
"ESP","2040","lc",1618,220,3142
"ESP","2040","stroke",2538,817,5808
"ESP","2040","tot",14811,6472,24781
"FIN","2040","alri",0,0,0
"FIN","2040","copd",0,0,0
"FIN","2040","ihd",0,0,0
"FIN","2040","lc",0,0,0
"FIN","2040","stroke",0,0,0
"FIN","2040","tot",0,0,0
"FRA","2040","alri",17,3,66
"FRA","2040","copd",652,136,1432
"FRA","2040","ihd",6921,2070,10945
"FRA","2040","lc",823,84,1782
"FRA","2040","stroke",768,82,4183
"FRA","2040","tot",9181,2375,18408
"GBR","2040","alri",1,0,11
"GBR","2040","copd",113,16,307
"GBR","2040","ihd",2244,180,4409
"GBR","2040","lc",126,8,334
"GBR","2040","stroke",42,0,1296
"GBR","2040","tot",2525,204,6357
"GOLF","2040","alri",462,323,582
"GOLF","2040","copd",6426,2706,9902
"GOLF","2040","ihd",85133,64395,139996
"GOLF","2040","lc",7031,1975,10323
"GOLF","2040","stroke",58340,18786,75530
"GOLF","2040","tot",157392,88184,236333
"GRC","2040","alri",6,2,17
"GRC","2040","copd",236,59,460
"GRC","2040","ihd",1853,976,2654
"GRC","2040","lc",312,42,610
"GRC","2040","stroke",475,142,1142
"GRC","2040","tot",2883,1222,4883
"HUN","2040","alri",2,1,5
"HUN","2040","copd",128,33,250
"HUN","2040","ihd",5248,2797,7500
"HUN","2040","lc",174,23,338
"HUN","2040","stroke",1209,372,2854
"HUN","2040","tot",6761,3225,10947
"IDN","2040","alri",398,119,927
"IDN","2040","copd",5343,1412,10160
"IDN","2040","ihd",52312,31059,73171
"IDN","2040","lc",7068,1005,13471
"IDN","2040","stroke",14857,5585,29892
"IDN","2040","tot",79978,39181,127621
"ITA","2040","alri",47,15,101
"ITA","2040","copd",1505,414,2818
"ITA","2040","ihd",10519,6649,14391
"ITA","2040","lc",2032,304,3800
"ITA","2040","stroke",3704,1622,6691
"ITA","2040","tot",17808,9003,27801
"JPN","2040","alri",188,67,379
"JPN","2040","copd",1884,538,3476
"JPN","2040","ihd",12735,8550,17205
"JPN","2040","lc",5854,920,10732
"JPN","2040","stroke",8829,4296,14539
"JPN","2040","tot",29491,14371,46332
"KAZ","2040","alri",20,9,33
"KAZ","2040","copd",432,138,748
"KAZ","2040","ihd",13187,9348,16923
"KAZ","2040","lc",607,111,1048
"KAZ","2040","stroke",6557,3289,9815
"KAZ","2040","tot",20803,12895,28568
"MEME","2040","alri",128,49,248
"MEME","2040","copd",1385,405,2523
"MEME","2040","ihd",8935,6157,11968
"MEME","2040","lc",1887,307,3413
"MEME","2040","stroke",3913,1983,6150
"MEME","2040","tot",16249,8900,24303
"MEX","2040","alri",115,36,257
"MEX","2040","copd",1760,475,3321
"MEX","2040","ihd",17399,10666,24071
"MEX","2040","lc",937,137,1770
"MEX","2040","stroke",6148,2512,11694
"MEX","2040","tot",26360,13825,41113
"MON","2040","alri",32,11,64
"MON","2040","copd",1558,444,2877
"MON","2040","ihd",7748,5183,10473
"MON","2040","lc",443,69,813
"MON","2040","stroke",2598,1258,4300
"MON","2040","tot",12380,6966,18528
"MYS","2040","alri",23,3,95
"MYS","2040","copd",213,44,474
"MYS","2040","ihd",2378,663,3806
"MYS","2040","lc",611,61,1339
"MYS","2040","stroke",409,36,2470
"MYS","2040","tot",3634,807,8184
"NDE","2040","alri",16502,11568,20978
"NDE","2040","copd",251354,109589,380056
"NDE","2040","ihd",692777,529928,1169078
"NDE","2040","lc",75681,22356,108972
"NDE","2040","stroke",692723,221369,868327
"NDE","2040","tot",1729037,894811,2547410
"NOA","2040","alri",384,202,566
"NOA","2040","copd",3102,1056,5229
"NOA","2040","ihd",15950,11419,20879
"NOA","2040","lc",552,111,918
"NOA","2040","stroke",17914,7948,28386
"NOA","2040","tot",37902,20737,55979
"NOR","2040","alri",0,0,0
"NOR","2040","copd",0,0,0
"NOR","2040","ihd",0,0,0
"NOR","2040","lc",0,0,0
"NOR","2040","stroke",0,0,0
"NOR","2040","tot",0,0,0
"NZL","2040","alri",24,11,41
"NZL","2040","copd",103,32,179
"NZL","2040","ihd",621,440,801
"NZL","2040","lc",323,58,563
"NZL","2040","stroke",575,293,857
"NZL","2040","tot",1646,833,2442
"PAC","2040","alri",0,0,1
"PAC","2040","copd",52,7,140
"PAC","2040","ihd",162,13,319
"PAC","2040","lc",15,1,40
"PAC","2040","stroke",9,0,286
"PAC","2040","tot",238,21,786
"PHL","2040","alri",1,0,10
"PHL","2040","copd",603,85,1633
"PHL","2040","ihd",1879,150,3699
"PHL","2040","lc",175,11,465
"PHL","2040","stroke",107,1,3330
"PHL","2040","tot",2765,247,9137
"POL","2040","alri",2,0,10
"POL","2040","copd",232,43,546
"POL","2040","ihd",5446,1104,9412
"POL","2040","lc",225,20,518
"POL","2040","stroke",411,33,3564
"POL","2040","tot",6316,1201,14050
"RCAM","2040","alri",42,9,124
"RCAM","2040","copd",802,190,1638
"RCAM","2040","ihd",9675,4213,14297
"RCAM","2040","lc",414,50,841
"RCAM","2040","stroke",1989,414,6306
"RCAM","2040","tot",12921,4877,23207
"RCEU","2040","alri",11,4,24
"RCEU","2040","copd",533,146,1000
"RCEU","2040","ihd",6644,4164,9118
"RCEU","2040","lc",572,85,1072
"RCEU","2040","stroke",2534,1089,4641
"RCEU","2040","tot",10294,5488,15855
"RCZ","2040","alri",12,4,27
"RCZ","2040","copd",372,100,703
"RCZ","2040","ihd",2672,1630,3703
"RCZ","2040","lc",500,73,945
"RCZ","2040","stroke",875,353,1678
"RCZ","2040","tot",4431,2160,7056
"RFA","2040","alri",30,7,83
"RFA","2040","copd",1325,323,2653
"RFA","2040","ihd",11052,5250,16112
"RFA","2040","lc",1742,221,3477
"RFA","2040","stroke",2426,604,6769
"RFA","2040","tot",16574,6406,29094
"RIS","2040","alri",221,152,284
"RIS","2040","copd",2525,976,3984
"RIS","2040","ihd",19564,14456,29547
"RIS","2040","lc",2849,705,4391
"RIS","2040","stroke",21392,7440,30874
"RIS","2040","tot",46552,23728,69079
"ROM","2040","alri",6,2,14
"ROM","2040","copd",344,87,671
"ROM","2040","ihd",4771,2536,6820
"ROM","2040","lc",363,49,708
"ROM","2040","stroke",1367,418,3240
"ROM","2040","tot",6851,3092,11454
"RSA","2040","alri",114,36,252
"RSA","2040","copd",963,262,1812
"RSA","2040","ihd",6516,4044,8974
"RSA","2040","lc",209,31,393
"RSA","2040","stroke",3573,1503,6654
"RSA","2040","tot",11375,5876,18086
"RSAM","2040","alri",38,5,173
"RSAM","2040","copd",240,47,549
"RSAM","2040","ihd",6899,1640,11518
"RSAM","2040","lc",182,17,409
"RSAM","2040","stroke",771,65,5572
"RSAM","2040","tot",8130,1774,18221
"RSAS","2040","alri",2836,1991,3581
"RSAS","2040","copd",32498,13466,50121
"RSAS","2040","ihd",192073,144735,312006
"RSAS","2040","lc",11840,3250,17545
"RSAS","2040","stroke",140372,45556,183516
"RSAS","2040","tot",379618,208998,566768
"RSEA","2040","alri",100,54,144
"RSEA","2040","copd",11648,4008,19597
"RSEA","2040","ihd",9607,6893,12724
"RSEA","2040","lc",4251,872,7026
"RSEA","2040","stroke",21285,9130,34102
"RSEA","2040","tot",46891,20957,73593
"RUE","2040","alri",0,0,5
"RUE","2040","copd",90,13,243
"RUE","2040","ihd",3120,254,6034
"RUE","2040","lc",80,5,211
"RUE","2040","stroke",65,1,1990
