"region","year","RESP","tot"
"ARG","2070",2624,2624
"AUS","2070",1256,1256
"AUT","2070",7487,7487
"BGR","2070",4576,4576
"BLX","2070",17637,17637
"BRA","2070",48328,48328
"CAN","2070",27553,27553
"CHE","2070",5699,5699
"CHL","2070",3294,3294
"CHN","2070",3009452,3009452
"COR","2070",114650,114650
"EAF","2070",562551,562551
"EGY","2070",220725,220725
"ESP","2070",36078,36078
"FIN","2070",1613,1613
"FRA","2070",37336,37336
"GBR","2070",36504,36504
"GOLF","2070",185434,185434
"GRC","2070",8388,8388
"HUN","2070",4607,4607
"IDN","2070",138365,138365
"ITA","2070",41156,41156
"JPN","2070",32156,32156
"KAZ","2070",8979,8979
"MEME","2070",82392,82392
"MEX","2070",73267,73267
"MON","2070",39459,39459
"MYS","2070",19964,19964
"NDE","2070",8445386,8445386
"NOA","2070",94282,94282
"NOR","2070",2630,2630
"NZL","2070",217,217
"PAC","2070",0,0
"PHL","2070",216469,216469
"POL","2070",21045,21045
"RCAM","2070",28907,28907
"RCEU","2070",17481,17481
"RCZ","2070",11686,11686
"RFA","2070",45490,45490
"RIS","2070",53809,53809
"ROM","2070",10470,10470
"RSA","2070",32607,32607
"RSAM","2070",8121,8121
"RSAS","2070",1200382,1200382
"RSEA","2070",317951,317951
"RUE","2070",7481,7481
"RUS","2070",56260,56260
"SAF","2070",114100,114100
"SWE","2070",7289,7289
"THA","2070",56507,56507
"TUR","2070",80652,80652
"TWN","2070",53815,53815
"UKR","2070",22337,22337
"USA","2070",371499,371499
"VNM","2070",246887,246887
"WAF","2070",687951,687951
