"region","year","disease","mort_med","mort_lb","mort_ub","vsl_med","vsl_lb","vsl_ub","unit","Damage_med"
"ARG","2090","alri",0,0,0,5.44154737055163,2.72077368527581,8.16232105582744,"Million$2015",0
"ARG","2090","copd",0,0,0,5.44154737055163,2.72077368527581,8.16232105582744,"Million$2015",0
"ARG","2090","ihd",0,0,0,5.44154737055163,2.72077368527581,8.16232105582744,"Million$2015",0
"ARG","2090","lc",0,0,0,5.44154737055163,2.72077368527581,8.16232105582744,"Million$2015",0
"ARG","2090","stroke",0,0,0,5.44154737055163,2.72077368527581,8.16232105582744,"Million$2015",0
"ARG","2090","tot",0,0,0,5.44154737055163,2.72077368527581,8.16232105582744,"Million$2015",0
"AUS","2090","alri",0,0,0,9.58887646440504,4.79443823220252,14.3833146966076,"Million$2015",0
"AUS","2090","copd",0,0,0,9.58887646440504,4.79443823220252,14.3833146966076,"Million$2015",0
"AUS","2090","ihd",0,0,0,9.58887646440504,4.79443823220252,14.3833146966076,"Million$2015",0
"AUS","2090","lc",0,0,0,9.58887646440504,4.79443823220252,14.3833146966076,"Million$2015",0
"AUS","2090","stroke",0,0,0,9.58887646440504,4.79443823220252,14.3833146966076,"Million$2015",0
"AUS","2090","tot",0,0,0,9.58887646440504,4.79443823220252,14.3833146966076,"Million$2015",0
"AUT","2090","alri",0,0,2,6.69549124059236,3.34774562029618,10.0432368608885,"Million$2015",0
"AUT","2090","copd",34,5,89,6.69549124059236,3.34774562029618,10.0432368608885,"Million$2015",272
"AUT","2090","ihd",621,59,1185,6.69549124059236,3.34774562029618,10.0432368608885,"Million$2015",4972
"AUT","2090","lc",38,2,98,6.69549124059236,3.34774562029618,10.0432368608885,"Million$2015",304
"AUT","2090","stroke",15,0,360,6.69549124059236,3.34774562029618,10.0432368608885,"Million$2015",120
"AUT","2090","tot",707,67,1734,6.69549124059236,3.34774562029618,10.0432368608885,"Million$2015",5661
"BGR","2090","alri",2,1,5,4.03654299649457,2.01827149824729,6.05481449474186,"Million$2015",10
"BGR","2090","copd",131,36,244,4.03654299649457,2.01827149824729,6.05481449474186,"Million$2015",632
"BGR","2090","ihd",1602,1027,2181,4.03654299649457,2.01827149824729,6.05481449474186,"Million$2015",7733
"BGR","2090","lc",141,21,262,4.03654299649457,2.01827149824729,6.05481449474186,"Million$2015",681
"BGR","2090","stroke",639,287,1128,4.03654299649457,2.01827149824729,6.05481449474186,"Million$2015",3084
"BGR","2090","tot",2515,1372,3820,4.03654299649457,2.01827149824729,6.05481449474186,"Million$2015",12140
"BLX","2090","alri",5,1,21,10.7687345662151,5.38436728310757,16.1531018493227,"Million$2015",64
"BLX","2090","copd",289,59,645,10.7687345662151,5.38436728310757,16.1531018493227,"Million$2015",3721
"BLX","2090","ihd",3218,880,5181,10.7687345662151,5.38436728310757,16.1531018493227,"Million$2015",41439
"BLX","2090","lc",362,36,796,10.7687345662151,5.38436728310757,16.1531018493227,"Million$2015",4662
"BLX","2090","stroke",314,27,1940,10.7687345662151,5.38436728310757,16.1531018493227,"Million$2015",4043
"BLX","2090","tot",4189,1002,8583,10.7687345662151,5.38436728310757,16.1531018493227,"Million$2015",53942
"BRA","2090","alri",0,0,0,4.76396716506444,2.38198358253222,7.14595074759666,"Million$2015",0
"BRA","2090","copd",0,0,0,4.76396716506444,2.38198358253222,7.14595074759666,"Million$2015",0
"BRA","2090","ihd",0,0,0,4.76396716506444,2.38198358253222,7.14595074759666,"Million$2015",0
"BRA","2090","lc",0,0,0,4.76396716506444,2.38198358253222,7.14595074759666,"Million$2015",0
"BRA","2090","stroke",0,0,0,4.76396716506444,2.38198358253222,7.14595074759666,"Million$2015",0
"BRA","2090","tot",0,0,0,4.76396716506444,2.38198358253222,7.14595074759666,"Million$2015",0
"CAN","2090","alri",0,0,1,8.08788203901171,4.04394101950585,12.1318230585176,"Million$2015",0
"CAN","2090","copd",37,5,102,8.08788203901171,4.04394101950585,12.1318230585176,"Million$2015",358
"CAN","2090","ihd",997,79,1988,8.08788203901171,4.04394101950585,12.1318230585176,"Million$2015",9642
"CAN","2090","lc",37,2,99,8.08788203901171,4.04394101950585,12.1318230585176,"Million$2015",358
"CAN","2090","stroke",10,0,301,8.08788203901171,4.04394101950585,12.1318230585176,"Million$2015",97
"CAN","2090","tot",1082,87,2491,8.08788203901171,4.04394101950585,12.1318230585176,"Million$2015",10464
"CHE","2090","alri",0,0,3,7.99152404328701,3.99576202164351,11.9872860649305,"Million$2015",0
"CHE","2090","copd",42,7,104,7.99152404328701,3.99576202164351,11.9872860649305,"Million$2015",401
"CHE","2090","ihd",633,102,1139,7.99152404328701,3.99576202164351,11.9872860649305,"Million$2015",6049
"CHE","2090","lc",50,4,121,7.99152404328701,3.99576202164351,11.9872860649305,"Million$2015",478
"CHE","2090","stroke",32,2,373,7.99152404328701,3.99576202164351,11.9872860649305,"Million$2015",306
"CHE","2090","tot",758,115,1738,7.99152404328701,3.99576202164351,11.9872860649305,"Million$2015",7244
"CHL","2090","alri",3,1,10,4.34557426667235,2.17278713333617,6.51836140000852,"Million$2015",16
"CHL","2090","copd",193,46,396,4.34557426667235,2.17278713333617,6.51836140000852,"Million$2015",1003
"CHL","2090","ihd",2352,1008,3483,4.34557426667235,2.17278713333617,6.51836140000852,"Million$2015",12222
"CHL","2090","lc",100,12,203,4.34557426667235,2.17278713333617,6.51836140000852,"Million$2015",520
"CHL","2090","stroke",472,94,1532,4.34557426667235,2.17278713333617,6.51836140000852,"Million$2015",2453
"CHL","2090","tot",3120,1161,5625,4.34557426667235,2.17278713333617,6.51836140000852,"Million$2015",16213
"CHN","2090","alri",616,348,863,5.72653337452637,2.86326668726319,8.58980006178956,"Million$2015",4218
"CHN","2090","copd",184801,64498,309433,5.72653337452637,2.86326668726319,8.58980006178956,"Million$2015",1265464
"CHN","2090","ihd",148311,106802,199505,5.72653337452637,2.86326668726319,8.58980006178956,"Million$2015",1015591
"CHN","2090","lc",67558,14240,110589,5.72653337452637,2.86326668726319,8.58980006178956,"Million$2015",462618
"CHN","2090","stroke",347629,142561,565982,5.72653337452637,2.86326668726319,8.58980006178956,"Million$2015",2380463
"CHN","2090","tot",748916,328449,1186371,5.72653337452637,2.86326668726319,8.58980006178956,"Million$2015",5128360
"COR","2090","alri",5,1,13,5.113547051672,2.556773525836,7.67032057750799,"Million$2015",31
"COR","2090","copd",2944,762,5671,5.113547051672,2.556773525836,7.67032057750799,"Million$2015",18002
"COR","2090","ihd",3503,1969,4955,5.113547051672,2.556773525836,7.67032057750799,"Million$2015",21420
"COR","2090","lc",1024,141,1975,5.113547051672,2.556773525836,7.67032057750799,"Million$2015",6261
"COR","2090","stroke",3053,1047,6653,5.113547051672,2.556773525836,7.67032057750799,"Million$2015",18668
