"region","year","disease","mort_o3"
"ARG","2040","RESP",152
"AUS","2040","RESP",55
"AUT","2040","RESP",512
"BGR","2040","RESP",294
"BLX","2040","RESP",1122
"BRA","2040","RESP",2828
"CAN","2040","RESP",1599
"CHE","2040","RESP",401
"CHL","2040","RESP",218
"CHN","2040","RESP",283559
"COR","2040","RESP",11396
"EAF","2040","RESP",11274
"EGY","2040","RESP",7068
"ESP","2040","RESP",3159
"FIN","2040","RESP",100
"FRA","2040","RESP",2703
"GBR","2040","RESP",2173
"GOLF","2040","RESP",6637
"GRC","2040","RESP",736
"HUN","2040","RESP",289
"IDN","2040","RESP",6662
"ITA","2040","RESP",3870
"JPN","2040","RESP",3385
"KAZ","2040","RESP",388
"MEME","2040","RESP",3286
"MEX","2040","RESP",3932
"MON","2040","RESP",2611
"MYS","2040","RESP",966
"NDE","2040","RESP",355144
"NOA","2040","RESP",4195
"NOR","2040","RESP",145
"NZL","2040","RESP",9
"PAC","2040","RESP",0
"PHL","2040","RESP",7764
"POL","2040","RESP",1424
"RCAM","2040","RESP",1473
"RCEU","2040","RESP",1135
"RCZ","2040","RESP",679
"RFA","2040","RESP",3225
"RIS","2040","RESP",2152
"ROM","2040","RESP",773
"RSA","2040","RESP",1308
"RSAM","2040","RESP",449
"RSAS","2040","RESP",41622
"RSEA","2040","RESP",17628
"RUE","2040","RESP",456
"RUS","2040","RESP",3264
"SAF","2040","RESP",2300
"SWE","2040","RESP",423
"THA","2040","RESP",4019
"TUR","2040","RESP",4299
"TWN","2040","RESP",5223
"UKR","2040","RESP",1311
"USA","2040","RESP",19100
"VNM","2040","RESP",15723
"WAF","2040","RESP",12887
