"region","year","disease","Damage_med","unit"
"ARG","2100","RESP",1141,"Million$2015"
"AUS","2100","RESP",977,"Million$2015"
"AUT","2100","RESP",4005,"Million$2015"
"BGR","2100","RESP",1202,"Million$2015"
"BLX","2100","RESP",17711,"Million$2015"
"BRA","2100","RESP",15171,"Million$2015"
"CAN","2100","RESP",21345,"Million$2015"
"CHE","2100","RESP",4146,"Million$2015"
"CHL","2100","RESP",1228,"Million$2015"
"CHN","2100","RESP",912668,"Million$2015"
"COR","2100","RESP",43531,"Million$2015"
"EAF","2100","RESP",94049,"Million$2015"
"EGY","2100","RESP",42885,"Million$2015"
"ESP","2100","RESP",32802,"Million$2015"
"FIN","2100","RESP",1081,"Million$2015"
"FRA","2100","RESP",40009,"Million$2015"
"GBR","2100","RESP",38103,"Million$2015"
"GOLF","2100","RESP",57374,"Million$2015"
"GRC","2100","RESP",7587,"Million$2015"
"HUN","2100","RESP",1587,"Million$2015"
"IDN","2100","RESP",37255,"Million$2015"
"ITA","2100","RESP",40542,"Million$2015"
"JPN","2100","RESP",19925,"Million$2015"
"KAZ","2100","RESP",2837,"Million$2015"
"MEME","2100","RESP",22844,"Million$2015"
"MEX","2100","RESP",37040,"Million$2015"
"MON","2100","RESP",1269,"Million$2015"
"MYS","2100","RESP",6153,"Million$2015"
"NDE","2100","RESP",2184340,"Million$2015"
"NOA","2100","RESP",21642,"Million$2015"
"NOR","2100","RESP",2678,"Million$2015"
"NZL","2100","RESP",135,"Million$2015"
"PAC","2100","RESP",0,"Million$2015"
"PHL","2100","RESP",31929,"Million$2015"
"POL","2100","RESP",7463,"Million$2015"
"RCAM","2100","RESP",8256,"Million$2015"
"RCEU","2100","RESP",5440,"Million$2015"
"RCZ","2100","RESP",4191,"Million$2015"
"RFA","2100","RESP",23268,"Million$2015"
"RIS","2100","RESP",15233,"Million$2015"
"ROM","2100","RESP",3109,"Million$2015"
"RSA","2100","RESP",9705,"Million$2015"
"RSAM","2100","RESP",2607,"Million$2015"
"RSAS","2100","RESP",192829,"Million$2015"
"RSEA","2100","RESP",27186,"Million$2015"
"RUE","2100","RESP",2357,"Million$2015"
"RUS","2100","RESP",18961,"Million$2015"
"SAF","2100","RESP",16290,"Million$2015"
"SWE","2100","RESP",6264,"Million$2015"
"THA","2100","RESP",17120,"Million$2015"
"TUR","2100","RESP",30910,"Million$2015"
"TWN","2100","RESP",44010,"Million$2015"
"UKR","2100","RESP",6908,"Million$2015"
"USA","2100","RESP",278269,"Million$2015"
"VNM","2100","RESP",55251,"Million$2015"
"WAF","2100","RESP",166736,"Million$2015"
