"region","year","disease","yll_med","vsly","unit","Damage_med"
"ARG","2090","alri",0,202.440407919913,"Thous$2015",0
"ARG","2090","copd",0,202.440407919913,"Thous$2015",0
"ARG","2090","ihd",0,202.440407919913,"Thous$2015",0
"ARG","2090","lc",0,202.440407919913,"Thous$2015",0
"ARG","2090","stroke",0,202.440407919913,"Thous$2015",0
"AUS","2090","alri",0,356.732365035173,"Thous$2015",0
"AUS","2090","copd",0,356.732365035173,"Thous$2015",0
"AUS","2090","ihd",0,356.732365035173,"Thous$2015",0
"AUS","2090","lc",0,356.732365035173,"Thous$2015",0
"AUS","2090","stroke",0,356.732365035173,"Thous$2015",0
"AUT","2090","alri",0,249.090540919488,"Thous$2015",0
"AUT","2090","copd",265,249.090540919488,"Thous$2015",78933
"AUT","2090","ihd",4985,249.090540919488,"Thous$2015",1484828
"AUT","2090","lc",443,249.090540919488,"Thous$2015",131952
"AUT","2090","stroke",105,249.090540919488,"Thous$2015",31275
"BGR","2090","alri",22,150.170412044725,"Thous$2015",3951
"BGR","2090","copd",1281,150.170412044725,"Thous$2015",230031
"BGR","2090","ihd",17248,150.170412044725,"Thous$2015",3097253
"BGR","2090","lc",1938,150.170412044725,"Thous$2015",348010
"BGR","2090","stroke",6559,150.170412044725,"Thous$2015",1177811
"BLX","2090","alri",31,400.626305334334,"Thous$2015",14851
"BLX","2090","copd",2254,400.626305334334,"Thous$2015",1079809
"BLX","2090","ihd",25834,400.626305334334,"Thous$2015",12376126
"BLX","2090","lc",4222,400.626305334334,"Thous$2015",2022606
"BLX","2090","stroke",2192,400.626305334334,"Thous$2015",1050107
"BRA","2090","alri",0,177.232575688292,"Thous$2015",0
"BRA","2090","copd",0,177.232575688292,"Thous$2015",0
"BRA","2090","ihd",0,177.232575688292,"Thous$2015",0
"BRA","2090","lc",0,177.232575688292,"Thous$2015",0
"BRA","2090","stroke",0,177.232575688292,"Thous$2015",0
"CAN","2090","alri",0,300.891277368351,"Thous$2015",0
"CAN","2090","copd",314,300.891277368351,"Thous$2015",112978
"CAN","2090","ihd",8298,300.891277368351,"Thous$2015",2985635
"CAN","2090","lc",421,300.891277368351,"Thous$2015",151477
"CAN","2090","stroke",76,300.891277368351,"Thous$2015",27345
"CHE","2090","alri",0,297.306497041633,"Thous$2015",0
"CHE","2090","copd",328,297.306497041633,"Thous$2015",116609
"CHE","2090","ihd",5082,297.306497041633,"Thous$2015",1806728
"CHE","2090","lc",583,297.306497041633,"Thous$2015",207265
"CHE","2090","stroke",223,297.306497041633,"Thous$2015",79280
"CHL","2090","alri",28,161.667218400461,"Thous$2015",5413
"CHL","2090","copd",1717,161.667218400461,"Thous$2015",331930
"CHL","2090","ihd",25526,161.667218400461,"Thous$2015",4934673
"CHL","2090","lc",1301,161.667218400461,"Thous$2015",251509
"CHL","2090","stroke",5037,161.667218400461,"Thous$2015",973750
"CHN","2090","alri",5635,213.042664772134,"Thous$2015",1435536
"CHN","2090","copd",1649251,213.042664772134,"Thous$2015",420152502
"CHN","2090","ihd",1533217,213.042664772134,"Thous$2015",390592432
"CHN","2090","lc",892126,213.042664772134,"Thous$2015",227272241
"CHN","2090","stroke",3583606,213.042664772134,"Thous$2015",912936252
"COR","2090","alri",46,190.23790120074,"Thous$2015",10464
"COR","2090","copd",26274,190.23790120074,"Thous$2015",5976912
"COR","2090","ihd",36213,190.23790120074,"Thous$2015",8237874
"COR","2090","lc",13522,190.23790120074,"Thous$2015",3076037
"COR","2090","stroke",31472,190.23790120074,"Thous$2015",7159373
"EAF","2090","alri",37189,56.0595743740573,"Thous$2015",2492975
"EAF","2090","copd",329681,56.0595743740573,"Thous$2015",22100257
"EAF","2090","ihd",1908984,56.0595743740573,"Thous$2015",127969271
"EAF","2090","lc",81995,56.0595743740573,"Thous$2015",5496558
"EAF","2090","stroke",1590194,56.0595743740573,"Thous$2015",106599095
"EGY","2090","alri",2970,114.789150573715,"Thous$2015",407672
"EGY","2090","copd",100792,114.789150573715,"Thous$2015",13835043
"EGY","2090","ihd",710538,114.789150573715,"Thous$2015",97530795
"EGY","2090","lc",41127,114.789150573715,"Thous$2015",5645228
"EGY","2090","stroke",391230,114.789150573715,"Thous$2015",53701523
"ESP","2090","alri",135,326.261343250669,"Thous$2015",52669
"ESP","2090","copd",7848,326.261343250669,"Thous$2015",3061810
"ESP","2090","ihd",67210,326.261343250669,"Thous$2015",26221234
"ESP","2090","lc",15429,326.261343250669,"Thous$2015",6019453
"ESP","2090","stroke",12914,326.261343250669,"Thous$2015",5038253
"FIN","2090","alri",0,288.290290623502,"Thous$2015",0
"FIN","2090","copd",0,288.290290623502,"Thous$2015",0
"FIN","2090","ihd",0,288.290290623502,"Thous$2015",0
"FIN","2090","lc",0,288.290290623502,"Thous$2015",0
"FIN","2090","stroke",0,288.290290623502,"Thous$2015",0
"FRA","2090","alri",6,364.805432162014,"Thous$2015",2617
"FRA","2090","copd",1404,364.805432162014,"Thous$2015",612466
"FRA","2090","ihd",28363,364.805432162014,"Thous$2015",12372774
"FRA","2090","lc",2332,364.805432162014,"Thous$2015",1017287
"FRA","2090","stroke",461,364.805432162014,"Thous$2015",201102
"GBR","2090","alri",0,399.151017326687,"Thous$2015",0
"GBR","2090","copd",0,399.151017326687,"Thous$2015",0
"GBR","2090","ihd",0,399.151017326687,"Thous$2015",0
"GBR","2090","lc",0,399.151017326687,"Thous$2015",0
"GBR","2090","stroke",0,399.151017326687,"Thous$2015",0
"GOLF","2090","alri",4095,160.566154138071,"Thous$2015",786252
"GOLF","2090","copd",104977,160.566154138071,"Thous$2015",20155881
"GOLF","2090","ihd",1588546,160.566154138071,"Thous$2015",305005319
"GOLF","2090","lc",142229,160.566154138071,"Thous$2015",27308370
"GOLF","2090","stroke",969573,160.566154138071,"Thous$2015",186160755
"GRC","2090","alri",12,342.320748357316,"Thous$2015",4912
"GRC","2090","copd",1108,342.320748357316,"Thous$2015",453551
"GRC","2090","ihd",11030,342.320748357316,"Thous$2015",4515048
"GRC","2090","lc",2134,342.320748357316,"Thous$2015",873537
"GRC","2090","stroke",1403,342.320748357316,"Thous$2015",574308
"HUN","2090","alri",0,213.089876613901,"Thous$2015",0
"HUN","2090","copd",513,213.089876613901,"Thous$2015",130718
"HUN","2090","ihd",30430,213.089876613901,"Thous$2015",7753868
"HUN","2090","lc",833,213.089876613901,"Thous$2015",212257
"HUN","2090","stroke",2354,213.089876613901,"Thous$2015",599823
"IDN","2090","alri",2170,184.401406350005,"Thous$2015",478495
"IDN","2090","copd",50805,184.401406350005,"Thous$2015",11202741
"IDN","2090","ihd",607838,184.401406350005,"Thous$2015",134031133
"IDN","2090","lc",79680,184.401406350005,"Thous$2015",17569814
"IDN","2090","stroke",123603,184.401406350005,"Thous$2015",27255042
"ITA","2090","alri",159,370.516250525322,"Thous$2015",70446
"ITA","2090","copd",8675,370.516250525322,"Thous$2015",3843531
"ITA","2090","ihd",68157,370.516250525322,"Thous$2015",30197524
"ITA","2090","lc",17260,370.516250525322,"Thous$2015",7647186
"ITA","2090","stroke",16495,370.516250525322,"Thous$2015",7308247
"JPN","2090","alri",280,250.450904709079,"Thous$2015",83856
"JPN","2090","copd",5763,250.450904709079,"Thous$2015",1725937
"JPN","2090","ihd",59784,250.450904709079,"Thous$2015",17904458
"JPN","2090","lc",24750,250.450904709079,"Thous$2015",7412273
"JPN","2090","stroke",19212,250.450904709079,"Thous$2015",5753721
"KAZ","2090","alri",153,186.733833230223,"Thous$2015",34164
"KAZ","2090","copd",4582,186.733833230223,"Thous$2015",1023132
"KAZ","2090","ihd",152871,186.733833230223,"Thous$2015",34135143
"KAZ","2090","lc",8094,186.733833230223,"Thous$2015",1807340
"KAZ","2090","stroke",56160,186.733833230223,"Thous$2015",12540179
"MEME","2090","alri",435,124.168177420689,"Thous$2015",64588
"MEME","2090","copd",13730,124.168177420689,"Thous$2015",2038611
"MEME","2090","ihd",101377,124.168177420689,"Thous$2015",15052317
"MEME","2090","lc",27592,124.168177420689,"Thous$2015",4096822
"MEME","2090","stroke",28934,124.168177420689,"Thous$2015",4296080
"MEX","2090","alri",536,191.357043999695,"Thous$2015",122649
"MEX","2090","copd",17840,191.357043999695,"Thous$2015",4082187
"MEX","2090","ihd",225992,191.357043999695,"Thous$2015",51711976
"MEX","2090","lc",13782,191.357043999695,"Thous$2015",3153627
"MEX","2090","stroke",68817,191.357043999695,"Thous$2015",15746854
"MON","2090","alri",72,20.0807762330248,"Thous$2015",1729
"MON","2090","copd",9304,20.0807762330248,"Thous$2015",223411
"MON","2090","ihd",63715,20.0807762330248,"Thous$2015",1529945
"MON","2090","lc",2665,20.0807762330248,"Thous$2015",63993
"MON","2090","stroke",8382,20.0807762330248,"Thous$2015",201271
"MYS","2090","alri",0,174.79789288504,"Thous$2015",0
"MYS","2090","copd",76,174.79789288504,"Thous$2015",15886
"MYS","2090","ihd",1881,174.79789288504,"Thous$2015",393168
