"region","year","disease","yll_med","vsly","unit","Damage_med"
"ARG","2080","alri",0,180.795965217178,"Thous$2015",0
"ARG","2080","copd",0,180.795965217178,"Thous$2015",0
"ARG","2080","ihd",0,180.795965217178,"Thous$2015",0
"ARG","2080","lc",0,180.795965217178,"Thous$2015",0
"ARG","2080","stroke",0,180.795965217178,"Thous$2015",0
"AUS","2080","alri",0,338.900426638221,"Thous$2015",0
"AUS","2080","copd",0,338.900426638221,"Thous$2015",0
"AUS","2080","ihd",0,338.900426638221,"Thous$2015",0
"AUS","2080","lc",0,338.900426638221,"Thous$2015",0
"AUS","2080","stroke",0,338.900426638221,"Thous$2015",0
"AUT","2080","alri",0,229.611255453039,"Thous$2015",0
"AUT","2080","copd",320,229.611255453039,"Thous$2015",87861
"AUT","2080","ihd",5515,229.611255453039,"Thous$2015",1514232
"AUT","2080","lc",560,229.611255453039,"Thous$2015",153757
"AUT","2080","stroke",175,229.611255453039,"Thous$2015",48049
"BGR","2080","alri",33,138.298431172854,"Thous$2015",5457
"BGR","2080","copd",1369,138.298431172854,"Thous$2015",226399
"BGR","2080","ihd",18260,138.298431172854,"Thous$2015",3019755
"BGR","2080","lc",2076,138.298431172854,"Thous$2015",343319
"BGR","2080","stroke",7134,138.298431172854,"Thous$2015",1179788
"BLX","2080","alri",37,370.986722510366,"Thous$2015",16414
"BLX","2080","copd",2418,370.986722510366,"Thous$2015",1072675
"BLX","2080","ihd",26781,370.986722510366,"Thous$2015",11880611
"BLX","2080","lc",4548,370.986722510366,"Thous$2015",2017588
"BLX","2080","stroke",2471,370.986722510366,"Thous$2015",1096187
"BRA","2080","alri",0,156.707472819881,"Thous$2015",0
"BRA","2080","copd",0,156.707472819881,"Thous$2015",0
"BRA","2080","ihd",0,156.707472819881,"Thous$2015",0
"BRA","2080","lc",0,156.707472819881,"Thous$2015",0
"BRA","2080","stroke",0,156.707472819881,"Thous$2015",0
"CAN","2080","alri",0,281.749294124794,"Thous$2015",0
"CAN","2080","copd",340,281.749294124794,"Thous$2015",114550
"CAN","2080","ihd",8856,281.749294124794,"Thous$2015",2983692
"CAN","2080","lc",455,281.749294124794,"Thous$2015",153295
"CAN","2080","stroke",76,281.749294124794,"Thous$2015",25605
"CHE","2080","alri",6,274.790885092768,"Thous$2015",1972
"CHE","2080","copd",398,274.790885092768,"Thous$2015",130779
"CHE","2080","ihd",5579,274.790885092768,"Thous$2015",1833210
"CHE","2080","lc",711,274.790885092768,"Thous$2015",233628
"CHE","2080","stroke",307,274.790885092768,"Thous$2015",100877
"CHL","2080","alri",37,147.083453836523,"Thous$2015",6508
"CHL","2080","copd",1931,147.083453836523,"Thous$2015",339625
"CHL","2080","ihd",27545,147.083453836523,"Thous$2015",4844625
"CHL","2080","lc",1471,147.083453836523,"Thous$2015",258720
"CHL","2080","stroke",6105,147.083453836523,"Thous$2015",1073750
"CHN","2080","alri",6861,199.879685580396,"Thous$2015",1639871
"CHN","2080","copd",1959073,199.879685580396,"Thous$2015",468244720
"CHN","2080","ihd",1760639,199.879685580396,"Thous$2015",420816333
"CHN","2080","lc",1061670,199.879685580396,"Thous$2015",253753368
"CHN","2080","stroke",4400437,199.879685580396,"Thous$2015",1051763457
"COR","2080","alri",64,173.492015121789,"Thous$2015",13277
"COR","2080","copd",31691,173.492015121789,"Thous$2015",6574596
"COR","2080","ihd",41693,173.492015121789,"Thous$2015",8649604
"COR","2080","lc",16427,173.492015121789,"Thous$2015",3407935
