"region","year","disease","Damage_med","unit"
"ARG","2020","RESP",385,"Million$2015"
"AUS","2020","RESP",170,"Million$2015"
"AUT","2020","RESP",2243,"Million$2015"
"BGR","2020","RESP",780,"Million$2015"
"BLX","2020","RESP",5433,"Million$2015"
"BRA","2020","RESP",4689,"Million$2015"
"CAN","2020","RESP",6648,"Million$2015"
"CHE","2020","RESP",1934,"Million$2015"
"CHL","2020","RESP",369,"Million$2015"
"CHN","2020","RESP",674251,"Million$2015"
"COR","2020","RESP",33116,"Million$2015"
"EAF","2020","RESP",1934,"Million$2015"
"EGY","2020","RESP",5211,"Million$2015"
"ESP","2020","RESP",12454,"Million$2015"
"FIN","2020","RESP",430,"Million$2015"
"FRA","2020","RESP",11610,"Million$2015"
"GBR","2020","RESP",8765,"Million$2015"
"GOLF","2020","RESP",8841,"Million$2015"
"GRC","2020","RESP",3104,"Million$2015"
"HUN","2020","RESP",905,"Million$2015"
"IDN","2020","RESP",5932,"Million$2015"
"ITA","2020","RESP",17736,"Million$2015"
"JPN","2020","RESP",13593,"Million$2015"
"KAZ","2020","RESP",973,"Million$2015"
"MEME","2020","RESP",3271,"Million$2015"
"MEX","2020","RESP",6425,"Million$2015"
"MON","2020","RESP",377,"Million$2015"
"MYS","2020","RESP",1607,"Million$2015"
"NDE","2020","RESP",231766,"Million$2015"
"NOA","2020","RESP",3843,"Million$2015"
"NOR","2020","RESP",779,"Million$2015"
"NZL","2020","RESP",21,"Million$2015"
"PAC","2020","RESP",0,"Million$2015"
"PHL","2020","RESP",3285,"Million$2015"
"POL","2020","RESP",4891,"Million$2015"
"RCAM","2020","RESP",1809,"Million$2015"
"RCEU","2020","RESP",2143,"Million$2015"
"RCZ","2020","RESP",2188,"Million$2015"
"RFA","2020","RESP",13350,"Million$2015"
"RIS","2020","RESP",2384,"Million$2015"
"ROM","2020","RESP",1993,"Million$2015"
"RSA","2020","RESP",1688,"Million$2015"
"RSAM","2020","RESP",457,"Million$2015"
"RSAS","2020","RESP",10134,"Million$2015"
"RSEA","2020","RESP",3491,"Million$2015"
"RUE","2020","RESP",1540,"Million$2015"
"RUS","2020","RESP",10084,"Million$2015"
"SAF","2020","RESP",397,"Million$2015"
"SWE","2020","RESP",1852,"Million$2015"
"THA","2020","RESP",5697,"Million$2015"
"TUR","2020","RESP",6553,"Million$2015"
"TWN","2020","RESP",24379,"Million$2015"
"UKR","2020","RESP",3073,"Million$2015"
"USA","2020","RESP",87460,"Million$2015"
"VNM","2020","RESP",13907,"Million$2015"
"WAF","2020","RESP",3467,"Million$2015"
